sampleID	Files	Replicate	Condition	Batch
C3N4AACXX_10	C3N4AACXX_10.featurecount	1	DaKD	a
C3N4AACXX_2	C3N4AACXX_2.featurecount	2	DaKD	a
C3N4AACXX_6	C3N4AACXX_6.featurecount	3	DaKD	a
C3N4AACXX_11	C3N4AACXX_11.featurecount	1	DaOE	a
C3N4AACXX_7	C3N4AACXX_7.featurecount	2	DaOE	a
C3N4AACXX_1	C3N4AACXX_1.featurecount	1	Control	a
C3N4AACXX_4	C3N4AACXX_4.featurecount	2	Control	a
C3N4AACXX_9	C3N4AACXX_9.featurecount	3	Control	a
CON1	CON1.featurecount	1	Control	b
CON2	CON2.featurecount	2	Control	b
CON3	CON3.featurecount	3	Control	b
DA1	DA1.featurecount	1	DaDaOE	b
DA2	DA2.featurecount	2	DaDaOE	b
DA3	DA3.featurecount	3	DaDaOE	b
SCUTE1	SCUTE1.featurecount	1	ScOE	b
SCUTE2	SCUTE2.featurecount	2	ScOE	b
SCUTE3	SCUTE3.featurecount	3	ScOE	b
