"DaKD_1_a"	"DaKD_2_a"	"DaKD_3_a"	"DaOE_1_a"	"DaOE_2_a"	"Control_1_a"	"Control_2_a"	"Control_3_a"	"Control_1_b"	"Control_2_b"	"Control_3_b"	"DaDaOE_1_b"	"DaDaOE_2_b"	"DaDaOE_3_b"	"ScOE_1_b"	"ScOE_2_b"	"ScOE_3_b"
"FBgn0000008"	1443	1581	1347	1315	1247	1335	1399	1410	1068	1362	1065	686	567	593	570	556	425
"FBgn0000014"	1	3	4	2	2	4	3	2	171	114	84	125	86	68	159	228	146
"FBgn0000015"	15	12	12	43	23	15	17	19	211	138	145	215	179	228	326	355	458
"FBgn0000017"	455	383	302	969	672	478	453	623	1959	1717	2177	2274	1857	2675	2440	2369	2545
"FBgn0000018"	192	248	256	379	256	458	452	369	583	510	707	658	586	727	549	622	608
"FBgn0000024"	16	8	15	17	14	23	30	56	775	800	917	723	492	572	2269	2598	3077
"FBgn0000028"	58	16	71	34	76	40	52	42	505	411	420	411	322	413	600	589	582
"FBgn0000032"	565	637	447	669	413	814	708	710	1169	1204	1531	1149	988	1278	1703	1878	2505
"FBgn0000036"	3	2	4	6	0	2	0	0	381	273	213	363	192	235	300	437	257
"FBgn0000037"	1	3	3	4	1	5	1	3	110	67	45	74	60	83	104	154	164
"FBgn0000038"	29	2	56	14	47	43	53	46	221	160	204	301	213	290	461	497	467
"FBgn0000039"	3	0	3	2	0	9	18	10	63	31	64	70	59	45	64	59	67
"FBgn0000042"	82670	141942	123624	148265	98683	166244	134578	129076	364752	283782	378074	357725	294798	411987	194706	213116	208477
"FBgn0000043"	4404	7418	5582	64064	34428	28063	25892	17476	44798	32591	49797	90735	67464	81599	40826	49054	51268
"FBgn0000044"	4	5	4	3	2	2	2	0	93	92	79	32	53	134	127	163	119
"FBgn0000045"	27	23	30	60	50	23	17	37	70	59	66	122	47	91	104	91	99
"FBgn0000046"	1	1	1	9	0	6	5	6	58	42	32	39	62	61	80	87	98
"FBgn0000052"	424	478	425	747	540	644	773	703	748	716	819	716	532	612	848	840	854
"FBgn0000053"	4168	3610	3468	3707	3075	3194	3982	5383	7242	8017	9825	4819	3917	4950	7362	7340	5931
"FBgn0000057"	161	189	206	250	154	264	319	227	510	459	465	566	416	503	1024	1195	1213
"FBgn0000063"	62	84	83	117	107	194	192	136	410	367	420	326	311	354	649	603	592
"FBgn0000064"	13997	20095	17794	8250	7837	13151	11704	11814	24480	24744	27096	16707	12344	17010	30796	34980	38624
"FBgn0000071"	8	18	10	14	23	138	149	79	222	134	165	44	22	30	67	31	35
"FBgn0000077"	303	367	355	562	309	478	493	421	542	506	711	643	620	598	731	788	596
"FBgn0000078"	114	160	78	44	4	97	27	51	297	178	654	366	400	846	151	248	157
