"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"14-3-3epsilon","FBgn0020238","NA","","",""
"Aats-thr","FBgn0027081","NA","","",""
"Aats-val","FBgn0027079","NA","","",""
"ACC","FBgn0033246","NA","","",""
"ade2","FBgn0000052","NA","","",""
"AdSL","FBgn0038467","NA","","",""
"alc","FBgn0260972","NA","","",""
"Aldh","FBgn0012036","NA","","",""
"alphaCOP","FBgn0025725","NA","","",""
"AMPKalpha","FBgn0023169","NA","","",""
"aPKC","FBgn0261854","NA","","",""
"AsnS","FBgn0270926","NA","","",""
"Atg1","FBgn0260945","NA","","",""
"Atg101","FBgn0030960","NA","","",""
"Atg12","FBgn0036255","NA","","",""
"Atg13","FBgn0261108","NA","","",""
"Atg16","FBgn0039705","NA","","",""
"Atg17","FBgn0037363","NA","","",""
"Atg18a","FBgn0035850","NA","","",""
"Atg18b","FBgn0032935","NA","","",""
"Atg2","FBgn0044452","NA","","",""
"Atg3","FBgn0036813","NA","","",""
"Atg4a","FBgn0031298","NA","","",""
"Atg5","FBgn0029943","NA","","",""
"Atg6","FBgn0264325","NA","","",""
"Atg7","FBgn0034366","NA","","",""
"Atg8a","FBgn0052672","NA","","",""
"Atg8b","FBgn0038539","NA","","",""
"Atg9","FBgn0034110","NA","","",""
"beta'COP","FBgn0025724","NA","","",""
"beta-PheRS","FBgn0039175","NA","","",""
"betaggt-I","FBgn0015000","NA","","",""
"betaggt-II","FBgn0028970","NA","","",""
"br","FBgn0000210","NA","","",""
"Buffy","FBgn0040491","NA","","",""
"bur","FBgn0000239","NA","","",""
"Caf1","FBgn0263979","NA","","",""
"Cam","FBgn0000253","NA","","",""
"Cand1","FBgn0027568","NA","","",""
"car","FBgn0000257","NA","","",""
"Cctgamma","FBgn0015019","NA","","",""
"Cdc37","FBgn0011573","NA","","",""
"CG10253","FBgn0033983","NA","","",""
"CG10426","FBgn0036273","NA","","",""
"CG12360","FBgn0038111","NA","","",""
"CG12795","FBgn0031535","NA","","",""
"CG17259","FBgn0031497","NA","","",""
"CG1749","FBgn0030305","NA","","",""
"CG17514","FBgn0039959","NA","","",""
"CG17698","FBgn0040056","NA","","",""
"CG18324","FBgn0033905","NA","","",""
"CG31251","FBgn0051251","NA","","",""
"CG31855","FBgn0051855","NA","","",""
"CG33123","FBgn0053123","NA","","",""
"CG3803","FBgn0034938","NA","","",""
"CG41099","FBgn0039955","NA","","",""
"CG42233","FBgn0250755","NA","","",""
"CG42638","FBgn0261361","NA","","",""
"CG42668","FBgn0261550","NA","","",""
"CG4332","FBgn0030456","NA","","",""
"CG4572","FBgn0038738","NA","","",""
"CG5103","FBgn0036784","NA","","",""
"CG5660","FBgn0035942","NA","","",""
"CG6512","FBgn0036702","NA","","",""
"CG6724","FBgn0032298","NA","","",""
"CG7033","FBgn0030086","NA","","",""
"CG8036","FBgn0037607","NA","","",""
"CG8417","FBgn0037744","NA","","",""
"CG8475","FBgn0031995","NA","","",""
"CG8858","FBgn0033698","NA","","",""
"CG9485","FBgn0034618","NA","","",""
"CG9784","FBgn0030761","NA","","",""
"Chc","FBgn0000319","NA","","",""
"cher","FBgn0014141","NA","","",""
"Ciao1","FBgn0033972","NA","","",""
"cln3","FBgn0036756","NA","","",""
"comt","FBgn0000346","NA","","",""
"Cul2","FBgn0032956","NA","","",""
"Cul3","FBgn0261268","NA","","",""
"Cyt-c1","FBgn0035600","NA","","",""
"Cyt-c1L","FBgn0039651","NA","","",""
"DIP2","FBgn0024806","NA","","",""
"dre4","FBgn0002183","NA","","",""
"EcR","FBgn0000546","NA","","",""
"eIF3-S10","FBgn0037249","NA","","",""
"Eip74EF","FBgn0000567","NA","","",""
"Eip93F","FBgn0264490","NA","","",""
"Elf","FBgn0020443","NA","","",""
"emb","FBgn0020497","NA","","",""
"EndoB","FBgn0034433","NA","","",""
"esn","FBgn0263934","NA","","",""
"FANCI","FBgn0033354","NA","","",""
"foxo","FBgn0038197","NA","","",""
"galectin","FBgn0031213","NA","","",""
"Galphai","FBgn0001104","NA","","",""
"Galphao","FBgn0001122","NA","","",""
"Galphaq","FBgn0004435","NA","","",""
"GAPcenA","FBgn0035879","NA","","",""
"garz","FBgn0264560","NA","","",""
"GCS2alpha","FBgn0027588","NA","","",""
"Gfat1","FBgn0027341","NA","","",""
"Gfat2","FBgn0039580","NA","","",""
"Ggamma1","FBgn0004921","NA","","",""
"Ggamma30A","FBgn0267252","NA","","",""
"gish","FBgn0250823","NA","","",""
"Glg1","FBgn0264561","NA","","",""
"GlyS","FBgn0266064","NA","","",""
"Gos28","FBgn0044871","NA","","",""
"Gp93","FBgn0039562","NA","","",""
"grp","FBgn0261278","NA","","",""
"GstO3","FBgn0035904","NA","","",""
"Hel25E","FBgn0014189","NA","","",""
"hpo","FBgn0261456","NA","","",""
"ik2","FBgn0086657","NA","","",""
"ird1","FBgn0260935","NA","","",""
"Khc","FBgn0001308","NA","","",""
"lkb1","FBgn0038167","NA","","",""
"Lon","FBgn0036892","NA","","",""
"Lst8","FBgn0264691","NA","","",""
"mahj","FBgn0034641","NA","","",""
"mbc","FBgn0015513","NA","","",""
"Mcm2","FBgn0014861","NA","","",""
"Mhc","FBgn0264695","NA","","",""
"Mtl","FBgn0039532","NA","","",""
"Mtpalpha","FBgn0028479","NA","","",""
"mtRNApol","FBgn0261938","NA","","",""
"MYPT-75D","FBgn0036801","NA","","",""
"Nat1","FBgn0031020","NA","","",""
"Nedd4","FBgn0259174","NA","","",""
"Nek2","FBgn0029970","NA","","",""
"niki","FBgn0045980","NA","","",""
"Nipsnap","FBgn0030724","NA","","",""
"Nsf2","FBgn0266464","NA","","",""
"nudC","FBgn0021768","NA","","",""
"Nup154","FBgn0021761","NA","","",""
"Nup44A","FBgn0033247","NA","","",""
"Ocrl","FBgn0023508","NA","","",""
"p38a","FBgn0015765","NA","","",""
"Parp","FBgn0010247","NA","","",""
"Pde11","FBgn0085370","NA","","",""
