"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Abd-B","FBgn0000015","NA","","",""
"Cct5","FBgn0010621","NA","","",""
"Cctgamma","FBgn0015019","NA","","",""
"Cdc37","FBgn0011573","NA","","",""
"CG10029","FBgn0037498","NA","","",""
"CG10347","FBgn0030342","NA","","",""
"CG10375","FBgn0039116","NA","","",""
"CG10565","FBgn0037051","NA","","",""
"CG10635","FBgn0035603","NA","","",""
"CG11035","FBgn0037544","NA","","",""
"CG11267","FBgn0036334","NA","","",""
"CG11777","FBgn0033527","NA","","",""
"CG12020","FBgn0035273","NA","","",""
"CG12279","FBgn0038080","NA","","",""
"CG13133","FBgn0032181","NA","","",""
"CG13993","FBgn0031776","NA","","",""
"CG1416","FBgn0032961","NA","","",""
"CG14207","FBgn0031037","NA","","",""
"CG14650","FBgn0037252","NA","","",""
"CG15676","FBgn0034651","NA","","",""
"CG15863","FBgn0033467","NA","","",""
"CG16817","FBgn0037728","NA","","",""
"CG17187","FBgn0037882","NA","","",""
"CG17266","FBgn0033089","NA","","",""
"CG1847","FBgn0030345","NA","","",""
"CG1890","FBgn0039869","NA","","",""
"CG1924","FBgn0030377","NA","","",""
"CG2790","FBgn0027599","NA","","",""
"CG2852","FBgn0034753","NA","","",""
"CG2887","FBgn0030207","NA","","",""
"CG2911","FBgn0037350","NA","","",""
"CG2918","FBgn0023529","NA","","",""
"CG30156","FBgn0050156","NA","","",""
"CG3061","FBgn0038195","NA","","",""
"CG31251","FBgn0051251","NA","","",""
"CG31287","FBgn0051287","NA","","",""
"CG31961","FBgn0051961","NA","","",""
"CG3226","FBgn0029882","NA","","",""
"CG32640","FBgn0052640","NA","","",""
"CG32641","FBgn0052641","NA","","",""
"CG3492","FBgn0035007","NA","","",""
"CG3708","FBgn0040345","NA","","",""
"CG40178","FBgn0058178","NA","","",""
"CG4164","FBgn0031256","NA","","",""
"CG4461","FBgn0035982","NA","","",""
"CG4538","FBgn0038745","NA","","",""
"CG5001","FBgn0031322","NA","","",""
"CG5071","FBgn0039347","NA","","",""
"CG5482","FBgn0034368","NA","","",""
"CG5525","FBgn0032444","NA","","",""
"CG6000","FBgn0039145","NA","","",""
"CG6693","FBgn0037878","NA","","",""
"CG7033","FBgn0030086","NA","","",""
"CG7048","FBgn0038976","NA","","",""
"CG7130","FBgn0037151","NA","","",""
"CG7133","FBgn0037150","NA","","",""
"CG7387","FBgn0035852","NA","","",""
"CG7394","FBgn0036173","NA","","",""
"CG7409","FBgn0035817","NA","","",""
"CG7556","FBgn0030990","NA","","",""
"CG7768","FBgn0036415","NA","","",""
"CG7770","FBgn0036918","NA","","",""
"CG7872","FBgn0030658","NA","","",""
"CG7945","FBgn0036505","NA","","",""
"CG8258","FBgn0033342","NA","","",""
"CG8336","FBgn0036020","NA","","",""
"CG8476","FBgn0038127","NA","","",""
"CG8531","FBgn0033918","NA","","",""
"CG9072","FBgn0030614","NA","","",""
"CG9267","FBgn0032524","NA","","",""
"CG9920","FBgn0038200","NA","","",""
"CHORD","FBgn0029503","NA","","",""
"Cnx14D","FBgn0264077","NA","","",""
"Cnx99A","FBgn0015622","NA","","",""
"Crc","FBgn0005585","NA","","",""
"Csp","FBgn0004179","NA","","",""
"Cyp1","FBgn0004432","NA","","",""
"DnaJ-1","FBgn0263106","NA","","",""
"DnaJ-60","FBgn0260775","NA","","",""
"DnaJ-H","FBgn0032474","NA","","",""
"Droj2","FBgn0038145","NA","","",""
"Ero1L","FBgn0261274","NA","","",""
"ERp60","FBgn0033663","NA","","",""
"FK506-bp1","FBgn0013269","NA","","",""
"FK506-bp2","FBgn0013954","NA","","",""
"Fkbp14","FBgn0010470","NA","","",""
"FKBP59","FBgn0029174","NA","","",""
"Gp93","FBgn0039562","NA","","",""
"HIP","FBgn0260484","NA","","",""
"HIP-R","FBgn0029676","NA","","",""
"Hop","FBgn0024352","NA","","",""
"Hsc70-1","FBgn0001216","NA","","",""
"Hsc70-2","FBgn0001217","NA","","",""
"Hsc70-3","FBgn0001218","NA","","",""
"Hsc70-4","FBgn0266599","NA","","",""
"Hsc70-5","FBgn0001220","NA","","",""
"Hsc70Cb","FBgn0026418","NA","","",""
"Hsf","FBgn0001222","NA","","",""
"Hsp22","FBgn0001223","NA","","",""
"Hsp23","FBgn0001224","NA","","",""
"Hsp26","FBgn0001225","NA","","",""
"Hsp27","FBgn0001226","NA","","",""
"Hsp60","FBgn0015245","NA","","",""
"Hsp60B","FBgn0011244","NA","","",""
"Hsp60C","FBgn0031728","NA","","",""
"Hsp60D","FBgn0032525","NA","","",""
"Hsp67Ba","FBgn0001227","NA","","",""
"Hsp67Bb","FBgn0001228","NA","","",""
"Hsp67Bc","FBgn0001229","NA","","",""
"Hsp68","FBgn0001230","NA","","",""
"Hsp70Aa","FBgn0013275","NA","","",""
"Hsp70Ab","FBgn0013276","NA","","",""
"Hsp70Ba","FBgn0013277","NA","","",""
"Hsp70Bb","FBgn0013278","NA","","",""
"Hsp70Bbb","FBgn0051354","NA","","",""
"Hsp70Bc","FBgn0013279","NA","","",""
"Hsp83","FBgn0001233","NA","","",""
"jdp","FBgn0027654","NA","","",""
"l(2)35Cc","FBgn0259982","NA","","",""
"l(2)efl","FBgn0011296","NA","","",""
"l(2)tid","FBgn0002174","NA","","",""
"l(3)01239","FBgn0010741","NA","","",""
"mio","FBgn0031399","NA","","",""
"mrj","FBgn0034091","NA","","",""
"Nap1","FBgn0015268","NA","","",""
"Nlp","FBgn0016685","NA","","",""
"nudC","FBgn0021768","NA","","",""
"P58IPK","FBgn0037718","NA","","",""
"Pdi","FBgn0014002","NA","","",""
"Roe1","FBgn0014877","NA","","",""
"Sec63","FBgn0035771","NA","","",""
"Sgt1","FBgn0265101","NA","","",""
"shu","FBgn0003401","NA","","",""
"spag","FBgn0015544","NA","","",""
"stv","FBgn0086708","NA","","",""
"T-cp1","FBgn0003676","NA","","",""
"TBCD","FBgn0027509","NA","","",""
"Tbce","FBgn0033055","NA","","",""
"Tcp-1eta","FBgn0037632","NA","","",""
"Tcp-1zeta","FBgn0027329","NA","","",""
"Torsin","FBgn0025615","NA","","",""
"Tpr2","FBgn0032586","NA","","",""
"Trap1","FBgn0026761","NA","","",""
"UK114","FBgn0086691","NA","","",""
"unc-45","FBgn0010812","NA","","",""
"uri","FBgn0035025","NA","","",""
"wbl","FBgn0004003","NA","","",""
"wus","FBgn0030805","NA","","",""
