"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"140up","FBgn0010340","","","",""
"Ac3","FBgn0023416","","","",""
"Actbeta","FBgn0024913","","","",""
"Ada1-1","FBgn0051865","","","",""
"Ada1-2","FBgn0051866","","","",""
"Adat1","FBgn0028658","","","",""
"alpha4GT1","FBgn0031491","","","",""
"alpha4GT2","FBgn0039378","","","",""
"Amnionless","FBgn0025686","","","",""
"aop","FBgn0000097","","","",""
"APC4","FBgn0052707","","","",""
"Apoltp","FBgn0032136","","","",""
"Asx","FBgn0261823","","","",""
"Atac1","FBgn0031876","","","",""
"Atac2","FBgn0032691","","","",""
"Atac3","FBgn0052343","","","",""
"Atg14","FBgn0039636","","","",""
"atk","FBgn0036995","","","",""
"ave","FBgn0050476","","","",""
"Axs","FBgn0000152","","","",""
"bap","FBgn0004862","","","",""
"bnl","FBgn0014135","","","",""
"bonsai","FBgn0026261","","","",""
"Bsg25D","FBgn0000228","","","",""
"Btk29A","FBgn0003502","","","",""
"Btnd","FBgn0029848","","","",""
"Buffy","FBgn0040491","","","",""
"bves","FBgn0031150","","","",""
"byn","FBgn0011723","","","",""
"cas","FBgn0004878","","","",""
"caz","FBgn0011571","","","",""
"Cbp53E","FBgn0004580","","","",""
"cbs","FBgn0086757","","","",""
"CCDC151","FBgn0036219","","","",""
"CCHa1-R","FBgn0050106","","","",""
"CCHa2-R","FBgn0033058","","","",""
"Ccn","FBgn0052183","","","",""
"Cen","FBgn0032876","","","",""
"Cep135","FBgn0036480","","","",""
"CG10041","FBgn0038014","","","",""
"CG10050","FBgn0037492","","","",""
"CG10064","FBgn0035724","","","",""
"CG10116","FBgn0036367","","","",""
"CG10252","FBgn0039104","","","",""
"CG10300","FBgn0039107","","","",""
"CG10301","FBgn0039106","","","",""
"CG10307","FBgn0034655","","","",""
"CG10326","FBgn0038453","","","",""
"CG10357","FBgn0035453","","","",""
"CG10359","FBgn0035452","","","",""
"CG10420","FBgn0039296","","","",""
"CG10428","FBgn0032724","","","",""
"CG10469","FBgn0035678","","","",""
"CG10472","FBgn0035670","","","",""
"CG10477","FBgn0035661","","","",""
"CG10516","FBgn0036549","","","",""
"CG10543","FBgn0034570","","","",""
"CG10584","FBgn0037045","","","",""
"CG10657","FBgn0036289","","","",""
"CG10761","FBgn0030015","","","",""
"CG10809","FBgn0036052","","","",""
"CG10839","FBgn0028858","","","",""
"CG10859","FBgn0032520","","","",""
"CG10874","FBgn0031395","","","",""
"CG10877","FBgn0038804","","","",""
"CG1090","FBgn0037238","","","",""
"CG10948","FBgn0036317","","","",""
"CG10958","FBgn0030004","","","",""
"CG10979","FBgn0037379","","","",""
"CG11125","FBgn0033174","","","",""
"CG11148","FBgn0039936","","","",""
"CG11159","FBgn0034539","","","",""
"CG11210","FBgn0033259","","","",""
"CG11262","FBgn0036329","","","",""
"CG11309","FBgn0037070","","","",""
"CG11342","FBgn0035537","","","",""
"CG11399","FBgn0037021","","","",""
"CG11449","FBgn0037162","","","",""
"CG11456","FBgn0037031","","","",""
"CG11529","FBgn0036264","","","",""
"CG11550","FBgn0039864","","","",""
"CG11562","FBgn0031247","","","",""
"CG11671","FBgn0037562","","","",""
"CG11699","FBgn0030311","","","",""
"CG1172","FBgn0264712","","","",""
"CG11825","FBgn0033519","","","",""
"CG11970","FBgn0027503","","","",""
"CG12012","FBgn0035444","","","",""
"CG12014","FBgn0035445","","","",""
"CG12061","FBgn0040031","","","",""
"CG12194","FBgn0031636","","","",""
"CG12207","FBgn0038220","","","",""
"CG12237","FBgn0031048","","","",""
"CG12256","FBgn0038002","","","",""
"CG12304","FBgn0036515","","","",""
"CG12321","FBgn0038577","","","",""
"CG1233","FBgn0035137","","","",""
"CG12341","FBgn0033550","","","",""
"CG12384","FBgn0033624","","","",""
"CG12393","FBgn0031768","","","",""
"CG12531","FBgn0031064","","","",""
"CG12547","FBgn0250830","","","",""
"CG1265","FBgn0035517","","","",""
"CG12659","FBgn0040929","","","",""
"CG12713","FBgn0036536","","","",""
"CG12729","FBgn0029816","","","",""
"CG12783","FBgn0038448","","","",""
"CG12796","FBgn0029909","","","",""
"CG12913","FBgn0033500","","","",""
"CG12926","FBgn0033437","","","",""
"CG13032","FBgn0036652","","","",""
"CG1316","FBgn0035526","","","",""
"CG13192","FBgn0033653","","","",""
"CG13280","FBgn0032609","","","",""
"CG13282","FBgn0032612","","","",""
"CG13287","FBgn0035643","","","",""
"CG13318","FBgn0037627","","","",""
"CG13367","FBgn0025634","","","",""
"CG13404","FBgn0030559","","","",""
"CG13409","FBgn0038926","","","",""
"CG13502","FBgn0034692","","","",""
"CG13531","FBgn0034786","","","",""
"CG13603","FBgn0039135","","","",""
"CG13624","FBgn0039209","","","",""
"CG13654","FBgn0039290","","","",""
"CG13692","FBgn0031254","","","",""
"CG13760","FBgn0040375","","","",""
"CG13801","FBgn0035332","","","",""
"CG13827","FBgn0039068","","","",""
"CG13850","FBgn0038961","","","",""
"CG13855","FBgn0038960","","","",""
"CG13876","FBgn0035109","","","",""
"CG13901","FBgn0035164","","","",""
"CG13920","FBgn0025712","","","",""
"CG13930","FBgn0035256","","","",""
"CG13937","FBgn0035287","","","",""
"CG13993","FBgn0031776","","","",""
"CG14013","FBgn0031720","","","",""
"CG14017","FBgn0031721","","","",""
"CG14022","FBgn0031700","","","",""
"CG14024","FBgn0031697","","","",""
"CG14034","FBgn0250847","","","",""
"CG14043","FBgn0031659","","","",""
"CG1418","FBgn0033468","","","",""
"CG14182","FBgn0036922","","","",""
"CG14184","FBgn0036932","","","",""
"CG14185","FBgn0036936","","","",""
"CG14212","FBgn0031045","","","",""
"CG14286","FBgn0038673","","","",""
"CG14291","FBgn0038660","","","",""
"CG14325","FBgn0038531","","","",""
"CG14414","FBgn0030571","","","",""
"CG14464","FBgn0033000","","","",""
"CG14483","FBgn0034248","","","",""
"CG14490","FBgn0034281","","","",""
"CG14647","FBgn0037244","","","",""
"CG14683","FBgn0037822","","","",""
"CG14691","FBgn0037829","","","",""
"CG14718","FBgn0037939","","","",""
"CG14803","FBgn0023513","","","",""
"CG14838","FBgn0035799","","","",""
"CG14881","FBgn0038425","","","",""
"CG14905","FBgn0038452","","","",""
"CG14990","FBgn0035496","","","",""
"CG15027","FBgn0030611","","","",""
"CG15097","FBgn0034396","","","",""
"CG15120","FBgn0034454","","","",""
"CG15143","FBgn0032647","","","",""
"CG15144","FBgn0032648","","","",""
"CG15145","FBgn0032649","","","",""
"CG15177","FBgn0037461","","","",""
"CG15221","FBgn0030331","","","",""
"CG1523","FBgn0039601","","","",""
"CG15269","FBgn0028878","","","",""
"CG15368","FBgn0030104","","","",""
"CG15403","FBgn0031504","","","",""
"CG15445","FBgn0031161","","","",""
"CG15498","FBgn0038892","","","",""
"CG15537","FBgn0039770","","","",""
"CG15561","FBgn0039829","","","",""
"CG15602","FBgn0030694","","","",""
"CG15651","FBgn0034567","","","",""
"CG1571","FBgn0029993","","","",""
"CG1575","FBgn0029999","","","",""
"CG15820","FBgn0035312","","","",""
"CG15879","FBgn0035309","","","",""
"CG15916","FBgn0030704","","","",""
"CG16756","FBgn0029765","","","",""
"CG1677","FBgn0029941","","","",""
"CG16781","FBgn0029661","","","",""
"CG16799","FBgn0034538","","","",""
"CG16879","FBgn0028904","","","",""
"CG16896","FBgn0035073","","","",""
"CG16947","FBgn0031816","","","",""
"CG16984","FBgn0062517","","","",""
"CG16989","FBgn0025621","","","",""
"CG17019","FBgn0033783","","","",""
"CG17059","FBgn0040754","","","",""
"CG17083","FBgn0039070","","","",""
"CG17122","FBgn0036962","","","",""
"CG17167","FBgn0039941","","","",""
"CG17173","FBgn0036447","","","",""
"CG17191","FBgn0039473","","","",""
"CG17192","FBgn0039472","","","",""
"CG17249","FBgn0035249","","","",""
"CG17258","FBgn0031496","","","",""
"CG17292","FBgn0032029","","","",""
"CG17341","FBgn0028906","","","",""
"CG17360","FBgn0037949","","","",""
"CG17386","FBgn0033936","","","",""
"CG17387","FBgn0037276","","","",""
"CG17404","FBgn0038001","","","",""
"CG17450","FBgn0040028","","","",""
"CG17508","FBgn0039970","","","",""
"CG17680","FBgn0062440","","","",""
"CG17687","FBgn0036348","","","",""
"CG17841","FBgn0028480","","","",""
"CG1791","FBgn0030163","","","",""
"CG17991","FBgn0039498","","","",""
"CG1812","FBgn0031119","","","",""
"CG1815","FBgn0039863","","","",""
"CG18179","FBgn0036023","","","",""
"CG18180","FBgn0036024","","","",""
"CG18258","FBgn0265267","","","",""
"CG18335","FBgn0033610","","","",""
"CG18428","FBgn0039149","","","",""
"CG18477","FBgn0028864","","","",""
"CG18478","FBgn0028517","","","",""
"CG18557","FBgn0031470","","","",""
"CG18563","FBgn0032639","","","",""
"CG18619","FBgn0032202","","","",""
"CG18641","FBgn0031426","","","",""
"CG18675","FBgn0040696","","","",""
"CG1868","FBgn0033427","","","",""
"CG18809","FBgn0042132","","","",""
"CG1889","FBgn0030164","","","",""
"CG1902","FBgn0033434","","","",""
"CG1986","FBgn0030162","","","",""
"CG2182","FBgn0037360","","","",""
"CG2256","FBgn0029995","","","",""
"CG2258","FBgn0029997","","","",""
"CG2277","FBgn0035204","","","",""
"CG2321","FBgn0039663","","","",""
"CG2371","FBgn0030323","","","",""
"CG2608","FBgn0032870","","","",""
"CG2663","FBgn0037323","","","",""
"CG2701","FBgn0024973","","","",""
"CG2926","FBgn0037344","","","",""
"CG2938","FBgn0029685","","","",""
"CG30051","FBgn0050051","","","",""
"CG30062","FBgn0050062","","","",""
