"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"1-Sep","FBgn0011710","NA","","",""
"14-3-3epsilon","FBgn0020238","NA","","",""
"14-3-3zeta","FBgn0004907","NA","","",""
"2-Sep","FBgn0014029","NA","","",""
"4-Sep","FBgn0259923","NA","","",""
"5-Sep","FBgn0026361","NA","","",""
"Abi","FBgn0020510","NA","","",""
"Abl","FBgn0000017","NA","","",""
"Abp1","FBgn0036372","NA","","",""
"Act42A","FBgn0000043","NA","","",""
"Act57B","FBgn0000044","NA","","",""
"Act5C","FBgn0000042","NA","","",""
"Act79B","FBgn0000045","NA","","",""
"Act87E","FBgn0000046","NA","","",""
"Act88F","FBgn0000047","NA","","",""
"Actn","FBgn0000667","NA","","",""
"Actn3","FBgn0015008","NA","","",""
"alpha-Cat","FBgn0010215","NA","","",""
"alpha-catenin-related","FBgn0029105","NA","","",""
"alpha-Spec","FBgn0250789","NA","","",""
"alphaTub67C","FBgn0087040","NA","","",""
"alphaTub84B","FBgn0003884","NA","","",""
"alphaTub84D","FBgn0003885","NA","","",""
"alphaTub85E","FBgn0003886","NA","","",""
"Ank","FBgn0011747","NA","","",""
"Ank2","FBgn0261788","NA","","",""
"AnxB10","FBgn0000084","NA","","",""
"AnxB11","FBgn0030749","NA","","",""
"AnxB9","FBgn0000083","NA","","",""
"Apc","FBgn0015589","NA","","",""
"Apc2","FBgn0026598","NA","","",""
"Arf51F","FBgn0013750","NA","","",""
"arm","FBgn0000117","NA","","",""
"armi","FBgn0041164","NA","","",""
"Arp1","FBgn0011745","NA","","",""
"Arp10","FBgn0031050","NA","","",""
"Arp2","FBgn0011742","NA","","",""
"Arp3","FBgn0262716","NA","","",""
"Arp5","FBgn0038576","NA","","",""
"Arp53D","FBgn0011743","NA","","",""
"Arp6","FBgn0011741","NA","","",""
"Arp8","FBgn0030877","NA","","",""
"Arpc1","FBgn0001961","NA","","",""
"Arpc2","FBgn0032859","NA","","",""
"Arpc3A","FBgn0038369","NA","","",""
"Arpc3B","FBgn0065032","NA","","",""
"Arpc4","FBgn0031781","NA","","",""
"Arpc5","FBgn0031437","NA","","",""
"asp","FBgn0000140","NA","","",""
"aurB","FBgn0024227","NA","","",""
"awd","FBgn0000150","NA","","",""
"Bap55","FBgn0025716","NA","","",""
"baz","FBgn0000163","NA","","",""
"BBS4","FBgn0033578","NA","","",""
"beta-Spec","FBgn0250788","NA","","",""
"betaTub56D","FBgn0003887","NA","","",""
"betaTub60D","FBgn0003888","NA","","",""
"betaTub85D","FBgn0003889","NA","","",""
"betaTub97EF","FBgn0003890","NA","","",""
"bic","FBgn0000181","NA","","",""
"BicC","FBgn0000182","NA","","",""
"BicD","FBgn0000183","NA","","",""
"bif","FBgn0014133","NA","","",""
"Bili","FBgn0039282","NA","","",""
"blow","FBgn0004133","NA","","",""
"bnk","FBgn0004389","NA","","",""
"borr","FBgn0032105","NA","","",""
"brp","FBgn0259246","NA","","",""
"Bsg","FBgn0261822","NA","","",""
"bt","FBgn0005666","NA","","",""
"Btk29A","FBgn0003502","NA","","",""
"btv","FBgn0023096","NA","","",""
"btz","FBgn0045862","NA","","",""
"by","FBgn0000244","NA","","",""
"CalpA","FBgn0012051","NA","","",""
"cana","FBgn0040233","NA","","",""
"capt","FBgn0261458","NA","","",""
"capu","FBgn0000256","NA","","",""
"Cdc42","FBgn0010341","NA","","",""
"Cdep","FBgn0265082","NA","","",""
"Cdk5","FBgn0013762","NA","","",""
"Cdlc2","FBgn0026141","NA","","",""
"CG10068","FBgn0037473","NA","","",""
"CG10822","FBgn0034478","NA","","",""
"CG10834","FBgn0032972","NA","","",""
"CG10839","FBgn0028858","NA","","",""
"CG10859","FBgn0032520","NA","","",""
"CG10939","FBgn0010620","NA","","",""
"CG12042","FBgn0033206","NA","","",""
"CG13930","FBgn0035256","NA","","",""
"CG14535","FBgn0031955","NA","","",""
"CG14763","FBgn0033243","NA","","",""
"CG14838","FBgn0035799","NA","","",""
"CG15097","FBgn0034396","NA","","",""
"CG1571","FBgn0029993","NA","","",""
"CG16837","FBgn0035009","NA","","",""
"CG17150","FBgn0035581","NA","","",""
"CG17237","FBgn0031410","NA","","",""
"CG17450","FBgn0040028","NA","","",""
"CG17493","FBgn0040010","NA","","",""
"CG17528","FBgn0261387","NA","","",""
"CG18109","FBgn0028901","NA","","",""
"CG1909","FBgn0039911","NA","","",""
"CG3085","FBgn0034816","NA","","",""
"CG3121","FBgn0034957","NA","","",""
"CG31275","FBgn0063261","NA","","",""
"CG31802","FBgn0051802","NA","","",""
"CG32138","FBgn0267795","NA","","",""
"CG32232","FBgn0052232","NA","","",""
"CG32392","FBgn0052392","NA","","",""
"CG32396","FBgn0052396","NA","","",""
"CG32820","FBgn0052820","NA","","",""
"CG3339","FBgn0039510","NA","","",""
"CG33932","FBgn0066303","NA","","",""
"CG34347","FBgn0085376","NA","","",""
"CG34417","FBgn0085446","NA","","",""
"CG34434","FBgn0250904","NA","","",""
"CG42788","FBgn0261859","NA","","",""
"CG43324","FBgn0263029","NA","","",""
"CG43867","FBgn0264449","NA","","",""
"CG45186","FBgn0266696","NA","","",""
"CG5022","FBgn0032225","NA","","",""
"CG5023","FBgn0038774","NA","","",""
"CG5984","FBgn0039500","NA","","",""
"CG6053","FBgn0036195","NA","","",""
"CG6179","FBgn0030915","NA","","",""
"CG6873","FBgn0030951","NA","","",""
"CG6971","FBgn0037962","NA","","",""
"CG7276","FBgn0036499","NA","","",""
"CG7716","FBgn0035800","NA","","",""
"CG7794","FBgn0038565","NA","","",""
"CG8397","FBgn0034066","NA","","",""
"CG8407","FBgn0033687","NA","","",""
"CG8800","FBgn0033408","NA","","",""
"CG9279","FBgn0036882","NA","","",""
"CG9313","FBgn0034566","NA","","",""
"CG9426","FBgn0032485","NA","","",""
"CG9492","FBgn0037726","NA","","",""
"chb","FBgn0021760","NA","","",""
"Chd64","FBgn0035499","NA","","",""
"Che-13","FBgn0031550","NA","","",""
"cher","FBgn0014141","NA","","",""
