"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"5-HT1A","FBgn0004168","NA","","",""
"5-HT1B","FBgn0263116","NA","","",""
"5-HT2A","FBgn0087012","NA","","",""
"5-HT2B","FBgn0261929","NA","","",""
"5-HT7","FBgn0004573","NA","","",""
"AdoR","FBgn0039747","NA","","",""
"AkhR","FBgn0025595","NA","","",""
"AMPKalpha","FBgn0023169","NA","","",""
"AstA-R1","FBgn0266429","NA","","",""
"AstA-R2","FBgn0039595","NA","","",""
"AstC-R1","FBgn0036790","NA","","",""
"AstC-R2","FBgn0036789","NA","","",""
"babo","FBgn0011300","NA","","",""
"boss","FBgn0000206","NA","","",""
"CapaR","FBgn0037100","NA","","",""
"CCAP-R","FBgn0039396","NA","","",""
"CCHa1-R","FBgn0050106","NA","","",""
"CCHa2-R","FBgn0033058","NA","","",""
"CCKLR-17D1","FBgn0259231","NA","","",""
"CCKLR-17D3","FBgn0030954","NA","","",""
"CG11318","FBgn0039818","NA","","",""
"CG12290","FBgn0039419","NA","","",""
"CG12796","FBgn0029909","NA","","",""
"CG13229","FBgn0033579","NA","","",""
"CG1339","FBgn0033202","NA","","",""
"CG13575","FBgn0034996","NA","","",""
"CG13579","FBgn0035010","NA","","",""
"CG13995","FBgn0031770","NA","","",""
"CG14420","FBgn0029643","NA","","",""
"CG15556","FBgn0039821","NA","","",""
"CG15614","FBgn0034168","NA","","",""
"CG15744","FBgn0030466","NA","","",""
"CG18208","FBgn0038653","NA","","",""
"CG2061","FBgn0027498","NA","","",""
"CG30340","FBgn0050340","NA","","",""
"CG31183","FBgn0051183","NA","","",""
"CG31750","FBgn0046888","NA","","",""
"CG31760","FBgn0051760","NA","","",""
"CG3216","FBgn0034568","NA","","",""
"CG32395","FBgn0041232","NA","","",""
"CG32447","FBgn0052447","NA","","",""
"CG32547","FBgn0052547","NA","","",""
"CG33639","FBgn0053639","NA","","",""
"CG34411","FBgn0085440","NA","","",""
"CG4168","FBgn0028888","NA","","",""
"CG4313","FBgn0025632","NA","","",""
"CG43795","FBgn0264339","NA","","",""
"CG44153","FBgn0265002","NA","","",""
"CG7497","FBgn0036742","NA","","",""
"CG9304","FBgn0034674","NA","","",""
"Cirl","FBgn0033313","NA","","",""
"CNMaR","FBgn0053696","NA","","",""
"cry","FBgn0025680","NA","","",""
"CrzR","FBgn0036278","NA","","",""
"Dh31-R","FBgn0052843","NA","","",""
"Dh44-R1","FBgn0033932","NA","","",""
"Dh44-R2","FBgn0033744","NA","","",""
"Dop1R1","FBgn0011582","NA","","",""
"Dop1R2","FBgn0266137","NA","","",""
"Dop2R","FBgn0053517","NA","","",""
"DopEcR","FBgn0035538","NA","","",""
"ETHR","FBgn0038874","NA","","",""
"FMRFaR","FBgn0035385","NA","","",""
"fz","FBgn0001085","NA","","",""
"fz2","FBgn0016797","NA","","",""
"fz3","FBgn0027343","NA","","",""
"fz4","FBgn0027342","NA","","",""
"GABA-B-R1","FBgn0260446","NA","","",""
"GABA-B-R2","FBgn0027575","NA","","",""
"GABA-B-R3","FBgn0031275","NA","","",""
"GPHR","FBgn0033995","NA","","",""
"Gprk1","FBgn0260798","NA","","",""
"Gprk2","FBgn0261988","NA","","",""
"Gr10a","FBgn0045502","NA","","",""
"Gr10b","FBgn0030297","NA","","",""
"Gr21a","FBgn0041250","NA","","",""
"Gr22a","FBgn0045501","NA","","",""
"Gr22c","FBgn0265138","NA","","",""
"Gr22e","FBgn0045497","NA","","",""
"Gr22f","FBgn0041249","NA","","",""
"Gr23a","FBgn0041248","NA","","",""
"Gr28a","FBgn0041247","NA","","",""
"Gr28b","FBgn0045495","NA","","",""
"Gr2a","FBgn0265139","NA","","",""
"Gr32a","FBgn0041246","NA","","",""
"Gr33a","FBgn0032416","NA","","",""
"Gr36a","FBgn0045487","NA","","",""
"Gr36b","FBgn0045486","NA","","",""
"Gr36c","FBgn0045485","NA","","",""
"Gr39a","FBgn0264556","NA","","",""
"Gr39b","FBgn0041245","NA","","",""
"Gr43a","FBgn0041243","NA","","",""
"Gr47a","FBgn0041242","NA","","",""
"Gr47b","FBgn0041241","NA","","",""
"Gr57a","FBgn0041240","NA","","",""
"Gr58a","FBgn0041239","NA","","",""
"Gr58b","FBgn0041238","NA","","",""
"Gr58c","FBgn0041237","NA","","",""
"Gr59a","FBgn0045483","NA","","",""
"Gr59b","FBgn0045482","NA","","",""
"Gr59c","FBgn0041235","NA","","",""
"Gr59d","FBgn0041236","NA","","",""
"Gr59e","FBgn0041233","NA","","",""
"Gr59f","FBgn0041234","NA","","",""
"Gr5a","FBgn0003747","NA","","",""
"Gr61a","FBgn0035167","NA","","",""
"Gr63a","FBgn0035468","NA","","",""
"Gr64a","FBgn0045479","NA","","",""
"Gr64b","FBgn0045478","NA","","",""
"Gr64c","FBgn0045477","NA","","",""
"Gr64d","FBgn0035486","NA","","",""
"Gr64e","FBgn0045476","NA","","",""
"Gr64f","FBgn0052255","NA","","",""
"Gr66a","FBgn0035870","NA","","",""
"Gr68a","FBgn0041231","NA","","",""
"Gr77a","FBgn0045474","NA","","",""
"Gr85a","FBgn0045473","NA","","",""
"Gr89a","FBgn0038440","NA","","",""
"Gr8a","FBgn0030108","NA","","",""
"Gr92a","FBgn0045471","NA","","",""
"Gr93a","FBgn0041229","NA","","",""
"Gr93b","FBgn0045470","NA","","",""
"Gr93c","FBgn0045469","NA","","",""
"Gr93d","FBgn0045468","NA","","",""
"Gr94a","FBgn0041225","NA","","",""
"Gr97a","FBgn0041224","NA","","",""
"Gr98a","FBgn0039520","NA","","",""
"Gr98b","FBgn0046887","NA","","",""
"Gr98c","FBgn0046886","NA","","",""
"Gr98d","FBgn0046885","NA","","",""
"Gr9a","FBgn0052693","NA","","",""
"hec","FBgn0030437","NA","","",""
"Ir56d","FBgn0034458","NA","","",""
"Irk2","FBgn0039081","NA","","",""
"Lgr1","FBgn0016650","NA","","",""
