"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"18w","FBgn0004364","NA","","",""
"26-29-p","FBgn0250848","NA","","",""
"Acp26Aa","FBgn0002855","NA","","",""
"Acp65Aa","FBgn0020765","NA","","",""
"Adgf-A","FBgn0036752","NA","","",""
"Adgf-D","FBgn0038172","NA","","",""
"Alk","FBgn0040505","NA","","",""
"alpha-Man-IIb","FBgn0026616","NA","","",""
"alrm","FBgn0039332","NA","","",""
"Ama","FBgn0000071","NA","","",""
"Ance","FBgn0012037","NA","","",""
"Ance-3","FBgn0032536","NA","","",""
"Ance-4","FBgn0033366","NA","","",""
"Apoltp","FBgn0032136","NA","","",""
"axo","FBgn0262870","NA","","",""
"bdl","FBgn0028482","NA","","",""
"beat-IV","FBgn0039089","NA","","",""
"beat-Vc","FBgn0038084","NA","","",""
"beat-VII","FBgn0250908","NA","","",""
"beta-Man","FBgn0037215","NA","","",""
"boss","FBgn0000206","NA","","",""
"bou","FBgn0261284","NA","","",""
"Cad74A","FBgn0036715","NA","","",""
"Cad87A","FBgn0037963","NA","","",""
"Cad99C","FBgn0039709","NA","","",""
"CadN","FBgn0015609","NA","","",""
"CAH2","FBgn0027843","NA","","",""
"cathD","FBgn0029093","NA","","",""
"cd","FBgn0263986","NA","","",""
"CD98hc","FBgn0037533","NA","","",""
"Cda4","FBgn0052499","NA","","",""
"CDase","FBgn0039774","NA","","",""
"CG10211","FBgn0032685","NA","","",""
"CG10217","FBgn0039113","NA","","",""
"CG10359","FBgn0035452","NA","","",""
"CG10407","FBgn0038395","NA","","",""
"CG10680","FBgn0032836","NA","","",""
"CG10911","FBgn0034295","NA","","",""
"CG10912","FBgn0034296","NA","","",""
"CG1092","FBgn0037228","NA","","",""
"CG11073","FBgn0034693","NA","","",""
"CG11103","FBgn0030522","NA","","",""
"CG11319","FBgn0031835","NA","","",""
"CG11378","FBgn0040364","NA","","",""
"CG11400","FBgn0034198","NA","","",""
"CG11851","FBgn0039293","NA","","",""
"CG11951","FBgn0039656","NA","","",""
"CG11961","FBgn0034436","NA","","",""
"CG12163","FBgn0260462","NA","","",""
"CG12263","FBgn0034346","NA","","",""
"CG12484","FBgn0086604","NA","","",""
"CG1311","FBgn0035523","NA","","",""
"CG13506","FBgn0034723","NA","","",""
"CG13618","FBgn0039203","NA","","",""
"CG13654","FBgn0039290","NA","","",""
"CG13841","FBgn0040588","NA","","",""
"CG14516","FBgn0039640","NA","","",""
"CG14523","FBgn0039612","NA","","",""
"CG14526","FBgn0027578","NA","","",""
"CG14629","FBgn0040398","NA","","",""
"CG14880","FBgn0038422","NA","","",""
"CG14949","FBgn0035358","NA","","",""
"CG15117","FBgn0034417","NA","","",""
"CG15347","FBgn0030040","NA","","",""
"CG1545","FBgn0030259","NA","","",""
"CG15556","FBgn0039821","NA","","",""
"CG15630","FBgn0031627","NA","","",""
"CG1637","FBgn0030245","NA","","",""
"CG16771","FBgn0032779","NA","","",""
"CG16791","FBgn0038881","NA","","",""
"CG16798","FBgn0032856","NA","","",""
"CG16820","FBgn0032495","NA","","",""
"CG16965","FBgn0032387","NA","","",""
"CG17097","FBgn0265264","NA","","",""
"CG17111","FBgn0039048","NA","","",""
"CG17189","FBgn0039485","NA","","",""
"CG17660","FBgn0031356","NA","","",""
"CG17839","FBgn0036454","NA","","",""
"CG18673","FBgn0040629","NA","","",""
"CG18858","FBgn0042175","NA","","",""
"CG2233","FBgn0029990","NA","","",""
"CG2493","FBgn0032864","NA","","",""
"CG2736","FBgn0035090","NA","","",""
"CG2915","FBgn0033241","NA","","",""
"CG2918","FBgn0023529","NA","","",""
"CG2943","FBgn0037530","NA","","",""
"CG30059","FBgn0260475","NA","","",""
"CG31030","FBgn0051030","NA","","",""
"CG31100","FBgn0051100","NA","","",""
"CG31145","FBgn0051145","NA","","",""
"CG31195","FBgn0051195","NA","","",""
"CG31198","FBgn0051198","NA","","",""
"CG31233","FBgn0051233","NA","","",""
"CG31343","FBgn0051343","NA","","",""
"CG31414","FBgn0051414","NA","","",""
"CG31445","FBgn0051445","NA","","",""
"CG31663","FBgn0051663","NA","","",""
"CG31789","FBgn0051789","NA","","",""
"CG31821","FBgn0051821","NA","","",""
"CG31869","FBgn0051869","NA","","",""
"CG32036","FBgn0052036","NA","","",""
"CG32191","FBgn0052191","NA","","",""
"CG32206","FBgn0052206","NA","","",""
"CG3246","FBgn0031538","NA","","",""
"CG3303","FBgn0038381","NA","","",""
"CG33129","FBgn0053129","NA","","",""
"CG33303","FBgn0053303","NA","","",""
"CG33543","FBgn0053543","NA","","",""
"CG33978","FBgn0053978","NA","","",""
"CG34120","FBgn0083956","NA","","",""
"CG34355","FBgn0085384","NA","","",""
"CG34370","FBgn0085399","NA","","",""
"CG3505","FBgn0038250","NA","","",""
"CG3618","FBgn0037028","NA","","",""
"CG3702","FBgn0031590","NA","","",""
"CG3775","FBgn0030425","NA","","",""
"CG3790","FBgn0033778","NA","","",""
"CG3822","FBgn0038837","NA","","",""
"CG3907","FBgn0034958","NA","","",""
"CG3921","FBgn0031571","NA","","",""
"CG3940","FBgn0037788","NA","","",""
"CG40006","FBgn0058006","NA","","",""
"CG40160","FBgn0058160","NA","","",""
"CG4098","FBgn0036648","NA","","",""
"CG42709","FBgn0261674","NA","","",""
"CG4467","FBgn0039064","NA","","",""
"CG45002","FBgn0266354","NA","","",""
"CG4572","FBgn0038738","NA","","",""
"CG4587","FBgn0028863","NA","","",""
"CG4670","FBgn0033814","NA","","",""
"CG4721","FBgn0039024","NA","","",""
"CG4757","FBgn0027584","NA","","",""
"CG4829","FBgn0030796","NA","","",""
"CG4950","FBgn0036587","NA","","",""
"CG4972","FBgn0032217","NA","","",""
"CG4984","FBgn0034267","NA","","",""
"CG4998","FBgn0036612","NA","","",""
"CG5027","FBgn0036579","NA","","",""
"CG5038","FBgn0038324","NA","","",""
"CG5080","FBgn0031313","NA","","",""
"CG5273","FBgn0040382","NA","","",""
"CG5326","FBgn0038983","NA","","",""
"CG5397","FBgn0031327","NA","","",""
"CG5399","FBgn0038353","NA","","",""
"CG5506","FBgn0036766","NA","","",""
"CG5612","FBgn0039529","NA","","",""
"CG5731","FBgn0032192","NA","","",""
"CG5758","FBgn0032666","NA","","",""
"CG5867","FBgn0027586","NA","","",""
"CG5888","FBgn0028523","NA","","",""
"CG5948","FBgn0039386","NA","","",""
"CG5999","FBgn0038083","NA","","",""
"CG6044","FBgn0034725","NA","","",""
"CG6126","FBgn0038407","NA","","",""
"CG6225","FBgn0038072","NA","","",""
"CG6867","FBgn0030887","NA","","",""
"CG7227","FBgn0031970","NA","","",""
"CG7289","FBgn0031379","NA","","",""
"CG7453","FBgn0030991","NA","","",""
"CG7556","FBgn0030990","NA","","",""
"CG7714","FBgn0038645","NA","","",""
"CG7739","FBgn0036509","NA","","",""
"CG7781","FBgn0032021","NA","","",""
"CG7800","FBgn0037552","NA","","",""
"CG7997","FBgn0034117","NA","","",""
"CG8180","FBgn0034021","NA","","",""
"CG8297","FBgn0034050","NA","","",""
"CG8358","FBgn0037727","NA","","",""
"CG8507","FBgn0037756","NA","","",""
"CG8550","FBgn0033742","NA","","",""
"CG8646","FBgn0033763","NA","","",""
"CG8668","FBgn0031988","NA","","",""
"CG8909","FBgn0030706","NA","","",""
"CG9331","FBgn0032889","NA","","",""
"CG9372","FBgn0036891","NA","","",""
"CG9380","FBgn0035094","NA","","",""
"CG9394","FBgn0034588","NA","","",""
"CG9512","FBgn0030593","NA","","",""
"CG9568","FBgn0032087","NA","","",""
"CG9649","FBgn0038211","NA","","",""
"CG9780","FBgn0037230","NA","","",""
"CG9896","FBgn0034808","NA","","",""
"CG9917","FBgn0030740","NA","","",""
"CG9953","FBgn0035726","NA","","",""
"CG9990","FBgn0039594","NA","","",""
"chp","FBgn0267435","NA","","",""
"Cht5","FBgn0038180","NA","","",""
"Cht6","FBgn0263132","NA","","",""
"Cirl","FBgn0033313","NA","","",""
"CngB","FBgn0266346","NA","","",""
"Cnx99A","FBgn0015622","NA","","",""
"Cont","FBgn0037240","NA","","",""
"Cpr47Ee","FBgn0033602","NA","","",""
"Cpr49Ag","FBgn0033730","NA","","",""
"crb","FBgn0259685","NA","","",""
"crim","FBgn0036198","NA","","",""
"cv-d","FBgn0265048","NA","","",""
"Cys","FBgn0004629","NA","","",""
"dally","FBgn0263930","NA","","",""
"Dg","FBgn0034072","NA","","",""
"Dh44","FBgn0012344","NA","","",""
"DIP-eta","FBgn0031725","NA","","",""
"dome","FBgn0043903","NA","","",""
"dp","FBgn0053196","NA","","",""
"Dpse\GA10681","FBgn0070737","NA","","",""
"Dpse\GA13618","FBgn0073654","NA","","",""
"Dpse\GA14561","FBgn0074589","NA","","",""
"Dpse\GA15449","FBgn0075466","NA","","",""
"Dpse\GA15471","FBgn0075488","NA","","",""
"Dpse\GA15765","FBgn0075782","NA","","",""
"Dpse\GA16758","FBgn0076772","NA","","",""
"Dpse\GA17375","FBgn0077388","NA","","",""
"Dpse\GA17687","FBgn0077697","NA","","",""
"Dpse\GA17800","FBgn0077809","NA","","",""
"Dpse\GA18739","FBgn0078739","NA","","",""
"Dpse\GA19515","FBgn0079511","NA","","",""
"Dpse\GA21296","FBgn0081284","NA","","",""
"Dpse\GA21427","FBgn0081414","NA","","",""
"Dpse\GA21929","FBgn0081914","NA","","",""
"Dpse\GA26842","FBgn0248215","NA","","",""
"Dscam3","FBgn0261046","NA","","",""
"Dyak\GE13403","FBgn0068442","NA","","",""
"Eaat1","FBgn0026439","NA","","",""
"ed","FBgn0000547","NA","","",""
"emp","FBgn0010435","NA","","",""
"Ent2","FBgn0263916","NA","","",""
"Eph","FBgn0025936","NA","","",""
"Est-6","FBgn0000592","NA","","",""
"Est-Q","FBgn0037090","NA","","",""
"eys","FBgn0031414","NA","","",""
"Fas1","FBgn0262742","NA","","",""
"fat-spondin","FBgn0026721","NA","","",""
"fred","FBgn0051774","NA","","",""
"FucT6","FBgn0030327","NA","","",""
"Fur1","FBgn0004509","NA","","",""
"fw","FBgn0001083","NA","","",""
"Gal","FBgn0001089","NA","","",""
"Gat","FBgn0039915","NA","","",""
"GCS1","FBgn0030289","NA","","",""
"GCS2alpha","FBgn0027588","NA","","",""
"GILT1","FBgn0038149","NA","","",""
"GILT2","FBgn0039099","NA","","",""
"Gld","FBgn0001112","NA","","",""
"Gli","FBgn0001987","NA","","",""
"Glt","FBgn0001114","NA","","",""
"gol","FBgn0004919","NA","","",""
"Gp150","FBgn0013272","NA","","",""
"Gp210","FBgn0266580","NA","","",""
"Hexo1","FBgn0041630","NA","","",""
"Hexo2","FBgn0041629","NA","","",""
"Hf","FBgn0014000","NA","","",""
"hig","FBgn0010114","NA","","",""
"HisCl1","FBgn0037950","NA","","",""
"Hml","FBgn0029167","NA","","",""
"hoe1","FBgn0041150","NA","","",""
"hoe2","FBgn0031649","NA","","",""
"Idgf1","FBgn0020416","NA","","",""
"if","FBgn0001250","NA","","",""
"Indy","FBgn0036816","NA","","",""
"ine","FBgn0011603","NA","","",""
"Jheh1","FBgn0010053","NA","","",""
"kappaTry","FBgn0043471","NA","","",""
"kcc","FBgn0261794","NA","","",""
"kug","FBgn0261574","NA","","",""
"l(1)G0289","FBgn0028331","NA","","",""
"l(1)G0469","FBgn0040153","NA","","",""
"Lamp1","FBgn0032949","NA","","",""
"LanB2","FBgn0267348","NA","","",""
"lbk","FBgn0034083","NA","","",""
"Lerp","FBgn0051072","NA","","",""
"Lip4","FBgn0032264","NA","","",""
"LManI","FBgn0032253","NA","","",""
"LManII","FBgn0027611","NA","","",""
"LRP1","FBgn0053087","NA","","",""
"Lsp1gamma","FBgn0002564","NA","","",""
"Lsp2","FBgn0002565","NA","","",""
"ltl","FBgn0268063","NA","","",""
"Mal-A1","FBgn0002570","NA","","",""
"Mal-A5","FBgn0050359","NA","","",""
"Mal-A6","FBgn0050360","NA","","",""
"Mcr","FBgn0267488","NA","","",""
"Mdr65","FBgn0004513","NA","","",""
"mew","FBgn0004456","NA","","",""
"mfas","FBgn0260745","NA","","",""
"mgl","FBgn0261260","NA","","",""
"mGluR","FBgn0019985","NA","","",""
"Mid1","FBgn0053988","NA","","",""
"Mipp1","FBgn0026061","NA","","",""
