"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Aats-ala","FBgn0027094","HuDis670","","",""
"Aats-gly","FBgn0027088","HuDis670","","",""
"Aats-his","FBgn0027087","HuDis670","","",""
"Aats-lys","FBgn0027084","HuDis670","","",""
"Aats-tyr","FBgn0027080","HuDis670","","",""
"Aats-tyr-m","FBgn0035064","HuDis670","","",""
"aay","FBgn0023129","HuDis670","","",""
"ABCB7","FBgn0035244","HuDis670","","",""
"ACC","FBgn0033246","HuDis670","","",""
"Acsl","FBgn0263120","HuDis670","","",""
"Actn","FBgn0000667","HuDis670","","",""
"AdenoK","FBgn0036337","HuDis670","","",""
"Adk1","FBgn0022709","HuDis670","","",""
"Adk2","FBgn0022708","HuDis670","","",""
"AGBE","FBgn0053138","HuDis670","","",""
"Ahcy13","FBgn0014455","HuDis670","","",""
"AIF","FBgn0031392","HuDis670","","",""
"AkhR","FBgn0025595","HuDis670","","",""
"Alas","FBgn0020764","HuDis670","","",""
"Ald","FBgn0000064","HuDis670","","",""
"Aldh","FBgn0012036","HuDis670","","",""
"Aldh-III","FBgn0010548","HuDis670","","",""
"Alg10","FBgn0052076","HuDis670","","",""
"alpha-Spec","FBgn0250789","HuDis670","","",""
"Alr","FBgn0031068","HuDis670","","",""
"AP-1sigma","FBgn0039132","HuDis670","","",""
"Appl","FBgn0000108","HuDis670","","",""
"Aprt","FBgn0000109","HuDis670","","",""
"aralar1","FBgn0028646","HuDis670","","",""
"Arc42","FBgn0038742","HuDis670","","",""
"arg","FBgn0023535","HuDis670","","",""
"Arl6","FBgn0034446","HuDis670","","",""
"arm","FBgn0000117","HuDis670","","",""
"arr","FBgn0000119","HuDis670","","",""
"Atg16","FBgn0039705","HuDis670","","",""
"Atg17","FBgn0037363","HuDis670","","",""
"Atpalpha","FBgn0002921","HuDis670","","",""
"Atx2","FBgn0041188","HuDis670","","",""
"B9d1","FBgn0038342","HuDis670","","",""
"babo","FBgn0011300","HuDis670","","",""
"baf","FBgn0031977","HuDis670","","",""
"ball","FBgn0027889","HuDis670","","",""
"BBS4","FBgn0033578","HuDis670","","",""
"BBS8","FBgn0031255","HuDis670","","",""
"beta-Man","FBgn0037215","HuDis670","","",""
"beta4GalT7","FBgn0039258","HuDis670","","",""
"Bgb","FBgn0013753","HuDis670","","",""
"BHD","FBgn0261111","HuDis670","","",""
"BicC","FBgn0000182","HuDis670","","",""
"bon","FBgn0023097","HuDis670","","",""
"brm","FBgn0000212","HuDis670","","",""
"bru","FBgn0261787","HuDis670","","",""
"BRWD3","FBgn0011785","HuDis670","","",""
"bsf","FBgn0032679","HuDis670","","",""
"bsk","FBgn0000229","HuDis670","","",""
