"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Amt","FBgn0038309","","Y","",""
"AnxB10","FBgn0000084","","Y","",""
"AnxB11","FBgn0030749","","Y","",""
"AnxB9","FBgn0000083","","Y","",""
"Axs","FBgn0000152","","Y","",""
"Best1","FBgn0040238","","Y","",""
"Best2","FBgn0035696","","Y","",""
"Best3","FBgn0036492","","Y","",""
"Best4","FBgn0036491","","Y","",""
"bib","FBgn0000180","","Y","",""
"brv1","FBgn0036874","","Y","",""
"brv2","FBgn0036712","","Y","",""
"brv3","FBgn0040333","","Y","",""
"Ca-alpha1D","FBgn0001991","","Y","",""
"Ca-alpha1T","FBgn0264386","","Y","",""
"Ca-beta","FBgn0259822","","Y","",""
"cac","FBgn0263111","","Y","",""
"CG10353","FBgn0030349","","Y","",""
"CG10470","FBgn0032746","","Y","",""
"CG10864","FBgn0038621","","Y","",""
"CG1090","FBgn0037238","","Y","",""
"CG11155","FBgn0039927","","Y","",""
"CG11210","FBgn0033259","","Y","",""
"CG11566","FBgn0031159","","Y","",""
"CG11581","FBgn0030540","","Y","",""
"CG12061","FBgn0040031","","Y","",""
"CG12344","FBgn0033558","","Y","",""
"CG13641","FBgn0039239","","Y","",""
"CG15270","FBgn0028879","","Y","",""
"CG16743","FBgn0032322","","Y","",""
"CG1688","FBgn0027589","","Y","",""
"CG17167","FBgn0039941","","Y","",""
"CG18549","FBgn0038053","","Y","",""
"CG2121","FBgn0033289","","Y","",""
"CG30048","FBgn0050048","","Y","",""
"CG33061","FBgn0053061","","Y","",""
"CG33509","FBgn0053509","","Y","",""
"CG33510","FBgn0053510","","Y","",""
"CG33511","FBgn0053511","","Y","",""
"CG34396","FBgn0085425","","Y","",""
"CG3638","FBgn0261444","","Y","",""
"CG4098","FBgn0036648","","Y","",""
"CG42260","FBgn0259145","","Y","",""
"CG42340","FBgn0259242","","Y","",""
"CG4239","FBgn0030745","","Y","",""
"CG42594","FBgn0260971","","Y","",""
"CG42638","FBgn0261361","","Y","",""
"CG43155","FBgn0262685","","Y","",""
"CG4587","FBgn0028863","","Y","",""
"CG4928","FBgn0027556","","Y","",""
"CG5002","FBgn0034275","","Y","",""
"CG5404","FBgn0038354","","Y","",""
"CG6026","FBgn0038676","","Y","",""
"CG6125","FBgn0038337","","Y","",""
"CG6752","FBgn0038296","","Y","",""
"CG6927","FBgn0029733","","Y","",""
"CG6928","FBgn0036240","","Y","",""
"CG6938","FBgn0036235","","Y","",""
"CG7589","FBgn0036727","","Y","",""
"CG7912","FBgn0039736","","Y","",""
"CG8916","FBgn0030707","","Y","",""
"CG9194","FBgn0035192","","Y","",""
"CG9702","FBgn0039787","","Y","",""
"CG9717","FBgn0039789","","Y","",""
"CheB42a","FBgn0053348","","Y","",""
"ClC-a","FBgn0051116","","Y","",""
"ClC-b","FBgn0033755","","Y","",""
"ClC-c","FBgn0036566","","Y","",""
"Clic","FBgn0030529","","Y","",""
"clumsy","FBgn0026255","","Y","",""
"CngA","FBgn0261612","","Y","",""
"CngB","FBgn0266346","","Y","",""
"Cngl","FBgn0263257","","Y","",""
"Ctr1A","FBgn0062413","","Y","",""
"Ctr1B","FBgn0062412","","Y","",""
"Ctr1C","FBgn0062411","","Y","",""
"Debcl","FBgn0029131","","Y","",""
"Drip","FBgn0015872","","Y","",""
"eag","FBgn0000535","","Y","",""
"Eglp1","FBgn0034882","","Y","",""
"Eglp2","FBgn0034883","","Y","",""
"Eglp3","FBgn0034884","","Y","",""
"Eglp4","FBgn0034885","","Y","",""
"Ekar","FBgn0039916","","Y","",""
"Elk","FBgn0011589","","Y","",""
"EMRE","FBgn0062440","","Y","",""
"Esp","FBgn0013953","","Y","",""
"fwe","FBgn0261722","","Y","",""
"GluClalpha","FBgn0024963","","Y","",""
"GluRIA","FBgn0004619","","Y","",""
"GluRIB","FBgn0264000","","Y","",""
"GluRIIA","FBgn0004620","","Y","",""
"GluRIIB","FBgn0020429","","Y","",""
"GluRIIC","FBgn0046113","","Y","",""
"GluRIID","FBgn0028422","","Y","",""
"GluRIIE","FBgn0051201","","Y","",""
"GPHR","FBgn0033995","","Y","",""
"Grd","FBgn0001134","","Y","",""
"Grik","FBgn0038840","","Y","",""
"HisCl1","FBgn0037950","","Y","",""
"Hk","FBgn0263220","","Y","",""
"iav","FBgn0086693","","Y","",""
"Ih","FBgn0263397","","Y","",""
"Inx2","FBgn0027108","","Y","",""
"Inx3","FBgn0265274","","Y","",""
"Inx5","FBgn0030989","","Y","",""
"Inx6","FBgn0027107","","Y","",""
"Inx7","FBgn0027106","","Y","",""
"Ir100a","FBgn0039879","","Y","",""
"Ir10a","FBgn0083979","","Y","",""
"Ir11a","FBgn0030385","","Y","",""
"Ir20a","FBgn0031181","","Y","",""
"Ir21a","FBgn0031209","","Y","",""
"Ir25a","FBgn0031634","","Y","",""
"Ir31a","FBgn0051718","","Y","",""
"Ir40a","FBgn0259683","","Y","",""
"Ir41a","FBgn0040849","","Y","",""
"Ir47a","FBgn0033515","","Y","",""
"Ir48b","FBgn0033648","","Y","",""
"Ir48c","FBgn0033651","","Y","",""
"Ir51b","FBgn0050081","","Y","",""
"Ir52a","FBgn0034023","","Y","",""
"Ir52b","FBgn0050469","","Y","",""
"Ir52c","FBgn0050468","","Y","",""
"Ir52d","FBgn0050464","","Y","",""
"Ir54a","FBgn0034272","","Y","",""
"Ir56a","FBgn0050125","","Y","",""
"Ir56b","FBgn0034456","","Y","",""
"Ir56c","FBgn0034457","","Y","",""
"Ir56d","FBgn0034458","","Y","",""
"Ir60a","FBgn0034994","","Y","",""
"Ir60b","FBgn0259185","","Y","",""
"Ir60d","FBgn0259187","","Y","",""
"Ir60e","FBgn0035019","","Y","",""
"Ir62a","FBgn0053971","","Y","",""
"Ir64a","FBgn0035604","","Y","",""
"Ir67a","FBgn0036010","","Y","",""
"Ir67b","FBgn0036083","","Y","",""
"Ir67c","FBgn0052058","","Y","",""
"Ir68a","FBgn0036150","","Y","",""
"Ir68b","FBgn0036250","","Y","",""
"Ir75a","FBgn0036757","","Y","",""
"Ir75b","FBgn0261402","","Y","",""
"Ir75c","FBgn0261401","","Y","",""
"Ir75d","FBgn0036829","","Y","",""
"Ir76a","FBgn0260874","","Y","",""
"Ir76b","FBgn0036937","","Y","",""
"Ir7a","FBgn0029961","","Y","",""
"Ir7b","FBgn0029965","","Y","",""
"Ir7c","FBgn0029966","","Y","",""
"Ir7d","FBgn0259190","","Y","",""
"Ir7e","FBgn0259189","","Y","",""
"Ir7f","FBgn0259188","","Y","",""
"Ir7g","FBgn0029968","","Y","",""
"Ir84a","FBgn0037501","","Y","",""
"Ir85a","FBgn0037630","","Y","",""
"Ir87a","FBgn0038153","","Y","",""
"Ir8a","FBgn0052704","","Y","",""
"Ir92a","FBgn0038789","","Y","",""
"Ir93a","FBgn0259215","","Y","",""
"Ir94a","FBgn0051164","","Y","",""
"Ir94b","FBgn0051424","","Y","",""
"Ir94c","FBgn0051423","","Y","",""
"Ir94d","FBgn0259193","","Y","",""
"Ir94e","FBgn0259194","","Y","",""
"Ir94f","FBgn0051225","","Y","",""
"Ir94g","FBgn0039079","","Y","",""
"Ir94h","FBgn0039080","","Y","",""
"Irk1","FBgn0265042","","Y","",""
"Irk2","FBgn0039081","","Y","",""
"Irk3","FBgn0032706","","Y","",""
"Itp-r83A","FBgn0010051","","Y","",""
"KaiR1D","FBgn0038837","","Y","",""
"KCNQ","FBgn0033494","","Y","",""
"Lcch3","FBgn0010240","","Y","",""
"MCU","FBgn0042185","","Y","",""
