"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Abl","FBgn0000017","Protein Kinase","","",""
"Ack","FBgn0028484","Protein Kinase","","",""
"AdenoK","FBgn0036337","Non-protein Kinase","","",""
"Adk1","FBgn0022709","Non-protein Kinase","","",""
"Adk2","FBgn0022708","Non-protein Kinase","","",""
"Adk3","FBgn0042094","Non-protein Kinase","","",""
"Ady43A","FBgn0026602","Non-protein Kinase","","",""
"Ak6","FBgn0033754","Non-protein Kinase","","",""
"Akt1","FBgn0010379","Protein Kinase","","",""
"alc","FBgn0260972","Protein Kinase","","",""
"Alk","FBgn0040505","Protein Kinase","","",""
"AMPKalpha","FBgn0023169","Protein Kinase","","",""
"aPKC","FBgn0261854","Protein Kinase","","",""
"Argk","FBgn0000116","Non-protein Kinase","","",""
"Asator","FBgn0039908","Protein Kinase","","",""
"asp","FBgn0000140","Protein Kinase","","",""
"Atg1","FBgn0260945","Protein Kinase","","",""
"aurA","FBgn0000147","Protein Kinase","","",""
"aurB","FBgn0024227","Protein Kinase","","",""
"aux","FBgn0037218","Protein Kinase","","",""
"awd","FBgn0000150","Non-protein Kinase","","",""
"babo","FBgn0011300","Protein Kinase","","",""
"ball","FBgn0027889","Protein Kinase","","",""
"bon","FBgn0023097","Protein Kinase","","",""
"bsk","FBgn0000229","Protein Kinase","","",""
"bt","FBgn0005666","Protein Kinase","","",""
"Btk29A","FBgn0003502","Protein Kinase","","",""
"btl","FBgn0005592","Protein Kinase","","",""
"Bub1","FBgn0031696","Protein Kinase","","",""
"Ca-beta","FBgn0259822","Non-protein Kinase","","",""
"Cad96Ca","FBgn0022800","Protein Kinase","","",""
"CaMKI","FBgn0016126","Protein Kinase","","",""
"CaMKII","FBgn0264607","Protein Kinase","","",""
"CASK","FBgn0013759","Protein Kinase","","",""
"cdc2rk","FBgn0013435","Protein Kinase","","",""
"Cdc7","FBgn0028360","Protein Kinase","","",""
"cdi","FBgn0004876","Protein Kinase","","",""
"Cdk1","FBgn0004106","Protein Kinase","","",""
"Cdk12","FBgn0037093","Protein Kinase","","",""
"Cdk2","FBgn0004107","Protein Kinase","","",""
"Cdk4","FBgn0016131","Protein Kinase","","",""
"Cdk5","FBgn0013762","Protein Kinase","","",""
"Cdk5alpha","FBgn0027491","Protein Kinase","","",""
"Cdk7","FBgn0263237","Protein Kinase","","",""
"Cdk8","FBgn0015618","Protein Kinase","","",""
"Cdk9","FBgn0019949","Protein Kinase","","",""
"Cerk","FBgn0037315","Non-protein Kinase","","",""
"cert","FBgn0027569","Protein Kinase","","",""
"CG10082","FBgn0034644","Non-protein Kinase","","",""
"CG10177","FBgn0039083","Protein Kinase","","",""
"CG10268","FBgn0032811","Non-protein Kinase","","",""
"CG10459","FBgn0033440","Protein Kinase","","",""
"CG10702","FBgn0032752","Protein Kinase","","",""
"CG10738","FBgn0036368","Protein Kinase","","",""
"CG10924","FBgn0034356","Non-protein Kinase","","",""
"CG11221","FBgn0031855","Protein Kinase","","",""
"CG11249","FBgn0037115","Non-protein Kinase","","",""
"CG11486","FBgn0035397","Protein Kinase","","",""
"CG11594","FBgn0035484","Non-protein Kinase","","",""
"CG11811","FBgn0036099","Non-protein Kinase","","",""
"CG12016","FBgn0035436","Non-protein Kinase","","",""
"CG12069","FBgn0039796","Protein Kinase","","",""
"CG12147","FBgn0037325","Protein Kinase","","",""
"CG12170","FBgn0037356","Protein Kinase","","",""
"CG12229","FBgn0036723","Non-protein Kinase","","",""
"CG1227","FBgn0037491","Protein Kinase","","",""
"CG12289","FBgn0036160","Non-protein Kinase","","",""
"CG12567","FBgn0039958","Non-protein Kinase","","",""
"CG1271","FBgn0035392","Non-protein Kinase","","",""
"CG12788","FBgn0031041","Protein Kinase","","",""
"CG13369","FBgn0025640","Non-protein Kinase","","",""
"CG1344","FBgn0027507","Protein Kinase","","",""
"CG13474","FBgn0036439","Non-protein Kinase","","",""
"CG13850","FBgn0038961","Protein Kinase","","",""
"CG14006","FBgn0031733","Non-protein Kinase","","",""
"CG14305","FBgn0038630","Protein Kinase","","",""
"CG14721","FBgn0037942","Non-protein Kinase","","",""
"CG15543","FBgn0039799","Non-protein Kinase","","",""
"CG15547","FBgn0039809","Non-protein Kinase","","",""
"CG17010","FBgn0032424","Non-protein Kinase","","",""
"CG17528","FBgn0261387","Protein Kinase","","",""
"CG17698","FBgn0040056","Protein Kinase","","",""
"CG1951","FBgn0039623","Protein Kinase","","",""
"CG2124","FBgn0030217","Protein Kinase","","",""
"CG2201","FBgn0032955","Non-protein Kinase","","",""
"CG2246","FBgn0039790","Non-protein Kinase","","",""
"CG2577","FBgn0030384","Protein Kinase","","",""
"CG2794","FBgn0031265","Non-protein Kinase","","",""
"CG2846","FBgn0014930","Non-protein Kinase","","",""
"CG2964","FBgn0031462","Non-protein Kinase","","",""
"CG3008","FBgn0031643","Protein Kinase","","",""
"CG30274","FBgn0050274","Non-protein Kinase","","",""
"CG31097","FBgn0051097","Protein Kinase","","",""
"CG31140","FBgn0051140","Non-protein Kinase","","",""
"CG31183","FBgn0051183","Protein Kinase","","",""
"CG31643","FBgn0051643","Protein Kinase","","",""
"CG31751","FBgn0086909","Protein Kinase","","",""
"CG3216","FBgn0034568","Protein Kinase","","",""
"CG32649","FBgn0052649","Protein Kinase","","",""
"CG3277","FBgn0031518","Protein Kinase","","",""
"CG32944","FBgn0052944","Protein Kinase","","",""
"CG33156","FBgn0053156","Non-protein Kinase","","",""
"CG33467","FBgn0053467","Protein Kinase","","",""
"CG33671","FBgn0061359","Non-protein Kinase","","",""
"CG34356","FBgn0085385","Protein Kinase","","",""
"CG34357","FBgn0085386","Protein Kinase","","",""
"CG34380","FBgn0085409","Protein Kinase","","",""
"CG34384","FBgn0085413","Non-protein Kinase","","",""
"CG3534","FBgn0038463","Non-protein Kinase","","",""
"CG3544","FBgn0031279","Non-protein Kinase","","",""
"CG3608","FBgn0035039","Protein Kinase","","",""
