"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"140up","FBgn0010340","","","",""
"5PtaseI","FBgn0259178","","","",""
"AANAT1","FBgn0019643","","","",""
"Aasdh","FBgn0027780","","","",""
"aay","FBgn0023129","","","",""
"ABCA","FBgn0031170","","","",""
"Ac13E","FBgn0022710","","","",""
"Ac3","FBgn0023416","","","",""
"Ac76E","FBgn0004852","","","",""
"Ac78C","FBgn0024150","","","",""
"Acbp1","FBgn0031992","","","",""
"Acbp2","FBgn0010387","","","",""
"ACC","FBgn0033246","","","",""
"AcCoAS","FBgn0012034","","","",""
"Ace","FBgn0000024","","","",""
"Acon","FBgn0010100","","","",""
"Acox57D-d","FBgn0034629","","","",""
"Acox57D-p","FBgn0034628","","","",""
"Acph-1","FBgn0000032","","","",""
"Acsl","FBgn0263120","","","",""
"ACXA","FBgn0040510","","","",""
"ACXB","FBgn0040509","","","",""
"ACXC","FBgn0040508","","","",""
"ACXD","FBgn0040507","","","",""
"ACXE","FBgn0040506","","","",""
"Acyp","FBgn0025115","","","",""
"Acyp2","FBgn0038363","","","",""
"Ada","FBgn0037661","","","",""
"AdenoK","FBgn0036337","","","",""
"Adgf-A","FBgn0036752","","","",""
"Adgf-A2","FBgn0043025","","","",""
"Adgf-B","FBgn0036751","","","",""
"Adgf-C","FBgn0038173","","","",""
"Adgf-D","FBgn0038172","","","",""
"Adgf-E","FBgn0033952","","","",""
"Adh","FBgn0000055","","","",""
"Adhr","FBgn0000056","","","",""
"Adi1","FBgn0052068","","","",""
"AdipoR","FBgn0038984","","","",""
"Adk1","FBgn0022709","","","",""
"Adk2","FBgn0283494","","","",""
"Adk3","FBgn0042094","","","",""
"adp","FBgn0000057","","","",""
"ADPS","FBgn0033983","","","",""
"AdSL","FBgn0038467","","","",""
"AdSS","FBgn0027493","","","",""
"Ady43A","FBgn0026602","","","",""
"AGBE","FBgn0053138","","","",""
"Agpat1","FBgn0030421","","","",""
"Agpat2","FBgn0026718","","","",""
"Agpat3","FBgn0036623","","","",""
"Agpat4","FBgn0036622","","","",""
"Ahcy","FBgn0014455","","","",""
"AhcyL1","FBgn0035371","","","",""
"AhcyL2","FBgn0015011","","","",""
"AIF","FBgn0031392","","","",""
"AIMP1","FBgn0033351","","","",""
"Ak6","FBgn0033754","","","",""
"Akh","FBgn0004552","","","",""
"AkhR","FBgn0025595","","","",""
"Akt1","FBgn0010379","","","",""
"AlaRS","FBgn0027094","","","",""
"AlaRS-m","FBgn0028962","","","",""
"Alas","FBgn0020764","","","",""
"alc","FBgn0260972","","","",""
"Ald","FBgn0000064","","","",""
"Aldh","FBgn0012036","","","",""
"Aldh-III","FBgn0010548","","","",""
"Alg1","FBgn0038552","","","",""
"Alg10","FBgn0052076","","","",""
"Alg11","FBgn0037108","","","",""
"Alg14","FBgn0030645","","","",""
"Alg2","FBgn0035401","","","",""
"Alp1","FBgn0283479","","","",""
"Alp10","FBgn0035619","","","",""
"Alp11","FBgn0030661","","","",""
"Alp12","FBgn0032779","","","",""
"Alp13","FBgn0037786","","","",""
"Alp2","FBgn0283480","","","",""
"Alp4","FBgn0016123","","","",""
"Alp5","FBgn0038845","","","",""
"Alp6","FBgn0033423","","","",""
"Alp7","FBgn0034710","","","",""
"Alp8","FBgn0034712","","","",""
"Alp9","FBgn0035620","","","",""
"alpha-Est2","FBgn0015570","","","",""
"alpha-Man-Ia","FBgn0259170","","","",""
"alpha-Man-Ib","FBgn0039634","","","",""
"alpha-Man-Ic","FBgn0051202","","","",""
"alpha-Man-IIa","FBgn0011740","","","",""
"alpha-Man-IIb","FBgn0026616","","","",""
"alpha-PheRS","FBgn0030007","","","",""
"alpha4GT1","FBgn0031491","","","",""
"alpha4GT2","FBgn0039378","","","",""
"Amacr","FBgn0032881","","","",""
"amd","FBgn0000075","","","",""
"AMPdeam","FBgn0052626","","","",""
"AMPKalpha","FBgn0023169","","","",""
"Amy-d","FBgn0000078","","","",""
"Amy-p","FBgn0000079","","","",""
"Amyrel","FBgn0020506","","","",""
"anox","FBgn0064116","","","",""
"Ant2","FBgn0025111","","","",""
"antdh","FBgn0026268","","","",""
"AOX1","FBgn0267408","","","",""
"AOX2","FBgn0038348","","","",""
"AOX3","FBgn0038349","","","",""
"AOX4","FBgn0038350","","","",""
"Apf","FBgn0051713","","","",""
"apolpp","FBgn0087002","","","",""
"Apoltp","FBgn0032136","","","",""
"Aprt","FBgn0000109","","","",""
"Aps","FBgn0036111","","","",""
"aralar1","FBgn0028646","","","",""
"Arc42","FBgn0038742","","","",""
"Arf79F","FBgn0010348","","","",""
"arg","FBgn0023535","","","",""
"Argk","FBgn0000116","","","",""
"ArgRS","FBgn0027093","","","",""
"ArgRS-m","FBgn0037526","","","",""
"Arv1","FBgn0052442","","","",""
"AsnRS","FBgn0086443","","","",""
"AsnRS-m","FBgn0034177","","","",""
"AsnS","FBgn0270926","","","",""
"AspRS","FBgn0002069","","","",""
"AspRS-m","FBgn0051739","","","",""
"Ass","FBgn0026565","","","",""
"Atf-2","FBgn0265193","","","",""
"ATPCL","FBgn0020236","","","",""
"ATPsynB","FBgn0019644","","","",""
"ATPsynbeta","FBgn0010217","","","",""
