"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"140up","FBgn0010340","","","",""
"5PtaseI","FBgn0259178","","","",""
"AANAT1","FBgn0019643","","","",""
"Aasdh","FBgn0027780","","","",""
"Aats-glupro","FBgn0005674","enzyme","","",""
"Aats-met","FBgn0027083","enzyme","","",""
"aay","FBgn0023129","enzyme","","",""
"aay","FBgn0023129","","","",""
"ABCA","FBgn0031170","","","",""
"Ac13E","FBgn0022710","enzyme","","",""
"Ac13E","FBgn0022710","","","",""
"Ac3","FBgn0023416","enzyme","","",""
"Ac3","FBgn0023416","","","",""
"Ac76E","FBgn0004852","enzyme","","",""
"Ac76E","FBgn0004852","","","",""
"Ac78C","FBgn0024150","enzyme","","",""
"Ac78C","FBgn0024150","","","",""
"Acbp1","FBgn0031992","","","",""
"Acbp2","FBgn0010387","","","",""
"ACC","FBgn0033246","enzyme","","",""
"ACC","FBgn0033246","","","",""
"AcCoAS","FBgn0012034","enzyme","","",""
"AcCoAS","FBgn0012034","","","",""
"Ace","FBgn0000024","enzyme","","",""
"Ace","FBgn0000024","","","",""
"Acon","FBgn0010100","enzyme","","",""
"Acon","FBgn0010100","","","",""
"Acox57D-d","FBgn0034629","enzyme","","",""
"Acox57D-d","FBgn0034629","","","",""
"Acox57D-p","FBgn0034628","enzyme","","",""
"Acox57D-p","FBgn0034628","","","",""
"Acph-1","FBgn0000032","enzyme","","",""
"Acph-1","FBgn0000032","","","",""
"Acsl","FBgn0263120","enzyme","","",""
"Acsl","FBgn0263120","","","",""
"ACXA","FBgn0040510","enzyme","","",""
"ACXA","FBgn0040510","","","",""
"ACXB","FBgn0040509","enzyme","","",""
"ACXB","FBgn0040509","","","",""
"ACXC","FBgn0040508","enzyme","","",""
"ACXC","FBgn0040508","","","",""
"ACXD","FBgn0040507","enzyme","","",""
"ACXD","FBgn0040507","","","",""
"ACXE","FBgn0040506","","","",""
"Acyp","FBgn0025115","enzyme","","",""
"Acyp","FBgn0025115","","","",""
"Acyp2","FBgn0038363","enzyme","","",""
"Acyp2","FBgn0038363","","","",""
"Ada","FBgn0037661","enzyme","","",""
"Ada","FBgn0037661","","","",""
"ade2","FBgn0000052","enzyme","","",""
"ade3","FBgn0000053","enzyme","","",""
"ade5","FBgn0020513","enzyme","","",""
"AdenoK","FBgn0036337","enzyme","","",""
"AdenoK","FBgn0036337","","","",""
"Adgf-A","FBgn0036752","enzyme","","",""
"Adgf-A","FBgn0036752","","","",""
"Adgf-A2","FBgn0043025","","","",""
"Adgf-B","FBgn0036751","enzyme","","",""
"Adgf-B","FBgn0036751","","","",""
"Adgf-C","FBgn0038173","","","",""
"Adgf-D","FBgn0038172","enzyme","","",""
"Adgf-D","FBgn0038172","","","",""
"Adgf-E","FBgn0033952","enzyme","","",""
"Adgf-E","FBgn0033952","","","",""
"Adh","FBgn0000055","enzyme","","",""
"Adh","FBgn0000055","","","",""
"Adhr","FBgn0000056","","","",""
"Adi1","FBgn0052068","enzyme","","",""
"Adi1","FBgn0052068","","","",""
"AdipoR","FBgn0038984","other","","",""
"AdipoR","FBgn0038984","","","",""
"Adk1","FBgn0022709","enzyme","","",""
"Adk1","FBgn0022709","","","",""
"Adk2","FBgn0022708","enzyme","","",""
"Adk2","FBgn0283494","","","",""
"Adk3","FBgn0042094","enzyme","","",""
"Adk3","FBgn0042094","","","",""
"adp","FBgn0000057","other","","",""
"adp","FBgn0000057","","","",""
"ADPS","FBgn0033983","","","",""
"AdSL","FBgn0038467","enzyme","","",""
"AdSL","FBgn0038467","","","",""
"AdSS","FBgn0027493","enzyme","","",""
"AdSS","FBgn0027493","","","",""
"Ady43A","FBgn0026602","enzyme","","",""
"Ady43A","FBgn0026602","","","",""
"AGBE","FBgn0053138","enzyme","","",""
"AGBE","FBgn0053138","","","",""
"Agpat1","FBgn0030421","","","",""
"Agpat2","FBgn0026718","","","",""
"Agpat3","FBgn0036623","","","",""
"Agpat4","FBgn0036622","","","",""
"Ahcy","FBgn0014455","","","",""
"Ahcy13","FBgn0014455","enzyme","","",""
"Ahcy89E","FBgn0015011","enzyme","","",""
"AhcyL1","FBgn0035371","","","",""
"AhcyL2","FBgn0015011","","","",""
"AIF","FBgn0031392","","","",""
"AIMP1","FBgn0033351","","","",""
"Ak6","FBgn0033754","","","",""
"Akh","FBgn0004552","other","","",""
"Akh","FBgn0004552","","","",""
"AkhR","FBgn0025595","other","","",""
"AkhR","FBgn0025595","","","",""
"Akt1","FBgn0010379","enzyme","","",""
"Akt1","FBgn0010379","","","",""
"AlaRS","FBgn0027094","","","",""
"AlaRS-m","FBgn0028962","","","",""
"Alas","FBgn0020764","enzyme","","",""
"Alas","FBgn0020764","","","",""
"alc","FBgn0260972","enzyme","","",""
"alc","FBgn0260972","","","",""
"Ald","FBgn0000064","enzyme","","",""
"Ald","FBgn0000064","","","",""
"Aldh","FBgn0012036","enzyme","","",""
"Aldh","FBgn0012036","","","",""
"Aldh-III","FBgn0010548","enzyme","","",""
"Aldh-III","FBgn0010548","","","",""
"Alg1","FBgn0038552","","","",""
"Alg10","FBgn0052076","enzyme","","",""
"Alg10","FBgn0052076","","","",""
"Alg11","FBgn0037108","","","",""
