"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"aft","FBgn0026309","","","","Source: GO and domain annotation"
"agt","FBgn0024912","","","","Source: GO and domain annotation"
"Art1","FBgn0037834","","","","Source: GO and domain annotation"
"Art2","FBgn0031592","","","","Source: GO and domain annotation"
"Art3","FBgn0038306","","","","Source: GO and domain annotation"
"Art4","FBgn0037770","","","","Source: GO and domain annotation"
"Art6","FBgn0038189","","","","Source: GO and domain annotation"
"Art7","FBgn0034817","","","","Source: GO and domain annotation"
"Art8","FBgn0032329","","","","Source: GO and domain annotation"
"Art9","FBgn0038188","","","","Source: GO and domain annotation"
"ash1","FBgn0005386","","","","Source: GO and domain annotation"
"ash2","FBgn0000139","","","","Source: GO annotation"
"bin3","FBgn0263144","","","","Source: GO and domain annotation"
"Blimp-1","FBgn0035625","","","","Source: Literature"
"bsf","FBgn0284256","","","","Source: domain annotation"
"Caf1-55","FBgn0263979","","","","Source: GO annotation"
"CG10428","FBgn0032724","","","","Source: domain annotation"
"CG10527","FBgn0034583","","","","Source: GO annotation"
"CG10584","FBgn0037045","","","","Source: domain annotation"
"CG10621","FBgn0032726","","","","Source: domain annotation"
"CG10623","FBgn0032727","","","","Source: GO and domain annotation"
"CG1074","FBgn0037250","","","","Source: GO and domain annotation"
"CG10903","FBgn0037543","","","","Source: GO and domain annotation"
"CG10909","FBgn0038090","","","","Source: GO annotation"
"CG10931","FBgn0034274","","","","Source: GO annotation"
"CG10947","FBgn0032857","","","","Source: GO and domain annotation"
"CG11109","FBgn0037200","","","","Source: GO and domain annotation"
"CG11342","FBgn0035537","","","","Source: GO and domain annotation"
"CG11447","FBgn0038737","","","","Source: GO annotation"
"CG11596","FBgn0023522","","","","Source: GO annotation"
"CG11837","FBgn0039627","","","","Source: GO annotation"
"CG12128","FBgn0033473","","","","Source: domain annotation"
"CG1239","FBgn0037368","","","","Source: GO and domain annotation"
"CG12863","FBgn0033948","","","","Source: GO and domain annotation"
"CG13126","FBgn0032168","","","","Source: GO annotation"
"CG13287","FBgn0035643","","","","Source: Literature"
"CG13296","FBgn0035687","","","","Source: Literature"
"CG14100","FBgn0036889","","","","Source: GO and domain annotation"
"CG14282","FBgn0038685","","","","Source: GO annotation"
"CG14544","FBgn0039407","","","","Source: GO and domain annotation"
"CG14618","FBgn0031189","","","","Source: GO and domain annotation"
"CG14683","FBgn0037822","","","","Source: GO annotation"
"CG14906","FBgn0015351","","","","Source: GO annotation"
"CG15373","FBgn0030889","","","","Source: domain annotation"
"CG1550","FBgn0033225","","","","Source: Literature"
"CG17219","FBgn0031494","","","","Source: GO and domain annotation"
"CG17726","FBgn0037880","","","","Source: domain annotation"
"CG17807","FBgn0034748","","","","Source: GO and domain annotation"
"CG18048","FBgn0037435","","","","Source: GO and domain annotation"
"CG18596","FBgn0038953","","","","Source: GO annotation"
"CG18661","FBgn0040964","","","","Source: domain annotation (interpro)"
"CG2453","FBgn0030460","","","","Source: GO and domain annotation"
"CG2614","FBgn0032873","","","","Source: GO and domain annotation"
"CG2906","FBgn0033240","","","","Source: domain annotation"
"CG3011","FBgn0029823","","","","Source: GO and domain annotation"
"CG3021","FBgn0040337","","","","Source: domain annotation"
"CG32152","FBgn0052152","","","","Source: GO and domain annotation"
"CG32281","FBgn0052281","","","","Source: GO and domain annotation"
"CG32732","FBgn0052732","","","","Source: GO annotation"
"CG33060","FBgn0053060","","","","Source: GO annotation"
"CG33230","FBgn0053230","","","","Source: GO annotation"
"CG3337","FBgn0038871","","","","Source: domain annotation"
"CG33964","FBgn0053964","","","","Source: domain annotation"
"CG34195","FBgn0085224","","","","Source: GO and domain annotation"
"CG3515","FBgn0031431","","","","Source: GO annotation"
"CG3527","FBgn0029714","","","","Source: GO and domain annotation"
"CG3570","FBgn0035035","","","","Source: GO and domain annotation"
"CG3626","FBgn0029706","","","","Source: domain annotation"
"CG3793","FBgn0028507","","","","Source: GO and domain annotation"
"CG3808","FBgn0036838","","","","Source: GO and domain annotation"
"CG4045","FBgn0025629","","","","Source: GO and domain annotation"
"CG4161","FBgn0028892","","","","Source: GO annotation"
"CG4300","FBgn0036272","","","","Source: domain annotation"
"CG44836","FBgn0266099","","","","Source: Literature"
"CG4565","FBgn0037841","","","","Source: GO annotation"
"CG5013","FBgn0038396","","","","Source: GO and domain annotation"
"CG5220","FBgn0038471","","","","Source: GO annotation"
"CG5339","FBgn0034925","","","","Source: domain annotation"
"CG6345","FBgn0037816","","","","Source: Literature"
"CG6379","FBgn0029693","","","","Source: GO and domain annotation"
"CG6388","FBgn0032430","","","","Source: GO and domain annotation"
"CG6415","FBgn0032287","","","","Source: GO and domain annotation"
"CG6550","FBgn0034214","","","","Source: Literature"
"CG7009","FBgn0038861","","","","Source: GO annotation"
"CG7137","FBgn0034422","","","","Source: GO and domain annotation"
"CG7544","FBgn0033994","","","","Source: GO and domain annotation"
"CG7655","FBgn0038536","","","","Source: Literature"
"CG7818","FBgn0032016","","","","Source: GO annotation"
"CG7840","FBgn0032014","","","","Source: domain annotation"
"CG7889","FBgn0031003","","","","Source: GO and domain annotation"
"CG8043","FBgn0037610","","","","Source: domain annotation"
"CG8067","FBgn0033891","","","","Source: GO and domain annotation"
"CG8545","FBgn0033741","","","","Source: GO and domain annotation"
"CG8939","FBgn0030720","","","","Source: GO annotation"
"CG9154","FBgn0031777","","","","Source: GO and domain annotation"
"CG9249","FBgn0032922","","","","Source: GO and domain annotation"
"CG9386","FBgn0037708","","","","Source: GO and domain annotation"
"CG9515","FBgn0032077","","","","Source: Literature"
"CG9531","FBgn0031817","","","","Source: GO and domain annotation"
"CG9596","FBgn0031832","","","","Source: GO annotation"
"CG9643","FBgn0031485","","","","Source: GO and domain annotation"
"CG9666","FBgn0036856","","","","Source: GO annotation"
"CG9960","FBgn0031454","","","","Source: GO and domain annotation"
"CIAPIN1","FBgn0001977","","","","Source: Literature"
