"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"14-3-3epsilon","FBgn0020238","NA","","",""
"14-3-3zeta","FBgn0004907","NA","","",""
"140up","FBgn0010340","NA","","",""
"26-29-p","FBgn0250848","NA","","",""
"312","FBgn0029514","NA","","",""
"Aats-ala-m","FBgn0028962","NA","","",""
"Aats-gly","FBgn0027088","NA","","",""
"Aats-his","FBgn0027087","NA","","",""
"Aats-leu","FBgn0027085","NA","","",""
"Aats-met","FBgn0027083","NA","","",""
"Aats-phe-m","FBgn0275436","NA","","",""
"Aats-pro","FBgn0027082","NA","","",""
"Aats-tyr-m","FBgn0035064","NA","","",""
"ABCB7","FBgn0035244","NA","","",""
"Acon","FBgn0010100","NA","","",""
"Acp36DE","FBgn0011559","NA","","",""
"Acsl","FBgn0263120","NA","","",""
"Act57B","FBgn0000044","NA","","",""
"Act5C","FBgn0000042","NA","","",""
"Act79B","FBgn0000045","NA","","",""
"Act87E","FBgn0000046","NA","","",""
"Act88F","FBgn0000047","NA","","",""
"Actn","FBgn0000667","NA","","",""
"ade5","FBgn0020513","NA","","",""
"Adh","FBgn0000055","NA","","",""
"Adk2","FBgn0022708","NA","","",""
"Adk3","FBgn0042094","NA","","",""
"AIF","FBgn0031392","NA","","",""
"Alas","FBgn0020764","NA","","",""
"Ald","FBgn0000064","NA","","",""
"Aldh","FBgn0012036","NA","","",""
"Aldh-III","FBgn0010548","NA","","",""
"alpha-Est7","FBgn0015575","NA","","",""
"alpha-Spec","FBgn0250789","NA","","",""
"alphaTub84B","FBgn0003884","NA","","",""
"alphaTub84D","FBgn0003885","NA","","",""
"Alr","FBgn0031068","NA","","",""
"Ank","FBgn0011747","NA","","",""
"Ant2","FBgn0025111","NA","","",""
"AnxB9","FBgn0000083","NA","","",""
"ApepP","FBgn0026150","NA","","",""
"aralar1","FBgn0028646","NA","","",""
"Arc42","FBgn0038742","NA","","",""
"arg","FBgn0023535","NA","","",""
"Argk","FBgn0000116","NA","","",""
"asrij","FBgn0034793","NA","","",""
"Atpalpha","FBgn0002921","NA","","",""
"ATPsynB","FBgn0019644","NA","","",""
"ATPsynbeta","FBgn0010217","NA","","",""
"ATPsynbetaL","FBgn0036568","NA","","",""
"ATPsynC","FBgn0039830","NA","","",""
"ATPsynCF6","FBgn0016119","NA","","",""
"ATPsynD","FBgn0016120","NA","","",""
"ATPsyndelta","FBgn0028342","NA","","",""
"ATPsynE","FBgn0038224","NA","","",""
"ATPsynF","FBgn0035032","NA","","",""
"ATPsynG","FBgn0010612","NA","","",""
"ATPsyngamma","FBgn0020235","NA","","",""
"ATPsynO","FBgn0016691","NA","","",""
"att-ORFA","FBgn0067783","NA","","",""
"awd","FBgn0000150","NA","","",""
"bcn92","FBgn0013432","NA","","",""
"beg","FBgn0036691","NA","","",""
"beta-Spec","FBgn0250788","NA","","",""
"betaTub56D","FBgn0003887","NA","","",""
"bgm","FBgn0027348","NA","","",""
"bl","FBgn0267791","NA","","",""
"blp","FBgn0038387","NA","","",""
"blw","FBgn0011211","NA","","",""
"bonsai","FBgn0026261","NA","","",""
"bor","FBgn0040237","NA","","",""
"bsf","FBgn0032679","NA","","",""
"Bsg","FBgn0261822","NA","","",""
"c12.2","FBgn0040234","NA","","",""
"Ca-P60A","FBgn0263006","NA","","",""
"CAHbeta","FBgn0037646","NA","","",""
"Cam","FBgn0000253","NA","","",""
"Cat","FBgn0000261","NA","","",""
"cathD","FBgn0029093","NA","","",""
"Cbp53E","FBgn0004580","NA","","",""
"Ccdc56","FBgn0261353","NA","","",""
"Cchl","FBgn0038925","NA","","",""
"CG10063","FBgn0035727","NA","","",""
"CG10075","FBgn0035722","NA","","",""
"CG10092","FBgn0037526","NA","","",""
"CG10194","FBgn0032790","NA","","",""
"CG10214","FBgn0039115","NA","","",""
"CG10340","FBgn0022344","NA","","",""
"CG10361","FBgn0036208","NA","","",""
"CG10399","FBgn0031877","NA","","",""
"CG10424","FBgn0036848","NA","","",""
"CG10512","FBgn0037057","NA","","",""
"CG10527","FBgn0034583","NA","","",""
"CG10602","FBgn0032721","NA","","",""
"CG10639","FBgn0032729","NA","","",""
"CG10672","FBgn0035588","NA","","",""
"CG10731","FBgn0034081","NA","","",""
"CG10877","FBgn0038804","NA","","",""
"CG1090","FBgn0037238","NA","","",""
"CG10914","FBgn0034307","NA","","",""
"CG10924","FBgn0034356","NA","","",""
"CG10932","FBgn0029969","NA","","",""
"CG10962","FBgn0030073","NA","","",""
"CG11035","FBgn0037544","NA","","",""
"CG11077","FBgn0039930","NA","","",""
"CG11095","FBgn0030528","NA","","",""
"CG11110","FBgn0034535","NA","","",""
"CG11241","FBgn0037186","NA","","",""
"CG11267","FBgn0036334","NA","","",""
"CG11337","FBgn0039846","NA","","",""
"CG11562","FBgn0031247","NA","","",""
"CG11679","FBgn0030678","NA","","",""
"CG11722","FBgn0037777","NA","","",""
"CG11739","FBgn0037239","NA","","",""
"CG11752","FBgn0030292","NA","","",""
"CG11771","FBgn0039252","NA","","",""
"CG11779","FBgn0038683","NA","","",""
"CG11811","FBgn0036099","NA","","",""
"CG11825","FBgn0033519","NA","","",""
"CG11876","FBgn0039635","NA","","",""
"CG12162","FBgn0037329","NA","","",""
"CG12163","FBgn0260462","NA","","",""
"CG12170","FBgn0037356","NA","","",""
"CG12171","FBgn0037354","NA","","",""
"CG12262","FBgn0035811","NA","","",""
"CG12264","FBgn0032393","NA","","",""
"CG12355","FBgn0040805","NA","","",""
"CG1236","FBgn0037370","NA","","",""
"CG12375","FBgn0031987","NA","","",""
"CG12413","FBgn0039588","NA","","",""
"CG12512","FBgn0031703","NA","","",""
"CG12736","FBgn0033184","NA","","",""
"CG12848","FBgn0040666","NA","","",""
"CG12895","FBgn0033523","NA","","",""
"CG12935","FBgn0033547","NA","","",""
"CG13126","FBgn0032168","NA","","",""
"CG13163","FBgn0033712","NA","","",""
"CG1319","FBgn0035529","NA","","",""
"CG13220","FBgn0033608","NA","","",""
"CG13315","FBgn0040827","NA","","",""
"CG13321","FBgn0033787","NA","","",""
"CG13365","FBgn0029529","NA","","",""
"CG13392","FBgn0032033","NA","","",""
"CG13551","FBgn0040660","NA","","",""
"CG13601","FBgn0039126","NA","","",""
"CG13850","FBgn0038961","NA","","",""
"CG13890","FBgn0035169","NA","","",""
"CG14130","FBgn0036210","NA","","",""
"CG14207","FBgn0031037","NA","","",""
"CG14270","FBgn0029665","NA","","",""
"CG1440","FBgn0030038","NA","","",""
"CG14407","FBgn0030584","NA","","",""
"CG1444","FBgn0029975","NA","","",""
"CG14613","FBgn0031188","NA","","",""
"CG14630","FBgn0014903","NA","","",""
"CG14757","FBgn0033274","NA","","",""
"CG14777","FBgn0026872","NA","","",""
"CG14778","FBgn0029580","NA","","",""
"CG14806","FBgn0029594","NA","","",""
"CG14997","FBgn0035515","NA","","",""
"CG15093","FBgn0034390","NA","","",""
"CG1532","FBgn0031143","NA","","",""
"CG1544","FBgn0039827","NA","","",""
"CG15881","FBgn0036909","NA","","",""
"CG15908","FBgn0033085","NA","","",""
"CG15912","FBgn0029712","NA","","",""
"CG1635","FBgn0039854","NA","","",""
"CG1640","FBgn0030478","NA","","",""
"CG1648","FBgn0033446","NA","","",""
"CG1665","FBgn0033451","NA","","",""
"CG1673","FBgn0030482","NA","","",""
"CG16787","FBgn0034940","NA","","",""
"CG16935","FBgn0033883","NA","","",""
"CG16985","FBgn0035355","NA","","",""
"CG16986","FBgn0035356","NA","","",""
"CG17221","FBgn0031500","NA","","",""
"CG17327","FBgn0038107","NA","","",""
"CG1750","FBgn0039836","NA","","",""
"CG17683","FBgn0262115","NA","","",""
"CG17691","FBgn0039993","NA","","",""
"CG17715","FBgn0041004","NA","","",""
"CG17726","FBgn0037880","NA","","",""
"CG17734","FBgn0037890","NA","","",""
"CG1774","FBgn0039856","NA","","",""
"CG17896","FBgn0023537","NA","","",""
"CG1814","FBgn0033426","NA","","",""
"CG1824","FBgn0030403","NA","","",""
"CG18327","FBgn0033904","NA","","",""
"CG18528","FBgn0039189","NA","","",""
"CG18769","FBgn0042185","NA","","",""
"CG18815","FBgn0042138","NA","","",""
"CG1885","FBgn0030066","NA","","",""
"CG1907","FBgn0039674","NA","","",""
"CG2022","FBgn0037292","NA","","",""
"CG2059","FBgn0029942","NA","","",""
"CG2064","FBgn0033205","NA","","",""
"CG2076","FBgn0030263","NA","","",""
"CG2107","FBgn0035383","NA","","",""
"CG2118","FBgn0039877","NA","","",""
"CG2124","FBgn0030217","NA","","",""
"CG2145","FBgn0030251","NA","","",""
"CG2200","FBgn0030447","NA","","",""
"CG2277","FBgn0035204","NA","","",""
"Cg25C","FBgn0000299","NA","","",""
"CG2604","FBgn0037298","NA","","",""
"CG2658","FBgn0024992","NA","","",""
"CG2767","FBgn0037537","NA","","",""
"CG2794","FBgn0031265","NA","","",""
"CG2852","FBgn0034753","NA","","",""
"CG2862","FBgn0031459","NA","","",""
"CG2918","FBgn0023529","NA","","",""
"CG2970","FBgn0034936","NA","","",""
"CG2974","FBgn0030178","NA","","",""
"CG30010","FBgn0050010","NA","","",""
"CG30022","FBgn0050022","NA","","",""
"CG3011","FBgn0029823","NA","","",""
"CG30159","FBgn0050159","NA","","",""
"CG30373","FBgn0050373","NA","","",""
"CG30415","FBgn0250838","NA","","",""
"CG30491","FBgn0050491","NA","","",""
"CG30493","FBgn0050493","NA","","",""
"CG3107","FBgn0033005","NA","","",""
"CG31126","FBgn0051126","NA","","",""
"CG31178","FBgn0064912","NA","","",""
"CG31198","FBgn0051198","NA","","",""
"CG31229","FBgn0051229","NA","","",""
"CG31233","FBgn0051233","NA","","",""
"CG31278","FBgn0051278","NA","","",""
"CG31343","FBgn0051343","NA","","",""
"CG31538","FBgn0051538","NA","","",""
"CG31548","FBgn0051548","NA","","",""
"CG3156","FBgn0023536","NA","","",""
"CG31673","FBgn0051673","NA","","",""
"CG31739","FBgn0051739","NA","","",""
"CG32026","FBgn0052026","NA","","",""
"CG32103","FBgn0052103","NA","","",""
"CG32174","FBgn0052174","NA","","",""
"CG3226","FBgn0029882","NA","","",""
"CG32500","FBgn0052500","NA","","",""
"CG3262","FBgn0032986","NA","","",""
"CG32649","FBgn0052649","NA","","",""
"CG3267","FBgn0042083","NA","","",""
"CG3270","FBgn0033093","NA","","",""
"CG32857","FBgn0052857","NA","","",""
"CG3301","FBgn0038878","NA","","",""
"CG33054","FBgn0053054","NA","","",""
"CG33170","FBgn0053170","NA","","",""
"CG33228","FBgn0261373","NA","","",""
"CG33303","FBgn0053303","NA","","",""
"CG33340","FBgn0053340","NA","","",""
"CG33502","FBgn0053502","NA","","",""
"CG33649","FBgn0064115","NA","","",""
"CG33791","FBgn0035240","NA","","",""
"CG34117","FBgn0083953","NA","","",""
"CG34132","FBgn0083968","NA","","",""
"CG34140","FBgn0083976","NA","","",""
"CG34148","FBgn0083984","NA","","",""
"CG34150","FBgn0083986","NA","","",""
"CG34172","FBgn0085201","NA","","",""
"CG3420","FBgn0033100","NA","","",""
"CG34310","FBgn0085339","NA","","",""
"CG34424","FBgn0085453","NA","","",""
"CG3499","FBgn0034792","NA","","",""
"CG3566","FBgn0029854","NA","","",""
"CG3603","FBgn0029648","NA","","",""
"CG3608","FBgn0035039","NA","","",""
"CG3626","FBgn0029706","NA","","",""
"CG3663","FBgn0035044","NA","","",""
"CG3719","FBgn0024986","NA","","",""
"CG3776","FBgn0035088","NA","","",""
"CG3803","FBgn0034938","NA","","",""
"CG3835","FBgn0023507","NA","","",""
"CG3862","FBgn0031286","NA","","",""
"CG3902","FBgn0036824","NA","","",""
"CG3961","FBgn0036821","NA","","",""
"CG3999","FBgn0037801","NA","","",""
"CG4042","FBgn0037018","NA","","",""
"CG40472","FBgn0085736","NA","","",""
"CG4095","FBgn0029890","NA","","",""
"CG41128","FBgn0069923","NA","","",""
"CG42376","FBgn0259722","NA","","",""
"CG42497","FBgn0260223","NA","","",""
"CG42518","FBgn0260392","NA","","",""
