"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"ATPsynB","FBgn0019644","NA","","",""
"ATPsynbeta","FBgn0010217","NA","","",""
"ATPsynC","FBgn0039830","NA","","",""
"ATPsynCF6","FBgn0016119","NA","","",""
"ATPsynD","FBgn0016120","NA","","",""
"ATPsyndelta","FBgn0028342","NA","","",""
"ATPsynE","FBgn0038224","NA","","",""
"ATPsynF","FBgn0035032","NA","","",""
"ATPsynG","FBgn0010612","NA","","",""
"ATPsyngamma","FBgn0020235","NA","","",""
"ATPsynO","FBgn0016691","NA","","",""
"blw","FBgn0011211","NA","","",""
"Cap-G","FBgn0259876","NA","","",""
"COX4","FBgn0032833","NA","","",""
"COX5A","FBgn0019624","NA","","",""
"COX5B","FBgn0031830","NA","","",""
"COX6B","FBgn0031066","NA","","",""
"COX7A","FBgn0040529","NA","","",""
"COX7C","FBgn0040773","NA","","",""
"cype","FBgn0015031","NA","","",""
"Cyt-c1","FBgn0035600","NA","","",""
"levy","FBgn0034877","NA","","",""
"ND-13A","FBgn0031684","NA","","",""
"ND-13B","FBgn0047038","NA","","",""
"ND-15","FBgn0031228","NA","","",""
"ND-18","FBgn0031021","NA","","",""
"ND-19","FBgn0035046","NA","","",""
"ND-20","FBgn0030718","NA","","",""
"ND-23","FBgn0017567","NA","","",""
"ND-24","FBgn0030853","NA","","",""
"ND-30","FBgn0266582","NA","","",""
"ND-39","FBgn0037001","NA","","",""
"ND-42","FBgn0019957","NA","","",""
"ND-49","FBgn0039909","NA","","",""
"ND-51","FBgn0031771","NA","","",""
"ND-75","FBgn0017566","NA","","",""
"ND-ACP","FBgn0011361","NA","","",""
"ND-AGGG","FBgn0058002","NA","","",""
"ND-ASHI","FBgn0029888","NA","","",""
"ND-B12","FBgn0034645","NA","","",""
"ND-B14","FBgn0033570","NA","","",""
"ND-B14.5A","FBgn0025839","NA","","",""
"ND-B14.5B","FBgn0031505","NA","","",""
"ND-B14.7","FBgn0034576","NA","","",""
"ND-B15","FBgn0033961","NA","","",""
"ND-B16.6","FBgn0029868","NA","","",""
"ND-B17","FBgn0001989","NA","","",""
"ND-B17.2","FBgn0031436","NA","","",""
"ND-B18","FBgn0030605","NA","","",""
"ND-B22","FBgn0032511","NA","","",""
"ND-B8","FBgn0040705","NA","","",""
"ND-MLRQ","FBgn0052230","NA","","",""
"ND-MNLL","FBgn0029971","NA","","",""
"ND-PDSW","FBgn0021967","NA","","",""
"ND-SGDH","FBgn0011455","NA","","",""
"ox","FBgn0011227","NA","","",""
"RFeSP","FBgn0021906","NA","","",""
"SdhA","FBgn0261439","NA","","",""
"SdhB","FBgn0014028","NA","","",""
"SdhC","FBgn0037873","NA","","",""
"SdhD","FBgn0039112","NA","","",""
"sun","FBgn0014391","NA","","",""
"UQCR-11","FBgn0260008","NA","","",""
"UQCR-14","FBgn0030733","NA","","",""
"UQCR-6.4","FBgn0034245","NA","","",""
"UQCR-C1","FBgn0038271","NA","","",""
"UQCR-C2","FBgn0250814","NA","","",""
"UQCR-Q","FBgn0036728","NA","","",""
