"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"Acox57D-d","FBgn0034629","NA","","",""
"Acox57D-p","FBgn0034628","NA","","",""
"Acsl","FBgn0263120","NA","","",""
"awd","FBgn0000150","NA","","",""
"Best2","FBgn0035696","NA","","",""
"Cat","FBgn0000261","NA","","",""
"Ccs","FBgn0010531","NA","","",""
"Cdc7","FBgn0028360","NA","","",""
"CG10194","FBgn0032790","NA","","",""
"CG10195","FBgn0032787","NA","","",""
"CG10253","FBgn0033983","NA","","",""
"CG10268","FBgn0032811","NA","","",""
"CG10399","FBgn0031877","NA","","",""
"CG10476","FBgn0034426","NA","","",""
"CG10672","FBgn0035588","NA","","",""
"CG11077","FBgn0039930","NA","","",""
"CG11095","FBgn0030528","NA","","",""
"CG11208","FBgn0034488","NA","","",""
"CG11236","FBgn0031860","NA","","",""
"CG11284","FBgn0030056","NA","","",""
"CG11309","FBgn0037070","NA","","",""
"CG11737","FBgn0037592","NA","","",""
"CG12268","FBgn0039131","NA","","",""
"CG12338","FBgn0033543","NA","","",""
"CG12355","FBgn0040805","NA","","",""
"CG12428","FBgn0039543","NA","","",""
"CG12512","FBgn0031703","NA","","",""
"CG12541","FBgn0029930","NA","","",""
"CG1315","FBgn0026565","NA","","",""
"CG13827","FBgn0039068","NA","","",""
"CG13890","FBgn0035169","NA","","",""
"CG14688","FBgn0037819","NA","","",""
"CG14777","FBgn0026872","NA","","",""
"CG14778","FBgn0029580","NA","","",""
"CG15820","FBgn0035312","NA","","",""
"CG15879","FBgn0035309","NA","","",""
"CG1662","FBgn0030481","NA","","",""
"CG17018","FBgn0039972","NA","","",""
"CG17221","FBgn0031500","NA","","",""
"CG17544","FBgn0032775","NA","","",""
"CG17597","FBgn0032715","NA","","",""
"CG18003","FBgn0061356","NA","","",""
"CG18094","FBgn0032791","NA","","",""
"CG18155","FBgn0029945","NA","","",""
"CG18606","FBgn0034428","NA","","",""
"CG1882","FBgn0033226","NA","","",""
"CG2022","FBgn0037292","NA","","",""
"CG2316","FBgn0039890","NA","","",""
"CG30427","FBgn0043792","NA","","",""
"CG30463","FBgn0050463","NA","","",""
"CG31259","FBgn0051259","NA","","",""
"CG31454","FBgn0051454","NA","","",""
"CG31548","FBgn0051548","NA","","",""
"CG32103","FBgn0052103","NA","","",""
"CG32392","FBgn0052392","NA","","",""
"CG33474","FBgn0053474","NA","","",""
"CG33671","FBgn0061359","NA","","",""
"CG3394","FBgn0034999","NA","","",""
"CG3589","FBgn0035065","NA","","",""
"CG3603","FBgn0029648","NA","","",""
"CG3699","FBgn0040349","NA","","",""
"CG3961","FBgn0036821","NA","","",""
"CG44252","FBgn0265187","NA","","",""
"CG44253","FBgn0265188","NA","","",""
"CG4586","FBgn0029924","NA","","",""
"CG4860","FBgn0037999","NA","","",""
"CG5009","FBgn0027572","NA","","",""
"CG5065","FBgn0034145","NA","","",""
"CG5122","FBgn0032471","NA","","",""
"CG5190","FBgn0034351","NA","","",""
"CG5265","FBgn0038486","NA","","",""
"CG5590","FBgn0039537","NA","","",""
"CG5704","FBgn0026570","NA","","",""
"CG5707","FBgn0026593","NA","","",""
"CG5919","FBgn0038876","NA","","",""
"CG6006","FBgn0063649","NA","","",""
"CG6567","FBgn0037842","NA","","",""
"CG7601","FBgn0027583","NA","","",""
"CG7609","FBgn0027518","NA","","",""
"CG7632","FBgn0037071","NA","","",""
"CG7970","FBgn0035252","NA","","",""
"CG8032","FBgn0037606","NA","","",""
"CG8303","FBgn0034143","NA","","",""
"CG8306","FBgn0034142","NA","","",""
"CG8378","FBgn0027495","NA","","",""
"CG8814","FBgn0031478","NA","","",""
"CG9149","FBgn0035203","NA","","",""
"CG9314","FBgn0032061","NA","","",""
"CG9319","FBgn0032881","NA","","",""
"CG9527","FBgn0031813","NA","","",""
"CG9577","FBgn0031092","NA","","",""
"CG9993","FBgn0034553","NA","","",""
"CRAT","FBgn0037440","NA","","",""
"Dat","FBgn0019643","NA","","",""
"Dhap-at","FBgn0040212","NA","","",""
