"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"5PtaseI","FBgn0259178","Non-protein Phosphatase","","",""
"aay","FBgn0023129","Protein Phosphatase","","",""
"Acph-1","FBgn0000032","Non-protein Phosphatase","","",""
"Acyp","FBgn0025115","Non-protein Phosphatase","","",""
"Acyp2","FBgn0038363","Non-protein Phosphatase","","",""
"alph","FBgn0086361","Protein Phosphatase","","",""
"angel","FBgn0016762","Non-protein Phosphatase","","",""
"Apf","FBgn0051713","Non-protein Phosphatase","","",""
"Aph-4","FBgn0016123","Protein Phosphatase","","",""
"Aps","FBgn0036111","Non-protein Phosphatase","","",""
"bor","FBgn0040237","Non-protein Phosphatase","","",""
"CanA-14F","FBgn0267912","Protein Phosphatase","","",""
"CanA1","FBgn0010015","Protein Phosphatase","","",""
"CanB","FBgn0010014","Protein Phosphatase","","",""
"CanB2","FBgn0015614","Protein Phosphatase","","",""
"cdc14","FBgn0031952","Protein Phosphatase","","",""
"CG10089","FBgn0036369","Protein Phosphatase","","",""
"CG10132","FBgn0032798","Non-protein Phosphatase","","",""
"CG10352","FBgn0030348","Non-protein Phosphatase","","",""
"CG10376","FBgn0032702","Protein Phosphatase","","",""
"CG10417","FBgn0033021","Protein Phosphatase","","",""
"CG10426","FBgn0036273","Non-protein Phosphatase","","",""
"CG10581","FBgn0037046","Non-protein Phosphatase","","",""
"CG10592","FBgn0035619","Protein Phosphatase","","",""
"CG10827","FBgn0038845","Protein Phosphatase","","",""
"CG11052","FBgn0040524","Non-protein Phosphatase","","",""
"CG11291","FBgn0034713","Non-protein Phosphatase","","",""
"CG11425","FBgn0037167","Non-protein Phosphatase","","",""
"CG11426","FBgn0037166","Non-protein Phosphatase","","",""
"CG11437","FBgn0037165","Non-protein Phosphatase","","",""
"CG11438","FBgn0037164","Non-protein Phosphatase","","",""
"CG11597","FBgn0036212","Protein Phosphatase","","",""
"CG11883","FBgn0033538","Non-protein Phosphatase","","",""
"CG12034","FBgn0035421","Non-protein Phosphatase","","",""
"CG12078","FBgn0035426","Protein Phosphatase","","",""
"CG12091","FBgn0035228","Protein Phosphatase","","",""
"CG12173","FBgn0037305","Non-protein Phosphatase","","",""
"CG12237","FBgn0031048","Protein Phosphatase","","",""
"CG12263","FBgn0034346","Non-protein Phosphatase","","",""
"CG12538","FBgn0038157","Non-protein Phosphatase","","",""
"CG12746","FBgn0037341","Non-protein Phosphatase","","",""
"CG13197","FBgn0062449","Protein Phosphatase","","",""
"CG13311","FBgn0035929","Non-protein Phosphatase","","",""
"CG13604","FBgn0039137","Non-protein Phosphatase","","",""
"CG14022","FBgn0031700","Non-protein Phosphatase","","",""
"CG14212","FBgn0031045","Protein Phosphatase","","",""
"CG14297","FBgn0038655","Protein Phosphatase","","",""
"CG14411","FBgn0030582","Protein Phosphatase","","",""
"CG14903","FBgn0038446","Protein Phosphatase","","",""
"CG15035","FBgn0029949","Protein Phosphatase","","",""
"CG15385","FBgn0031397","Non-protein Phosphatase","","",""
"CG15528","FBgn0039742","Protein Phosphatase","","",""
"CG15739","FBgn0030347","Non-protein Phosphatase","","",""
"CG15743","FBgn0030465","Non-protein Phosphatase","","",""
"CG15771","FBgn0029801","Non-protein Phosphatase","","",""
"CG15912","FBgn0029712","Non-protein Phosphatase","","",""
"CG1637","FBgn0030245","Non-protein Phosphatase","","",""
"CG16771","FBgn0032779","Protein Phosphatase","","",""
"CG17026","FBgn0036550","Non-protein Phosphatase","","",""
"CG17027","FBgn0036553","Non-protein Phosphatase","","",""
"CG17028","FBgn0036552","Non-protein Phosphatase","","",""
"CG17029","FBgn0036551","Non-protein Phosphatase","","",""
"CG17294","FBgn0032032","Non-protein Phosphatase","","",""
"CG17598","FBgn0031194","Protein Phosphatase","","",""
"CG17746","FBgn0035425","Protein Phosphatase","","",""
"CG1809","FBgn0033423","Protein Phosphatase","","",""
"CG18371","FBgn0033893","Non-protein Phosphatase","","",""
"CG18473","FBgn0037683","Non-protein Phosphatase","","",""
"CG2144","FBgn0033187","Non-protein Phosphatase","","",""
"CG2292","FBgn0033479","Non-protein Phosphatase","","",""
"CG2680","FBgn0024995","Non-protein Phosphatase","","",""
"CG2862","FBgn0031459","Non-protein Phosphatase","","",""
"CG31469","FBgn0051469","Protein Phosphatase","","",""
"CG31717","FBgn0051717","Non-protein Phosphatase","","",""
"CG31759","FBgn0051759","Non-protein Phosphatase","","",""
"CG32487","FBgn0052487","Non-protein Phosphatase","","",""
"CG32488","FBgn0052488","Non-protein Phosphatase","","",""
