"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG30382","FBgn0050382","NA","","",""
"CG8858","FBgn0033698","NA","","",""
"CG9588","FBgn0038166","NA","","",""
"Prosalpha1","FBgn0263121","NA","","",""
"Prosalpha2","FBgn0086134","NA","","",""
"Prosalpha3","FBgn0261394","NA","","",""
"Prosalpha3T","FBgn0261395","NA","","",""
"Prosalpha4","FBgn0004066","NA","","",""
"Prosalpha4T1","FBgn0265606","NA","","",""
"Prosalpha4T2","FBgn0017556","NA","","",""
"Prosalpha5","FBgn0016697","NA","","",""
"Prosalpha6","FBgn0250843","NA","","",""
"Prosalpha6T","FBgn0032492","NA","","",""
"Prosalpha7","FBgn0023175","NA","","",""
"Prosbeta1","FBgn0010590","NA","","",""
"Prosbeta2","FBgn0023174","NA","","",""
"Prosbeta2R1","FBgn0029812","NA","","",""
"Prosbeta2R2","FBgn0037296","NA","","",""
"Prosbeta3","FBgn0026380","NA","","",""
"Prosbeta4","FBgn0032596","NA","","",""
"Prosbeta4R1","FBgn0031442","NA","","",""
"Prosbeta4R2","FBgn0031443","NA","","",""
"Prosbeta5","FBgn0029134","NA","","",""
"Prosbeta5R1","FBgn0034842","NA","","",""
"Prosbeta5R2","FBgn0051742","NA","","",""
"Prosbeta6","FBgn0002284","NA","","",""
"Prosbeta7","FBgn0250746","NA","","",""
"REG","FBgn0029133","NA","","",""
"Rpn1","FBgn0028695","NA","","",""
"Rpn10","FBgn0015283","NA","","",""
"Rpn11","FBgn0028694","NA","","",""
"Rpn12","FBgn0028693","NA","","",""
"Rpn12R","FBgn0036465","NA","","",""
"Rpn13","FBgn0033886","NA","","",""
"Rpn2","FBgn0028692","NA","","",""
"Rpn3","FBgn0261396","NA","","",""
"Rpn5","FBgn0028690","NA","","",""
"Rpn6","FBgn0028689","NA","","",""
"Rpn7","FBgn0028688","NA","","",""
"Rpn8","FBgn0002787","NA","","",""
"Rpn9","FBgn0028691","NA","","",""
"Rpt1","FBgn0028687","NA","","",""
"Rpt2","FBgn0015282","NA","","",""
"Rpt3","FBgn0028686","NA","","",""
"Rpt3R","FBgn0037742","NA","","",""
"Rpt4","FBgn0028685","NA","","",""
"Rpt4R","FBgn0036224","NA","","",""
"Rpt5","FBgn0028684","NA","","",""
"Rpt6","FBgn0020369","NA","","",""
"Rpt6R","FBgn0039788","NA","","",""
"Sem1","FBgn0266666","NA","","",""
"Uch-L5","FBgn0011327","NA","","",""
"yip3","FBgn0040063","NA","","",""
