"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"4EHP","FBgn0053100","NA","","",""
"A2bp1","FBgn0052062","NA","","",""
"Aats-ala","FBgn0027094","NA","","",""
"Aats-ala-m","FBgn0028962","NA","","",""
"Aats-cys","FBgn0027091","NA","","",""
"Aats-glupro","FBgn0005674","NA","","",""
"Aats-phe-m","FBgn0275436","NA","","",""
"Aats-tyr","FBgn0027080","NA","","",""
"Aats-tyr-m","FBgn0035064","NA","","",""
"abs","FBgn0015331","NA","","",""
"Acn","FBgn0263198","NA","","",""
"Adam","FBgn0027619","NA","","",""
"Adar","FBgn0026086","NA","","",""
"Adat1","FBgn0028658","NA","","",""
"AGO1","FBgn0262739","NA","","",""
"AGO2","FBgn0087035","NA","","",""
"AGO3","FBgn0250816","NA","","",""
"alpha-PheRS","FBgn0030007","NA","","",""
"APC4","FBgn0052707","NA","","",""
"apt","FBgn0015903","NA","","",""
"aret","FBgn0000114","NA","","",""
"ash1","FBgn0005386","NA","","",""
"Atx-1","FBgn0029907","NA","","",""
"aub","FBgn0000146","NA","","",""
"B52","FBgn0004587","NA","","",""
"barc","FBgn0037081","NA","","",""
"bcd","FBgn0000166","NA","","",""
"bel","FBgn0263231","NA","","",""
"beta-PheRS","FBgn0039175","NA","","",""
"BicC","FBgn0000182","NA","","",""
"BicD","FBgn0000183","NA","","",""
"bin3","FBgn0263144","NA","","",""
"bl","FBgn0267791","NA","","",""
"blanks","FBgn0035608","NA","","",""
"bol","FBgn0011206","NA","","",""
"brat","FBgn0010300","NA","","",""
"bru-2","FBgn0262475","NA","","",""
"bru-3","FBgn0264001","NA","","",""
"bsf","FBgn0032679","NA","","",""
"c12.1","FBgn0040235","NA","","",""
"Cad89D","FBgn0038439","NA","","",""
"Caper","FBgn0031883","NA","","",""
"Capr","FBgn0042134","NA","","",""
"caz","FBgn0011571","NA","","",""
"Cbp20","FBgn0022943","NA","","",""
"Cbp80","FBgn0022942","NA","","",""
"CG10077","FBgn0035720","NA","","",""
"CG10189","FBgn0032793","NA","","",""
"CG10306","FBgn0034654","NA","","",""
"CG10333","FBgn0032690","NA","","",""
"CG10341","FBgn0032701","NA","","",""
"CG10384","FBgn0034731","NA","","",""
"CG10418","FBgn0036277","NA","","",""
"CG10466","FBgn0032822","NA","","",""
"CG10777","FBgn0029979","NA","","",""
"CG10803","FBgn0029666","NA","","",""
"CG10889","FBgn0038769","NA","","",""
"CG10909","FBgn0038090","NA","","",""
"CG10948","FBgn0036317","NA","","",""
"CG10993","FBgn0030524","NA","","",""
"CG11109","FBgn0037200","NA","","",""
"CG11123","FBgn0033169","NA","","",""
"CG11337","FBgn0039846","NA","","",""
"CG11360","FBgn0039920","NA","","",""
"CG11454","FBgn0031224","NA","","",""
"CG11505","FBgn0035424","NA","","",""
"CG11726","FBgn0036156","NA","","",""
"CG11837","FBgn0039627","NA","","",""
"CG12129","FBgn0033475","NA","","",""
"CG12288","FBgn0032620","NA","","",""
"CG12413","FBgn0039588","NA","","",""
"CG12493","FBgn0035571","NA","","",""
"CG12736","FBgn0033184","NA","","",""
"CG13096","FBgn0032050","NA","","",""
"CG13124","FBgn0032156","NA","","",""
"CG1316","FBgn0035526","NA","","",""
"CG13298","FBgn0035692","NA","","",""
"CG1340","FBgn0039797","NA","","",""
"CG13690","FBgn0031252","NA","","",""
"CG14100","FBgn0036889","NA","","",""
"CG14230","FBgn0031062","NA","","",""
"CG1434","FBgn0030554","NA","","",""
"CG14414","FBgn0030571","NA","","",""
"CG14443","FBgn0029880","NA","","",""
"CG14506","FBgn0039659","NA","","",""
"CG14628","FBgn0040365","NA","","",""
"CG14641","FBgn0037220","NA","","",""
"CG14718","FBgn0037939","NA","","",""
"CG14891","FBgn0038445","NA","","",""
"CG15014","FBgn0035532","NA","","",""
"CG15440","FBgn0031607","NA","","",""
"CG15523","FBgn0039727","NA","","",""
"CG1582","FBgn0030246","NA","","",""
"CG1677","FBgn0029941","NA","","",""
"CG16940","FBgn0035111","NA","","",""
"CG16941","FBgn0266917","NA","","",""
"CG17018","FBgn0039972","NA","","",""
"CG17386","FBgn0033936","NA","","",""
"CG17454","FBgn0039977","NA","","",""
"CG17737","FBgn0035423","NA","","",""
"CG17768","FBgn0032240","NA","","",""
"CG18178","FBgn0036035","NA","","",""
"CG18259","FBgn0030956","NA","","",""
"CG18596","FBgn0038953","NA","","",""
"CG18787","FBgn0042125","NA","","",""
"CG18789","FBgn0042127","NA","","",""
"CG18823","FBgn0042146","NA","","",""
"CG2021","FBgn0035271","NA","","",""
"CG2100","FBgn0037369","NA","","",""
"CG2145","FBgn0030251","NA","","",""
"CG2931","FBgn0037342","NA","","",""
"CG30122","FBgn0050122","NA","","",""
"CG3021","FBgn0040337","NA","","",""
"CG3045","FBgn0034703","NA","","",""
"CG31140","FBgn0051140","NA","","",""
"CG31156","FBgn0051156","NA","","",""
"CG31368","FBgn0051368","NA","","",""
"CG31601","FBgn0051601","NA","","",""
"CG31950","FBgn0051950","NA","","",""
"CG31957","FBgn0051957","NA","","",""
"CG3225","FBgn0031631","NA","","",""
"CG32344","FBgn0052344","NA","","",""
"CG32533","FBgn0052533","NA","","",""
"CG32706","FBgn0052706","NA","","",""
"CG32708","FBgn0052708","NA","","",""
"CG3294","FBgn0031628","NA","","",""
"CG33158","FBgn0053158","NA","","",""
"CG33228","FBgn0261373","NA","","",""
"CG3335","FBgn0036018","NA","","",""
"CG33713","FBgn0064116","NA","","",""
"CG33786","FBgn0061361","NA","","",""
