"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"18w","FBgn0004364","NA","","",""
"5-HT1A","FBgn0004168","NA","","",""
"5-HT1B","FBgn0263116","NA","","",""
"5-HT2A","FBgn0087012","NA","","",""
"5-HT2B","FBgn0261929","NA","","",""
"5-HT7","FBgn0004573","NA","","",""
"AdipoR","FBgn0038984","NA","","",""
"AdoR","FBgn0039747","NA","","",""
"AkhR","FBgn0025595","NA","","",""
"Alk","FBgn0040505","NA","","",""
"Ama","FBgn0000071","NA","","",""
"AMPKalpha","FBgn0023169","NA","","",""
"aos","FBgn0004569","NA","","",""
"arr","FBgn0000119","NA","","",""
"AstA-R1","FBgn0266429","NA","","",""
"AstA-R2","FBgn0039595","NA","","",""
"AstC-R1","FBgn0036790","NA","","",""
"AstC-R2","FBgn0036789","NA","","",""
"b6","FBgn0024897","NA","","",""
"babo","FBgn0011300","NA","","",""
"Bet1","FBgn0260857","NA","","",""
"boi","FBgn0040388","NA","","",""
"boss","FBgn0000206","NA","","",""
"btl","FBgn0005592","NA","","",""
"Cad96Ca","FBgn0022800","NA","","",""
"CadN","FBgn0015609","NA","","",""
"CadN2","FBgn0262018","NA","","",""
"CapaR","FBgn0037100","NA","","",""
"Cas","FBgn0022213","NA","","",""
"CCAP-R","FBgn0039396","NA","","",""
"CCHa1-R","FBgn0050106","NA","","",""
"CCHa2-R","FBgn0033058","NA","","",""
"CCKLR-17D1","FBgn0259231","NA","","",""
"CCKLR-17D3","FBgn0030954","NA","","",""
"Cdc7","FBgn0028360","NA","","",""
"CG10345","FBgn0027562","NA","","",""
"CG10481","FBgn0032827","NA","","",""
"CG10483","FBgn0035649","NA","","",""
"CG10702","FBgn0032752","NA","","",""
"CG10738","FBgn0036368","NA","","",""
"CG11155","FBgn0039927","NA","","",""
"CG11318","FBgn0039818","NA","","",""
"CG11576","FBgn0039882","NA","","",""
"CG12121","FBgn0030109","NA","","",""
"CG12290","FBgn0039419","NA","","",""
"CG12796","FBgn0029909","NA","","",""
"CG13229","FBgn0033579","NA","","",""
"CG1339","FBgn0033202","NA","","",""
"CG13409","FBgn0038926","NA","","",""
"CG13575","FBgn0034996","NA","","",""
"CG13579","FBgn0035010","NA","","",""
"CG13995","FBgn0031770","NA","","",""
"CG14420","FBgn0029643","NA","","",""
"CG14877","FBgn0038380","NA","","",""
"CG15556","FBgn0039821","NA","","",""
"CG15614","FBgn0034168","NA","","",""
"CG15744","FBgn0030466","NA","","",""
"CG1632","FBgn0030027","NA","","",""
"CG1718","FBgn0031170","NA","","",""
"CG18208","FBgn0038653","NA","","",""
"CG2061","FBgn0027498","NA","","",""
"CG2736","FBgn0035090","NA","","",""
"CG2901","FBgn0029679","NA","","",""
"CG30340","FBgn0050340","NA","","",""
"CG30379","FBgn0050379","NA","","",""
"CG3078","FBgn0023524","NA","","",""
"CG31183","FBgn0051183","NA","","",""
"CG31221","FBgn0051221","NA","","",""
"CG31431","FBgn0051431","NA","","",""
"CG31741","FBgn0051741","NA","","",""
"CG31750","FBgn0046888","NA","","",""
"CG31760","FBgn0051760","NA","","",""
"CG3216","FBgn0034568","NA","","",""
"CG32395","FBgn0041232","NA","","",""
"CG32447","FBgn0052447","NA","","",""
"CG32547","FBgn0052547","NA","","",""
"CG33639","FBgn0053639","NA","","",""
"CG33958","FBgn0053958","NA","","",""
"CG34357","FBgn0085386","NA","","",""
"CG34380","FBgn0085409","NA","","",""
"CG34411","FBgn0085440","NA","","",""
"CG3814","FBgn0025692","NA","","",""
"CG3822","FBgn0038837","NA","","",""
"CG3829","FBgn0035091","NA","","",""
"CG3921","FBgn0031571","NA","","",""
"CG40006","FBgn0058006","NA","","",""
"CG4168","FBgn0028888","NA","","",""
"CG42339","FBgn0259241","NA","","",""
"CG4313","FBgn0025632","NA","","",""
"CG43795","FBgn0264339","NA","","",""
"CG44153","FBgn0265002","NA","","",""
"CG4945","FBgn0034137","NA","","",""
"CG5621","FBgn0038840","NA","","",""
"CG5790","FBgn0032677","NA","","",""
"CG5888","FBgn0028523","NA","","",""
"CG6052","FBgn0036747","NA","","",""
"CG6495","FBgn0027550","NA","","",""
"CG7227","FBgn0031970","NA","","",""
"CG7497","FBgn0036742","NA","","",""
"CG7510","FBgn0036741","NA","","",""
