"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"aru","FBgn0029095","NA","","",""
"bonsai","FBgn0026261","NA","","",""
"CG10602","FBgn0032721","NA","","",""
"CG13096","FBgn0032050","NA","","",""
"CG15458","FBgn0040651","NA","","",""
"CG17672","FBgn0083978","NA","","",""
"CG18304","FBgn0031869","NA","","",""
"CG30114","FBgn0050114","NA","","",""
"CG3213","FBgn0031545","NA","","",""
"CG32276","FBgn0047135","NA","","",""
"CG43795","FBgn0264339","NA","","",""
"CG4866","FBgn0034232","NA","","",""
"CYLD","FBgn0032210","NA","","",""
"mRpL1","FBgn0037566","NA","","",""
"mRpL10","FBgn0031231","NA","","",""
"mRpL11","FBgn0038234","NA","","",""
"mRpL12","FBgn0011787","NA","","",""
"mRpL13","FBgn0032720","NA","","",""
"mRpL14","FBgn0040389","NA","","",""
"mRpL15","FBgn0036990","NA","","",""
"mRpL16","FBgn0023519","NA","","",""
"mRpL17","FBgn0035122","NA","","",""
"mRpL18","FBgn0026741","NA","","",""
"mRpL19","FBgn0037608","NA","","",""
"mRpL2","FBgn0036135","NA","","",""
"mRpL20","FBgn0036335","NA","","",""
"mRpL21","FBgn0036853","NA","","",""
"mRpL22","FBgn0030786","NA","","",""
"mRpL23","FBgn0035335","NA","","",""
"mRpL24","FBgn0031651","NA","","",""
"mRpL27","FBgn0053002","NA","","",""
"mRpL28","FBgn0031660","NA","","",""
"mRpL3","FBgn0030686","NA","","",""
"mRpL30","FBgn0029718","NA","","",""
"mRpL32","FBgn0039835","NA","","",""
"mRpL33","FBgn0040907","NA","","",""
"mRpL34","FBgn0083983","NA","","",""
"mRpL35","FBgn0038923","NA","","",""
"mRpL36","FBgn0042112","NA","","",""
"mRpL37","FBgn0261380","NA","","",""
"mRpL38","FBgn0030552","NA","","",""
"mRpL39","FBgn0036462","NA","","",""
"mRpL4","FBgn0001995","NA","","",""
"mRpL40","FBgn0037892","NA","","",""
"mRpL41","FBgn0034001","NA","","",""
"mRpL42","FBgn0033480","NA","","",""
"mRpL43","FBgn0034893","NA","","",""
"mRpL44","FBgn0037330","NA","","",""
"mRpL45","FBgn0263863","NA","","",""
"mRpL46","FBgn0035272","NA","","",""
"mRpL47","FBgn0014023","NA","","",""
"mRpL48","FBgn0031357","NA","","",""
"mRpL49","FBgn0030433","NA","","",""
"mRpL50","FBgn0028648","NA","","",""
"mRpL51","FBgn0032053","NA","","",""
"mRpL52","FBgn0033208","NA","","",""
"mRpL54","FBgn0034579","NA","","",""
"mRpL55","FBgn0038678","NA","","",""
"mRpL9","FBgn0038319","NA","","",""
"mRpS10","FBgn0038307","NA","","",""
"mRpS11","FBgn0038474","NA","","",""
"mRpS14","FBgn0044030","NA","","",""
"mRpS16","FBgn0033907","NA","","",""
"mRpS17","FBgn0034986","NA","","",""
"mRpS18A","FBgn0051450","NA","","",""
"mRpS18B","FBgn0032849","NA","","",""
"mRpS18C","FBgn0039765","NA","","",""
"mRpS2","FBgn0031639","NA","","",""
"mRpS21","FBgn0044511","NA","","",""
"mRpS22","FBgn0039555","NA","","",""
"mRpS23","FBgn0260407","NA","","",""
"mRpS24","FBgn0039159","NA","","",""
"mRpS25","FBgn0030572","NA","","",""
"mRpS26","FBgn0036774","NA","","",""
"mRpS28","FBgn0034361","NA","","",""
"mRpS29","FBgn0034727","NA","","",""
"mRpS30","FBgn0030692","NA","","",""
"mRpS31","FBgn0036557","NA","","",""
"mRpS33","FBgn0038426","NA","","",""
"mRpS34","FBgn0260460","NA","","",""
"mRpS35","FBgn0035374","NA","","",""
"mRpS5","FBgn0044510","NA","","",""
"mRpS6","FBgn0035534","NA","","",""
"mRpS7","FBgn0032236","NA","","",""
"mRpS9","FBgn0037529","NA","","",""
"Nnp-1","FBgn0022069","NA","","",""
"PCID2","FBgn0036184","NA","","",""
"Rbm13","FBgn0030067","NA","","",""
"RpL10","FBgn0024733","NA","","",""
"RpL10Aa","FBgn0038281","NA","","",""
"RpL10Ab","FBgn0036213","NA","","",""
"RpL11","FBgn0013325","NA","","",""
"RpL12","FBgn0034968","NA","","",""
"RpL13","FBgn0011272","NA","","",""
"RpL13A","FBgn0037351","NA","","",""
"RpL14","FBgn0017579","NA","","",""
"RpL15","FBgn0028697","NA","","",""
"RpL17","FBgn0029897","NA","","",""
"RpL18","FBgn0035753","NA","","",""
"RpL18A","FBgn0010409","NA","","",""
"RpL19","FBgn0002607","NA","","",""
"RpL21","FBgn0032987","NA","","",""
"RpL22","FBgn0015288","NA","","",""
"RpL22-like","FBgn0034837","NA","","",""
"RpL23","FBgn0010078","NA","","",""
"RpL23A","FBgn0026372","NA","","",""
"RpL24","FBgn0032518","NA","","",""
"RpL24-like","FBgn0037899","NA","","",""
"RpL26","FBgn0036825","NA","","",""
"RpL27","FBgn0039359","NA","","",""
"RpL27A","FBgn0261606","NA","","",""
"RpL28","FBgn0035422","NA","","",""
"RpL29","FBgn0016726","NA","","",""
"RpL3","FBgn0020910","NA","","",""
"RpL30","FBgn0086710","NA","","",""
"RpL31","FBgn0025286","NA","","",""
"RpL32","FBgn0002626","NA","","",""
"RpL34a","FBgn0039406","NA","","",""
"RpL34b","FBgn0037686","NA","","",""
"RpL35","FBgn0029785","NA","","",""
"RpL35A","FBgn0037328","NA","","",""
"RpL36","FBgn0002579","NA","","",""
"RpL36A","FBgn0031980","NA","","",""
"RpL37a","FBgn0030616","NA","","",""
"RpL37A","FBgn0261608","NA","","",""
"RpL37b","FBgn0034822","NA","","",""
"RpL38","FBgn0040007","NA","","",""
"RpL39","FBgn0023170","NA","","",""
"RpL4","FBgn0003279","NA","","",""
"RpL40","FBgn0003941","NA","","",""
"RpL41","FBgn0066084","NA","","",""
"RpL5","FBgn0064225","NA","","",""
"RpL6","FBgn0039857","NA","","",""
"RpL7","FBgn0005593","NA","","",""
"RpL7-like","FBgn0032404","NA","","",""
"RpL7A","FBgn0014026","NA","","",""
"RpL8","FBgn0261602","NA","","",""
"RpL9","FBgn0015756","NA","","",""
"RpLP0","FBgn0000100","NA","","",""
"RpLP1","FBgn0002593","NA","","",""
"RpLP2","FBgn0003274","NA","","",""
"RpS10a","FBgn0027494","NA","","",""
"RpS10b","FBgn0261593","NA","","",""
"RpS11","FBgn0033699","NA","","",""
"RpS12","FBgn0260441","NA","","",""
"RpS13","FBgn0010265","NA","","",""
"RpS14a","FBgn0004403","NA","","",""
"RpS14b","FBgn0004404","NA","","",""
"RpS15","FBgn0034138","NA","","",""
"RpS15Aa","FBgn0010198","NA","","",""
"RpS15Ab","FBgn0033555","NA","","",""
"RpS16","FBgn0034743","NA","","",""
"RpS17","FBgn0005533","NA","","",""
"RpS18","FBgn0010411","NA","","",""
"RpS19a","FBgn0010412","NA","","",""
"RpS19b","FBgn0039129","NA","","",""
"RpS2","FBgn0004867","NA","","",""
"RpS20","FBgn0019936","NA","","",""
"RpS21","FBgn0015521","NA","","",""
"RpS23","FBgn0033912","NA","","",""
"RpS24","FBgn0261596","NA","","",""
"RpS25","FBgn0086472","NA","","",""
"RpS26","FBgn0261597","NA","","",""
"RpS27","FBgn0039300","NA","","",""
"RpS27A","FBgn0003942","NA","","",""
"RpS28-like","FBgn0085211","NA","","",""
"RpS28a","FBgn0039739","NA","","",""
"RpS28b","FBgn0030136","NA","","",""
"RpS29","FBgn0261599","NA","","",""
"RpS3","FBgn0002622","NA","","",""
"RpS30","FBgn0038834","NA","","",""
"RpS3A","FBgn0017545","NA","","",""
"RpS4","FBgn0011284","NA","","",""
"RpS5a","FBgn0002590","NA","","",""
"RpS5b","FBgn0038277","NA","","",""
"RpS6","FBgn0261592","NA","","",""
"RpS7","FBgn0039757","NA","","",""
"RpS8","FBgn0039713","NA","","",""
"RpS9","FBgn0010408","NA","","",""
"S6k","FBgn0015806","NA","","",""
"S6kII","FBgn0262866","NA","","",""
"sta","FBgn0003517","NA","","",""
"Teh3","FBgn0040697","NA","","",""
"tko","FBgn0003714","NA","","",""
