"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"a10","FBgn0011293","NA","","",""
"a5","FBgn0011294","NA","","",""
"Acer","FBgn0016122","NA","","",""
"Acp24A4","FBgn0051779","NA","","",""
"Acp26Aa","FBgn0002855","NA","","",""
"Acp26Ab","FBgn0002856","NA","","",""
"Acp29AB","FBgn0015583","NA","","",""
"Acp32CD","FBgn0023415","NA","","",""
"Acp33A","FBgn0267327","NA","","",""
"Acp36DE","FBgn0011559","NA","","",""
"Acp53C14a","FBgn0034152","NA","","",""
"Acp53C14b","FBgn0034153","NA","","",""
"Acp53C14c","FBgn0053530","NA","","",""
"Acp53Ea","FBgn0015584","NA","","",""
"Acp62F","FBgn0020509","NA","","",""
"Acp63F","FBgn0015585","NA","","",""
"Acp76A","FBgn0015586","NA","","",""
"Acp95EF","FBgn0002863","NA","","",""
"Acp98AB","FBgn0263597","NA","","",""
"Actbeta","FBgn0024913","NA","","",""
"AdamTS-A","FBgn0038341","NA","","",""
"Adgf-A","FBgn0036752","NA","","",""
"Adgf-A2","FBgn0043025","NA","","",""
"Adgf-B","FBgn0036751","NA","","",""
"Adgf-C","FBgn0038173","NA","","",""
"Adgf-D","FBgn0038172","NA","","",""
"Adgf-E","FBgn0033952","NA","","",""
"Ag5r","FBgn0015010","NA","","",""
"Ag5r2","FBgn0020508","NA","","",""
"Akh","FBgn0004552","NA","","",""
"alphaTry","FBgn0003863","NA","","",""
"amon","FBgn0023179","NA","","",""
"Amyrel","FBgn0020506","NA","","",""
"ana","FBgn0011746","NA","","",""
"Ance","FBgn0012037","NA","","",""
"Anp","FBgn0000094","NA","","",""
"antr","FBgn0050488","NA","","",""
"aos","FBgn0004569","NA","","",""
"Aph-4","FBgn0016123","NA","","",""
"Apoltp","FBgn0032136","NA","","",""
"Appl","FBgn0000108","NA","","",""
"aqrs","FBgn0039598","NA","","",""
"AstA","FBgn0015591","NA","","",""
"AttA","FBgn0012042","NA","","",""
"AttB","FBgn0041581","NA","","",""
"AttC","FBgn0041579","NA","","",""
"AttD","FBgn0038530","NA","","",""
"axo","FBgn0262870","NA","","",""
"beat-Ia","FBgn0013433","NA","","",""
"beat-Ib","FBgn0028645","NA","","",""
"beat-Ic","FBgn0028644","NA","","",""
"beat-IIa","FBgn0038498","NA","","",""
"beat-IIb","FBgn0038494","NA","","",""
"beat-IIIa","FBgn0265607","NA","","",""
"beat-IIIb","FBgn0053179","NA","","",""
"beat-IIIc","FBgn0032629","NA","","",""
"beat-IV","FBgn0039089","NA","","",""
"beat-Va","FBgn0038087","NA","","",""
"beat-Vb","FBgn0038092","NA","","",""
"beat-Vc","FBgn0038084","NA","","",""
"beat-VI","FBgn0039584","NA","","",""
"beat-VII","FBgn0250908","NA","","",""
"betaTry","FBgn0010357","NA","","",""
"BG642163","FBgn0083938","NA","","",""
"BG642167","FBgn0250831","NA","","",""
"BG642312","FBgn0047334","NA","","",""
"BM-40-SPARC","FBgn0026562","NA","","",""
"bnl","FBgn0014135","NA","","",""
"bou","FBgn0261284","NA","","",""
"brn","FBgn0000221","NA","","",""
"BthD","FBgn0030501","NA","","",""
"Burs","FBgn0038901","NA","","",""
"Cals","FBgn0039928","NA","","",""
"Capa","FBgn0039722","NA","","",""
"CCAP","FBgn0039007","NA","","",""
"CCHa1","FBgn0038199","NA","","",""
"CCHa2","FBgn0038147","NA","","",""
"Ccp84Ad","FBgn0004780","NA","","",""
"Cda4","FBgn0052499","NA","","",""
"Cda5","FBgn0051973","NA","","",""
"CDase","FBgn0039774","NA","","",""
"CecA1","FBgn0000276","NA","","",""
"CecA2","FBgn0000277","NA","","",""
"CecB","FBgn0000278","NA","","",""
"CecC","FBgn0000279","NA","","",""
"CG10041","FBgn0038014","NA","","",""
"CG10116","FBgn0036367","NA","","",""
"CG10140","FBgn0036363","NA","","",""
"CG10154","FBgn0036361","NA","","",""
"CG10163","FBgn0035697","NA","","",""
"CG10186","FBgn0032797","NA","","",""
"CG10264","FBgn0038394","NA","","",""
"CG10357","FBgn0035453","NA","","",""
"CG10407","FBgn0038395","NA","","",""
"CG10433","FBgn0034638","NA","","",""
"CG10587","FBgn0037039","NA","","",""
"CG10651","FBgn0032853","NA","","",""
"CG10725","FBgn0036362","NA","","",""
"CG10730","FBgn0032843","NA","","",""
"CG10862","FBgn0035455","NA","","",""
"CG11037","FBgn0037038","NA","","",""
"CG1124","FBgn0037290","NA","","",""
"CG11598","FBgn0038067","NA","","",""
"CG11608","FBgn0038069","NA","","",""
"CG11630","FBgn0032964","NA","","",""
"CG11664","FBgn0040341","NA","","",""
"CG11852","FBgn0039297","NA","","",""
"CG11854","FBgn0039299","NA","","",""
"CG11977","FBgn0037650","NA","","",""
"CG12009","FBgn0035430","NA","","",""
"CG12056","FBgn0030099","NA","","",""
"CG13075","FBgn0036563","NA","","",""
"CG13282","FBgn0032612","NA","","",""
"CG13309","FBgn0035933","NA","","",""
"CG13312","FBgn0035931","NA","","",""
"CG13618","FBgn0039203","NA","","",""
"CG13643","FBgn0040601","NA","","",""
"CG13676","FBgn0035844","NA","","",""
"CG13806","FBgn0035325","NA","","",""
"CG13837","FBgn0039042","NA","","",""
"CG13965","FBgn0032834","NA","","",""
"CG1402","FBgn0029962","NA","","",""
"CG14034","FBgn0250847","NA","","",""
"CG14125","FBgn0036232","NA","","",""
"CG14132","FBgn0040817","NA","","",""
"CG14258","FBgn0039482","NA","","",""
"CG14259","FBgn0039483","NA","","",""
"CG14300","FBgn0038643","NA","","",""
"CG14301","FBgn0038632","NA","","",""
"CG14304","FBgn0038629","NA","","",""
"CG14457","FBgn0037174","NA","","",""
"CG14507","FBgn0039655","NA","","",""
"CG14608","FBgn0037487","NA","","",""
"CG14645","FBgn0040687","NA","","",""
"CG14880","FBgn0038422","NA","","",""
"CG14957","FBgn0035412","NA","","",""
"CG15116","FBgn0034415","NA","","",""
"CG15117","FBgn0034417","NA","","",""
"CG15199","FBgn0030270","NA","","",""
"CG15201","FBgn0030272","NA","","",""
"CG15202","FBgn0030271","NA","","",""
"CG15203","FBgn0030261","NA","","",""
"CG15422","FBgn0031579","NA","","",""
"CG15497","FBgn0038894","NA","","",""
"CG1552","FBgn0030258","NA","","",""
"CG15537","FBgn0039770","NA","","",""
"CG15635","FBgn0031617","NA","","",""
"CG15641","FBgn0030643","NA","","",""
"CG16820","FBgn0032495","NA","","",""
"CG16995","FBgn0031412","NA","","",""
"CG1701","FBgn0033167","NA","","",""
"CG17097","FBgn0265264","NA","","",""
"CG17145","FBgn0036953","NA","","",""
"CG17189","FBgn0039485","NA","","",""
"CG17191","FBgn0039473","NA","","",""
"CG17192","FBgn0039472","NA","","",""
"CG17242","FBgn0250841","NA","","",""
"CG17279","FBgn0038850","NA","","",""
"CG17292","FBgn0032029","NA","","",""
"CG17472","FBgn0032868","NA","","",""
"CG17575","FBgn0250842","NA","","",""
"CG17633","FBgn0032144","NA","","",""
"CG17739","FBgn0033710","NA","","",""
"CG17826","FBgn0036227","NA","","",""
"CG17843","FBgn0038919","NA","","",""
"CG17919","FBgn0037433","NA","","",""
"CG17974","FBgn0034624","NA","","",""
"CG18067","FBgn0034512","NA","","",""
"CG18135","FBgn0036837","NA","","",""
"CG18258","FBgn0265267","NA","","",""
"CG18284","FBgn0043825","NA","","",""
"CG18628","FBgn0036091","NA","","",""
"CG18641","FBgn0031426","NA","","",""
"CG1986","FBgn0030162","NA","","",""
"CG2016","FBgn0250839","NA","","",""
"CG2145","FBgn0030251","NA","","",""
"CG2444","FBgn0030326","NA","","",""
"Cg25C","FBgn0000299","NA","","",""
"CG2650","FBgn0000092","NA","","",""
"CG2852","FBgn0034753","NA","","",""
"CG2918","FBgn0023529","NA","","",""
