"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"alphaTry","FBgn0003863","NA","","",""
"amon","FBgn0023179","NA","","",""
"betaTry","FBgn0010357","NA","","",""
"CG10232","FBgn0039108","NA","","",""
"CG10405","FBgn0038431","NA","","",""
"CG10472","FBgn0035670","NA","","",""
"CG10477","FBgn0035661","NA","","",""
"CG10663","FBgn0036287","NA","","",""
"CG10764","FBgn0034221","NA","","",""
"CG11192","FBgn0034507","NA","","",""
"CG11313","FBgn0039798","NA","","",""
"CG11529","FBgn0036264","NA","","",""
"CG11668","FBgn0038113","NA","","",""
"CG11670","FBgn0038114","NA","","",""
"CG11836","FBgn0039272","NA","","",""
"CG11841","FBgn0039628","NA","","",""
"CG11842","FBgn0039629","NA","","",""
"CG11843","FBgn0039630","NA","","",""
"CG11911","FBgn0031249","NA","","",""
"CG11912","FBgn0031248","NA","","",""
"CG12133","FBgn0033469","NA","","",""
"CG12256","FBgn0038002","NA","","",""
"CG12951","FBgn0037677","NA","","",""
"CG1299","FBgn0035501","NA","","",""
"CG13430","FBgn0034518","NA","","",""
"CG14642","FBgn0037222","NA","","",""
"CG14780","FBgn0025383","NA","","",""
"CG14892","FBgn0038447","NA","","",""
"CG16710","FBgn0039101","NA","","",""
"CG16749","FBgn0037678","NA","","",""
"CG17234","FBgn0042187","NA","","",""
"CG17239","FBgn0042186","NA","","",""
"CG17404","FBgn0038001","NA","","",""
"CG17475","FBgn0038481","NA","","",""
"CG17477","FBgn0038479","NA","","",""
"CG17571","FBgn0259998","NA","","",""
"CG1773","FBgn0033439","NA","","",""
"CG18179","FBgn0036023","NA","","",""
"CG18180","FBgn0036024","NA","","",""
"CG18735","FBgn0042098","NA","","",""
"CG2200","FBgn0030447","NA","","",""
"CG30002","FBgn0260474","NA","","",""
"CG30025","FBgn0050025","NA","","",""
"CG30031","FBgn0050031","NA","","",""
"CG30083","FBgn0050083","NA","","",""
"CG30087","FBgn0050087","NA","","",""
"CG30088","FBgn0050088","NA","","",""
"CG30090","FBgn0050090","NA","","",""
"CG30187","FBgn0050187","NA","","",""
"CG30287","FBgn0050287","NA","","",""
"CG30289","FBgn0050289","NA","","",""
"CG30414","FBgn0050414","NA","","",""
"CG31220","FBgn0051220","NA","","",""
"CG31265","FBgn0051265","NA","","",""
"CG31269","FBgn0051269","NA","","",""
"CG31681","FBgn0051681","NA","","",""
"CG31728","FBgn0051728","NA","","",""
"CG31954","FBgn0051954","NA","","",""
"CG32269","FBgn0052269","NA","","",""
"CG32270","FBgn0052270","NA","","",""
"CG32808","FBgn0052808","NA","","",""
"CG33159","FBgn0053159","NA","","",""
"CG33160","FBgn0053160","NA","","",""
"CG3355","FBgn0031619","NA","","",""
"CG34290","FBgn0085319","NA","","",""
"CG34409","FBgn0085438","NA","","",""
"CG34458","FBgn0085487","NA","","",""
"CG3700","FBgn0034796","NA","","",""
"CG3795","FBgn0025378","NA","","",""
"CG3916","FBgn0038003","NA","","",""
"CG4053","FBgn0038482","NA","","",""
"CG4386","FBgn0034661","NA","","",""
"CG4613","FBgn0036427","NA","","",""
"CG4914","FBgn0036436","NA","","",""
"CG4927","FBgn0034139","NA","","",""
"CG5045","FBgn0032229","NA","","",""
"CG5246","FBgn0038484","NA","","",""
"CG5255","FBgn0038485","NA","","",""
"CG6048","FBgn0029827","NA","","",""
"CG6462","FBgn0035663","NA","","",""
"CG6592","FBgn0035669","NA","","",""
"CG7432","FBgn0038727","NA","","",""
"CG7542","FBgn0036738","NA","","",""
"CG8170","FBgn0033365","NA","","",""
"CG8172","FBgn0033362","NA","","",""
"CG8213","FBgn0033359","NA","","",""
"CG8299","FBgn0034052","NA","","",""
"CG8329","FBgn0036022","NA","","",""
"CG8870","FBgn0038144","NA","","",""
"CG8952","FBgn0030688","NA","","",""
"CG9294","FBgn0034666","NA","","",""
"CG9372","FBgn0036891","NA","","",""
"CG9733","FBgn0039759","NA","","",""
"CG9737","FBgn0039758","NA","","",""
"Corin","FBgn0033192","NA","","",""
"deltaTry","FBgn0010358","NA","","",""
"ea","FBgn0000533","NA","","",""
"epsilonTry","FBgn0010425","NA","","",""
"etaTry","FBgn0011554","NA","","",""
"Fur1","FBgn0004509","NA","","",""
"Fur2","FBgn0004598","NA","","",""
"gammaTry","FBgn0010359","NA","","",""
"gd","FBgn0000808","NA","","",""
"grass","FBgn0039494","NA","","",""
"Hayan","FBgn0030925","NA","","",""
"HtrA2","FBgn0038233","NA","","",""
"iotaTry","FBgn0015001","NA","","",""
"Jon25Bi","FBgn0020906","NA","","",""
"Jon25Bii","FBgn0031654","NA","","",""
"Jon44E","FBgn0001285","NA","","",""
"Jon65Aii","FBgn0035666","NA","","",""
"Jon65Aiii","FBgn0035665","NA","","",""
"Jon65Aiv","FBgn0250815","NA","","",""
"Jon74E","FBgn0023197","NA","","",""
"Jon99Ci","FBgn0003358","NA","","",""
"Jon99Cii","FBgn0003356","NA","","",""
"Jon99Ciii","FBgn0003357","NA","","",""
"Jon99Fi","FBgn0039778","NA","","",""
"Jon99Fii","FBgn0039777","NA","","",""
"lambdaTry","FBgn0043470","NA","","",""
"Lon","FBgn0036892","NA","","",""
"modSP","FBgn0051217","NA","","",""
"MP1","FBgn0027930","NA","","",""
"ndl","FBgn0002926","NA","","",""
"psh","FBgn0030926","NA","","",""
"rho","FBgn0004635","NA","","",""
"Sb","FBgn0003319","NA","","",""
"Send1","FBgn0031406","NA","","",""
"Ser12","FBgn0011832","NA","","",""
"Ser6","FBgn0011834","NA","","",""
"Ser7","FBgn0019929","NA","","",""
"Ser8","FBgn0019928","NA","","",""
"snk","FBgn0003450","NA","","",""
"Sp7","FBgn0037515","NA","","",""
"SPE","FBgn0039102","NA","","",""
"spirit","FBgn0030051","NA","","",""
"stv","FBgn0086708","NA","","",""
"Tequila","FBgn0023479","NA","","",""
"thetaTry","FBgn0011555","NA","","",""
"TppII","FBgn0020370","NA","","",""
"Try29F","FBgn0015316","NA","","",""
"yip7","FBgn0040060","NA","","",""
"zetaTry","FBgn0011556","NA","","",""
