"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"abs","FBgn0015331","NA","","",""
"Acn","FBgn0263198","NA","","",""
"AGO2","FBgn0087035","NA","","",""
"aret","FBgn0000114","NA","","",""
"Ars2","FBgn0033062","NA","","",""
"asf1","FBgn0029094","NA","","",""
"ASPP","FBgn0034606","NA","","",""
"aub","FBgn0000146","NA","","",""
"B52","FBgn0004587","NA","","",""
"BCAS2","FBgn0039558","NA","","",""
"beag","FBgn0037660","NA","","",""
"Bin1","FBgn0024491","NA","","",""
"bl","FBgn0267791","NA","","",""
"btz","FBgn0045862","NA","","",""
"Bug22","FBgn0032248","NA","","",""
"Bx42","FBgn0004856","NA","","",""
"c12.1","FBgn0040235","NA","","",""
"cactin","FBgn0031114","NA","","",""
"Caper","FBgn0031883","NA","","",""
"caz","FBgn0011571","NA","","",""
"cbc","FBgn0033842","NA","","",""
"Cbp20","FBgn0022943","NA","","",""
"Cbp80","FBgn0022942","NA","","",""
"Cdc27","FBgn0012058","NA","","",""
"cdc2rk","FBgn0013435","NA","","",""
"Cdc5","FBgn0265574","NA","","",""
"Cdk12","FBgn0037093","NA","","",""
"CG10333","FBgn0032690","NA","","",""
"CG10418","FBgn0036277","NA","","",""
"CG10445","FBgn0037531","NA","","",""
"CG10466","FBgn0032822","NA","","",""
"CG10754","FBgn0036314","NA","","",""
"CG10907","FBgn0036207","NA","","",""
"CG1109","FBgn0046222","NA","","",""
"CG11360","FBgn0039920","NA","","",""
"CG11674","FBgn0030551","NA","","",""
"CG11808","FBgn0034000","NA","","",""
"CG11985","FBgn0040534","NA","","",""
"CG12343","FBgn0033556","NA","","",""
"CG13298","FBgn0035692","NA","","",""
"CG13625","FBgn0039210","NA","","",""
"CG13900","FBgn0035162","NA","","",""
"CG14641","FBgn0037220","NA","","",""
"CG15440","FBgn0031607","NA","","",""
"CG15747","FBgn0030474","NA","","",""
"CG1622","FBgn0030468","NA","","",""
"CG1646","FBgn0039600","NA","","",""
"CG1677","FBgn0029941","NA","","",""
"CG16790","FBgn0037713","NA","","",""
"CG16865","FBgn0028919","NA","","",""
"CG16941","FBgn0266917","NA","","",""
"CG17098","FBgn0032276","NA","","",""
"CG17168","FBgn0039943","NA","","",""
"CG17187","FBgn0037882","NA","","",""
"CG17266","FBgn0033089","NA","","",""
"CG17454","FBgn0039977","NA","","",""
"CG17764","FBgn0029751","NA","","",""
"CG18428","FBgn0039149","NA","","",""
"CG18809","FBgn0042132","NA","","",""
"CG1965","FBgn0037466","NA","","",""
"CG2021","FBgn0035271","NA","","",""
"CG2063","FBgn0033400","NA","","",""
"CG2186","FBgn0030243","NA","","",""
"CG2685","FBgn0024998","NA","","",""
"CG2807","FBgn0031266","NA","","",""
"CG2926","FBgn0037344","NA","","",""
"CG2931","FBgn0037342","NA","","",""
"CG30122","FBgn0050122","NA","","",""
"CG31368","FBgn0051368","NA","","",""
"CG31812","FBgn0051812","NA","","",""
"CG3198","FBgn0029887","NA","","",""
"CG3225","FBgn0031631","NA","","",""
"CG32533","FBgn0052533","NA","","",""
"CG3294","FBgn0031628","NA","","",""
"CG33057","FBgn0053057","NA","","",""
"CG3436","FBgn0031229","NA","","",""
"CG34362","FBgn0085391","NA","","",""
"CG3542","FBgn0031492","NA","","",""
"CG3605","FBgn0031493","NA","","",""
"CG3689","FBgn0035987","NA","","",""
"CG4119","FBgn0028474","NA","","",""
"CG4266","FBgn0034598","NA","","",""
"CG42724","FBgn0261641","NA","","",""
"CG4291","FBgn0031287","NA","","",""
"CG4612","FBgn0035016","NA","","",""
"CG4849","FBgn0039566","NA","","",""
"CG4887","FBgn0031318","NA","","",""
"CG4901","FBgn0032194","NA","","",""
"CG4935","FBgn0028897","NA","","",""
"CG5002","FBgn0034275","NA","","",""
"CG5205","FBgn0038344","NA","","",""
"CG5316","FBgn0038704","NA","","",""
"CG5381","FBgn0032218","NA","","",""
"CG5641","FBgn0038046","NA","","",""
"CG5728","FBgn0039182","NA","","",""
"CG5808","FBgn0027617","NA","","",""
"CG5877","FBgn0030625","NA","","",""
"CG6015","FBgn0038927","NA","","",""
"CG6066","FBgn0039488","NA","","",""
"CG6179","FBgn0030915","NA","","",""
"CG6209","FBgn0033862","NA","","",""
"CG6227","FBgn0030631","NA","","",""
"CG6340","FBgn0030648","NA","","",""
