"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"140up","FBgn0010340","NA","","",""
"18w","FBgn0004364","NA","","",""
"2mit","FBgn0260793","NA","","",""
"5-HT1A","FBgn0004168","NA","","",""
"5-HT1B","FBgn0263116","NA","","",""
"5-HT2A","FBgn0087012","NA","","",""
"5-HT2B","FBgn0261929","NA","","",""
"5-HT7","FBgn0004573","NA","","",""
"7B2","FBgn0041707","NA","","",""
"825-Oak","FBgn0052208","NA","","",""
"ABCB7","FBgn0035244","NA","","",""
"Ac13E","FBgn0022710","NA","","",""
"Ac3","FBgn0023416","NA","","",""
"Ac76E","FBgn0004852","NA","","",""
"Ac78C","FBgn0024150","NA","","",""
"ACC","FBgn0033246","NA","","",""
"Acp33A","FBgn0267327","NA","","",""
"Acp95EF","FBgn0002863","NA","","",""
"Acph-1","FBgn0000032","NA","","",""
"Acsl","FBgn0263120","NA","","",""
"ACXA","FBgn0040510","NA","","",""
"ACXB","FBgn0040509","NA","","",""
"ACXC","FBgn0040508","NA","","",""
"ACXD","FBgn0040507","NA","","",""
"ACXE","FBgn0040506","NA","","",""
"AdamTS-A","FBgn0038341","NA","","",""
"Adgf-A2","FBgn0043025","NA","","",""
"AdipoR","FBgn0038984","NA","","",""
"AdoR","FBgn0039747","NA","","",""
"AIF","FBgn0031392","NA","","",""
"Akh","FBgn0004552","NA","","",""
"AkhR","FBgn0025595","NA","","",""
"Aldh-III","FBgn0010548","NA","","",""
"Alg-2","FBgn0086378","NA","","",""
"Alg10","FBgn0052076","NA","","",""
"Alk","FBgn0040505","NA","","",""
"alpha-catenin-related","FBgn0029105","NA","","",""
"alpha-Man-Ia","FBgn0259170","NA","","",""
"alpha-Man-Ib","FBgn0039634","NA","","",""
"alpha-Man-Ic","FBgn0051202","NA","","",""
"alpha-Man-IIa","FBgn0011740","NA","","",""
"alpha-Man-IIb","FBgn0026616","NA","","",""
"alpha4GT1","FBgn0031491","NA","","",""
"alpha4GT2","FBgn0039378","NA","","",""
"alphaKap4","FBgn0035657","NA","","",""
"alt","FBgn0038535","NA","","",""
"Ama","FBgn0000071","NA","","",""
"Amnionless","FBgn0025686","NA","","",""
"Amt","FBgn0038309","NA","","",""
"amx","FBgn0000077","NA","","",""
"Anp","FBgn0000094","NA","","",""
"Ant2","FBgn0025111","NA","","",""
"aos","FBgn0004569","NA","","",""
"aph-1","FBgn0031458","NA","","",""
"Aplip1","FBgn0040281","NA","","",""
"app","FBgn0260941","NA","","",""
"Appl","FBgn0000108","NA","","",""
"AQP","FBgn0033807","NA","","",""
"aralar1","FBgn0028646","NA","","",""
"arr","FBgn0000119","NA","","",""
"Asph","FBgn0034075","NA","","",""
"AstA-R1","FBgn0266429","NA","","",""
"AstA-R2","FBgn0039595","NA","","",""
"AstC","FBgn0032336","NA","","",""
"AstC-R1","FBgn0036790","NA","","",""
"AstC-R2","FBgn0036789","NA","","",""
"Atet","FBgn0020762","NA","","",""
"Atf-2","FBgn0265193","NA","","",""
"Atg9","FBgn0034110","NA","","",""
"atl","FBgn0039213","NA","","",""
"ATP7","FBgn0030343","NA","","",""
"ATP8B","FBgn0037989","NA","","",""
"Atpalpha","FBgn0002921","NA","","",""
"ATPsynbeta","FBgn0010217","NA","","",""
"ATPsynbetaL","FBgn0036568","NA","","",""
"ATPsynC","FBgn0039830","NA","","",""
"ATPsynF","FBgn0035032","NA","","",""
"AttA","FBgn0012042","NA","","",""
"AttC","FBgn0041579","NA","","",""
"axo","FBgn0262870","NA","","",""
"Axs","FBgn0000152","NA","","",""
"B-H2","FBgn0004854","NA","","",""
"babo","FBgn0011300","NA","","",""
"babos","FBgn0034724","NA","","",""
"bai","FBgn0045866","NA","","",""
"Baldspot","FBgn0260960","NA","","",""
"bbc","FBgn0033844","NA","","",""
"bc10","FBgn0040239","NA","","",""
"bdg","FBgn0034049","NA","","",""
"bdl","FBgn0028482","NA","","",""
"be","FBgn0052594","NA","","",""
"beat-Ib","FBgn0028645","NA","","",""
"beat-IV","FBgn0039089","NA","","",""
"beat-Va","FBgn0038087","NA","","",""
"beat-VI","FBgn0039584","NA","","",""
"Bem46","FBgn0025109","NA","","",""
"Best1","FBgn0040238","NA","","",""
"Best2","FBgn0035696","NA","","",""
"Best3","FBgn0036492","NA","","",""
"Best4","FBgn0036491","NA","","",""
"Bet1","FBgn0260857","NA","","",""
"beta3GalTII","FBgn0033315","NA","","",""
"beta4GalNAcTA","FBgn0027538","NA","","",""
"beta4GalNAcTB","FBgn0039625","NA","","",""
"beta4GalT7","FBgn0039258","NA","","",""
"BG642312","FBgn0047334","NA","","",""
"BI-1","FBgn0035871","NA","","",""
"bib","FBgn0000180","NA","","",""
"BicC","FBgn0000182","NA","","",""
"bip1","FBgn0026263","NA","","",""
"blot","FBgn0027660","NA","","",""
"bnl","FBgn0014135","NA","","",""
"bocks","FBgn0037719","NA","","",""
"boi","FBgn0040388","NA","","",""
"bond","FBgn0260942","NA","","",""
"boss","FBgn0000206","NA","","",""
"botv","FBgn0027535","NA","","",""
"bou","FBgn0261284","NA","","",""
"brn","FBgn0000221","NA","","",""
"brv1","FBgn0036874","NA","","",""
"brv2","FBgn0036712","NA","","",""
"brv3","FBgn0040333","NA","","",""
"Bsg","FBgn0261822","NA","","",""
"btl","FBgn0005592","NA","","",""
"Buffy","FBgn0040491","NA","","",""
"Burs","FBgn0038901","NA","","",""
"bves","FBgn0031150","NA","","",""
"bw","FBgn0000241","NA","","",""
"bwa","FBgn0045064","NA","","",""
"C1GalTA","FBgn0032078","NA","","",""
"Ca-alpha1D","FBgn0001991","NA","","",""
"Ca-alpha1T","FBgn0264386","NA","","",""
"Ca-P60A","FBgn0263006","NA","","",""
"cac","FBgn0263111","NA","","",""
"cactin","FBgn0031114","NA","","",""
"Cad74A","FBgn0036715","NA","","",""
"Cad86C","FBgn0261053","NA","","",""
"Cad87A","FBgn0037963","NA","","",""
"Cad88C","FBgn0038247","NA","","",""
"Cad89D","FBgn0038439","NA","","",""
"Cad96Ca","FBgn0022800","NA","","",""
"Cad96Cb","FBgn0039294","NA","","",""
"Cad99C","FBgn0039709","NA","","",""
"CadN","FBgn0015609","NA","","",""
"CadN2","FBgn0262018","NA","","",""
"CAH2","FBgn0027843","NA","","",""
"Cals","FBgn0039928","NA","","",""
"Calx","FBgn0013995","NA","","",""
"CapaR","FBgn0037100","NA","","",""
"caps","FBgn0023095","NA","","",""
"Cas","FBgn0022213","NA","","",""
"Catsup","FBgn0002022","NA","","",""
"CCAP-R","FBgn0039396","NA","","",""
"Ccdc56","FBgn0261353","NA","","",""
"CCHa1","FBgn0038199","NA","","",""
"CCHa1-R","FBgn0050106","NA","","",""
"CCHa2-R","FBgn0033058","NA","","",""
"CCKLR-17D1","FBgn0259231","NA","","",""
"CCKLR-17D3","FBgn0030954","NA","","",""
"Ccp84Aa","FBgn0004783","NA","","",""
"Ccp84Ab","FBgn0004782","NA","","",""
"Ccp84Ag","FBgn0004777","NA","","",""
"cd","FBgn0263986","NA","","",""
"CD98hc","FBgn0037533","NA","","",""
"CDase","FBgn0039774","NA","","",""
"cdm","FBgn0261532","NA","","",""
"CdsA","FBgn0010350","NA","","",""
"CecA1","FBgn0000276","NA","","",""
"CecA2","FBgn0000277","NA","","",""
"CecB","FBgn0000278","NA","","",""
"CecC","FBgn0000279","NA","","",""
"CG10000","FBgn0039596","NA","","",""
"CG10019","FBgn0031568","NA","","",""
"CG10035","FBgn0038028","NA","","",""
"CG10051","FBgn0034437","NA","","",""
"CG10062","FBgn0034439","NA","","",""
"CG10063","FBgn0035727","NA","","",""
"CG10073","FBgn0034440","NA","","",""
"CG10081","FBgn0034441","NA","","",""
"CG10096","FBgn0038032","NA","","",""
"CG10097","FBgn0038033","NA","","",""
"CG10116","FBgn0036367","NA","","",""
"CG10165","FBgn0032801","NA","","",""
"CG10168","FBgn0039087","NA","","",""
"CG10170","FBgn0039085","NA","","",""
"CG10171","FBgn0036353","NA","","",""
"CG10175","FBgn0039084","NA","","",""
"CG10176","FBgn0032682","NA","","",""
"CG10178","FBgn0032684","NA","","",""
"CG10182","FBgn0039091","NA","","",""
"CG10183","FBgn0039093","NA","","",""
"CG10226","FBgn0035695","NA","","",""
"CG10264","FBgn0038394","NA","","",""
"CG10280","FBgn0037395","NA","","",""
"CG10311","FBgn0038420","NA","","",""
"CG10326","FBgn0038453","NA","","",""
"CG10337","FBgn0032805","NA","","",""
"CG10339","FBgn0034972","NA","","",""
"CG10344","FBgn0034729","NA","","",""
"CG10345","FBgn0027562","NA","","",""
"CG10352","FBgn0030348","NA","","",""
"CG10353","FBgn0030349","NA","","",""
"CG10359","FBgn0035452","NA","","",""
"CG10362","FBgn0030358","NA","","",""
"CG10383","FBgn0032699","NA","","",""
"CG10413","FBgn0032689","NA","","",""
"CG10420","FBgn0039296","NA","","",""
"CG10425","FBgn0039304","NA","","",""
"CG10444","FBgn0034494","NA","","",""
"CG10465","FBgn0033017","NA","","",""
"CG10470","FBgn0032746","NA","","",""
"CG10481","FBgn0032827","NA","","",""
"CG10483","FBgn0035649","NA","","",""
"CG10486","FBgn0035647","NA","","",""
"CG10505","FBgn0034612","NA","","",""
"CG10550","FBgn0039321","NA","","",""
"CG10590","FBgn0035622","NA","","",""
"CG10597","FBgn0030832","NA","","",""
"CG10598","FBgn0003057","NA","","",""
"CG10616","FBgn0036286","NA","","",""
"CG10671","FBgn0035586","NA","","",""
"CG10674","FBgn0035592","NA","","",""
"CG10702","FBgn0032752","NA","","",""
"CG10713","FBgn0036360","NA","","",""
"CG10721","FBgn0032846","NA","","",""
"CG10737","FBgn0034420","NA","","",""
"CG10761","FBgn0030015","NA","","",""
"CG1077","FBgn0037405","NA","","",""
"CG10804","FBgn0029663","NA","","",""
