"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"ab","FBgn0264442","NA","","",""
"Acf1","FBgn0027620","NA","","",""
"ago","FBgn0041171","NA","","",""
"Alh","FBgn0261238","NA","","",""
"Aos1","FBgn0029512","NA","","",""
"Apc","FBgn0015589","NA","","",""
"APC10","FBgn0034231","NA","","",""
"Apc2","FBgn0026598","NA","","",""
"APP-BP1","FBgn0261112","NA","","",""
"ari-1","FBgn0017418","NA","","",""
"ari-2","FBgn0025186","NA","","",""
"ash1","FBgn0005386","NA","","",""
"Atg10","FBgn0040780","NA","","",""
"Atg12","FBgn0036255","NA","","",""
"Atg3","FBgn0036813","NA","","",""
"Atg5","FBgn0029943","NA","","",""
"Atg6","FBgn0264325","NA","","",""
"Atg7","FBgn0034366","NA","","",""
"Atg9","FBgn0034110","NA","","",""
"bab1","FBgn0004870","NA","","",""
"bab2","FBgn0025525","NA","","",""
"ben","FBgn0000173","NA","","",""
"bip2","FBgn0026262","NA","","",""
"bon","FBgn0023097","NA","","",""
"br","FBgn0000210","NA","","",""
"Br140","FBgn0033155","NA","","",""
"Bre1","FBgn0086694","NA","","",""
"Bruce","FBgn0266717","NA","","",""
"BTBD9","FBgn0030228","NA","","",""
"BtbVII","FBgn0263108","NA","","",""
"calypso","FBgn0262166","NA","","",""
"casp","FBgn0034068","NA","","",""
"Cbl","FBgn0020224","NA","","",""
"cbx","FBgn0011241","NA","","",""
"Cdc23","FBgn0032863","NA","","",""
"Cfp1","FBgn0030121","NA","","",""
"CG10254","FBgn0027512","NA","","",""
"CG10465","FBgn0033017","NA","","",""
"CG10508","FBgn0037060","NA","","",""
"CG10694","FBgn0039147","NA","","",""
"CG10752","FBgn0036325","NA","","",""
"CG10761","FBgn0030015","NA","","",""
"CG10801","FBgn0029660","NA","","",""
"CG10862","FBgn0035455","NA","","",""
"CG10916","FBgn0034312","NA","","",""
"CG11023","FBgn0031208","NA","","",""
"CG1103","FBgn0037235","NA","","",""
"CG11044","FBgn0034484","NA","","",""
"CG11261","FBgn0036332","NA","","",""
"CG11275","FBgn0034706","NA","","",""
"CG11321","FBgn0031857","NA","","",""
"CG11700","FBgn0029856","NA","","",""
"CG11714","FBgn0036170","NA","","",""
"CG1172","FBgn0264712","NA","","",""
"CG11982","FBgn0037653","NA","","",""
"CG12024","FBgn0035283","NA","","",""
"CG12099","FBgn0035232","NA","","",""
"CG12236","FBgn0029822","NA","","",""
"CG12362","FBgn0036082","NA","","",""
"CG12402","FBgn0038202","NA","","",""
"CG12692","FBgn0029703","NA","","",""
"CG12717","FBgn0030420","NA","","",""
"CG12725","FBgn0030483","NA","","",""
"CG12857","FBgn0033963","NA","","",""
"CG13025","FBgn0036660","NA","","",""
"CG13090","FBgn0032054","NA","","",""
"CG1317","FBgn0035333","NA","","",""
"CG13344","FBgn0033884","NA","","",""
"CG13442","FBgn0034546","NA","","",""
"CG13604","FBgn0039137","NA","","",""
"CG13605","FBgn0039150","NA","","",""
"CG13917","FBgn0035237","NA","","",""
"CG13933","FBgn0035270","NA","","",""
"CG14040","FBgn0031676","NA","","",""
"CG14260","FBgn0039504","NA","","",""
"CG14262","FBgn0039503","NA","","",""
"CG14435","FBgn0029911","NA","","",""
"CG14647","FBgn0037244","NA","","",""
"CG14739","FBgn0037987","NA","","",""
"CG14785","FBgn0027795","NA","","",""
"CG14937","FBgn0032377","NA","","",""
"CG1503","FBgn0031157","NA","","",""
"CG15047","FBgn0030938","NA","","",""
"CG15097","FBgn0034396","NA","","",""
"CG15118","FBgn0034418","NA","","",""
"CG15432","FBgn0031603","NA","","",""
"CG15439","FBgn0031606","NA","","",""
