## FlyBase Gene Groups report
## Generated: Mon Mar 27 06:43:04 2023
## Using chado datasource: dbi:Pg:dbname=fb_2023_02_reporting;host=flysql25;port=5432

## Where groups are arranged into hierarchies, note that:
## i) the member genes are only associated with the terminal subgroups
## ii) the immediate parent of any subgroup is identified in the 'Parent_FB_group_id' and 'Parent_FB_group_symbol' columns

## FB_group_id	FB_group_symbol	FB_group_name	Parent_FB_group_id	Parent_FB_group_symbol	Group_member_FB_gene_id	Group_member_FB_gene_symbol
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0002570	Mal-A1
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0033297	Mal-A8
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0050360	Mal-A6
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0002569	Mal-A2
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0033296	Mal-A7
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0050359	Mal-A5
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0002571	Mal-A3
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0034618	CG9485
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0032382	Mal-B2
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0032381	Mal-B1
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0033294	Mal-A4
FBgg0001349	A-GLUS	ALPHA-GLUCOSIDASES	FBgg0001351	GLUS	FBgn0027588	GCS2alpha
FBgg0000848	RNACYC	RNA-3'-PHOSPHATE CYCLASES	FBgg0000814	PELIG	FBgn0025630	Rtca
FBgg0000443	TRNA-C-PRO-CGG	CYTOSOLIC PROLINE-CGG TRANSFER RNAS	FBgg0000407	TRNA-C-PRO	FBgn0052200	tRNA:Pro-CGG-2-3
FBgg0000443	TRNA-C-PRO-CGG	CYTOSOLIC PROLINE-CGG TRANSFER RNAS	FBgg0000407	TRNA-C-PRO	FBgn0052546	tRNA:Pro-CGG-2-1
FBgg0000443	TRNA-C-PRO-CGG	CYTOSOLIC PROLINE-CGG TRANSFER RNAS	FBgg0000407	TRNA-C-PRO	FBgn0052173	tRNA:Pro-CGG-2-2
FBgg0000443	TRNA-C-PRO-CGG	CYTOSOLIC PROLINE-CGG TRANSFER RNAS	FBgg0000407	TRNA-C-PRO	FBgn0025118	tRNA:Pro-CGG-3-1
FBgg0000443	TRNA-C-PRO-CGG	CYTOSOLIC PROLINE-CGG TRANSFER RNAS	FBgg0000407	TRNA-C-PRO	FBgn0052826	tRNA:Pro-CGG-1-1
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0025724	beta'COP
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0027496	epsilonCOP
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0028968	gammaCOP
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0040512	zetaCOP
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0028969	deltaCOP
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0010348	Arf1
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0008635	betaCOP
FBgg0000087	COPI	COAT PROTEIN COMPLEX I	FBgg0000056	ITCSAP	FBgn0025725	alphaCOP
FBgg0001400	MPEPT	METALLOPEPTIDASES	FBgg0001397	PEPT		
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0015019	CCT3
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0010621	CCT5
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0037632	CCT7
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0030086	CCT2
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0027329	CCT6
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0284436	CCT8
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0032444	CCT4
FBgg0000505	CCT	CHAPERONIN CONTAINING TCP-1 COMPLEX	FBgg0000503	HSP60	FBgn0003676	CCT1
FBgg0000509	IRK	INWARDLY RECTIFYING POTASSIUM CHANNEL SUBUNITS	FBgg0000512	KCN	FBgn0032706	Irk3
FBgg0000509	IRK	INWARDLY RECTIFYING POTASSIUM CHANNEL SUBUNITS	FBgg0000512	KCN	FBgn0039081	Irk2
