FBgn0000003,7SLRNA:CR32864,FBtr0081624
FBgn0000008,a,FBtr0071763
FBgn0000008,a,FBtr0071764
FBgn0000008,a,FBtr0100521
FBgn0000008,a,FBtr0342981
FBgn0000014,abd-A,FBtr0083387
FBgn0000014,abd-A,FBtr0083388
FBgn0000014,abd-A,FBtr0300485
FBgn0000014,abd-A,FBtr0306337
FBgn0000015,Abd-B,FBtr0083381
FBgn0000015,Abd-B,FBtr0083382
FBgn0000015,Abd-B,FBtr0083383
FBgn0000015,Abd-B,FBtr0083384
FBgn0000015,Abd-B,FBtr0083385
FBgn0000015,Abd-B,FBtr0330709
FBgn0000015,Abd-B,FBtr0346764
FBgn0000015,Abd-B,FBtr0415463
FBgn0000015,Abd-B,FBtr0415464
FBgn0000015,Abd-B,FBtr0415465
FBgn0000017,Abl,FBtr0075357
FBgn0000017,Abl,FBtr0112790
FBgn0000017,Abl,FBtr0330130
FBgn0000017,Abl,FBtr0330131
FBgn0000017,Abl,FBtr0330132
FBgn0000017,Abl,FBtr0330133
FBgn0000017,Abl,FBtr0330134
FBgn0000017,Abl,FBtr0330135
FBgn0000017,Abl,FBtr0330136
FBgn0000017,Abl,FBtr0345369
FBgn0000018,abo,FBtr0080168
FBgn0000022,ac,FBtr0070072
FBgn0000024,Ace,FBtr0082780
FBgn0000024,Ace,FBtr0300486
FBgn0000024,Ace,FBtr0335223
FBgn0000028,acj6,FBtr0074015
FBgn0000028,acj6,FBtr0100326
FBgn0000028,acj6,FBtr0100328
FBgn0000028,acj6,FBtr0290063
FBgn0000028,acj6,FBtr0290064
FBgn0000028,acj6,FBtr0305189
FBgn0000028,acj6,FBtr0305190
FBgn0000028,acj6,FBtr0305191
FBgn0000028,acj6,FBtr0305192
FBgn0000028,acj6,FBtr0305193
FBgn0000028,acj6,FBtr0305194
FBgn0000028,acj6,FBtr0305195
FBgn0000028,acj6,FBtr0305196
FBgn0000032,Acph-1,FBtr0085609
FBgn0000032,Acph-1,FBtr0085610
FBgn0000036,nAChRalpha1,FBtr0084619
FBgn0000036,nAChRalpha1,FBtr0330310
FBgn0000036,nAChRalpha1,FBtr0334916
FBgn0000037,mAChR-A,FBtr0072367
FBgn0000037,mAChR-A,FBtr0072368
FBgn0000038,nAChRbeta1,FBtr0073299
FBgn0000038,nAChRbeta1,FBtr0073300
FBgn0000039,nAChRalpha2,FBtr0084639
FBgn0000039,nAChRalpha2,FBtr0084640
FBgn0000042,Act5C,FBtr0070822
FBgn0000042,Act5C,FBtr0070823
FBgn0000042,Act5C,FBtr0100662
FBgn0000042,Act5C,FBtr0100663
FBgn0000042,Act5C,FBtr0345894
FBgn0000043,Act42A,FBtr0086029
FBgn0000044,Act57B,FBtr0071519
FBgn0000045,Act79B,FBtr0078478
FBgn0000045,Act79B,FBtr0334090
FBgn0000046,Act87E,FBtr0082785
FBgn0000046,Act87E,FBtr0082786
FBgn0000046,Act87E,FBtr0346242
FBgn0000047,Act88F,FBtr0083143
FBgn0000052,Pfas,FBtr0079219
FBgn0000052,Pfas,FBtr0079220
FBgn0000052,Pfas,FBtr0079221
FBgn0000053,Gart,FBtr0079431
FBgn0000053,Gart,FBtr0100353
FBgn0000053,Gart,FBtr0339663
FBgn0000055,Adh,FBtr0100589
FBgn0000055,Adh,FBtr0100590
FBgn0000055,Adh,FBtr0100591
FBgn0000055,Adh,FBtr0100593
FBgn0000055,Adh,FBtr0100594
FBgn0000056,Adhr,FBtr0006151
FBgn0000056,Adhr,FBtr0100187
FBgn0000056,Adhr,FBtr0343699
FBgn0000057,adp,FBtr0086744
FBgn0000057,adp,FBtr0340288
FBgn0000061,al,FBtr0078053
FBgn0000063,Mps1,FBtr0083478
FBgn0000063,Mps1,FBtr0331348
FBgn0000064,Ald1,FBtr0084994
FBgn0000064,Ald1,FBtr0084995
FBgn0000064,Ald1,FBtr0084999
FBgn0000064,Ald1,FBtr0085000
FBgn0000064,Ald1,FBtr0085001
FBgn0000064,Ald1,FBtr0114544
FBgn0000064,Ald1,FBtr0306657
FBgn0000064,Ald1,FBtr0310660
FBgn0000064,Ald1,FBtr0310661
FBgn0000064,Ald1,FBtr0339614
FBgn0000071,Ama,FBtr0081618
FBgn0000071,Ama,FBtr0081619
FBgn0000071,Ama,FBtr0081620
FBgn0000075,amd,FBtr0081153
FBgn0000075,amd,FBtr0081154
FBgn0000077,amx,FBtr0071331
FBgn0000077,amx,FBtr0307281
FBgn0000078,Amy-d,FBtr0086983
FBgn0000079,Amy-p,FBtr0087004
FBgn0000079,Amy-p,FBtr0345521
FBgn0000083,AnxB9,FBtr0089517
FBgn0000083,AnxB9,FBtr0089518
FBgn0000083,AnxB9,FBtr0089519
FBgn0000083,AnxB9,FBtr0089520
FBgn0000083,AnxB9,FBtr0336797
FBgn0000083,AnxB9,FBtr0336798
FBgn0000084,AnxB10,FBtr0070025
FBgn0000084,AnxB10,FBtr0301931
FBgn0000092,CG2650,FBtr0070504
FBgn0000094,Anp,FBtr0085611
FBgn0000094,Anp,FBtr0346141
FBgn0000097,aop,FBtr0077850
FBgn0000097,aop,FBtr0077851
FBgn0000097,aop,FBtr0330658
FBgn0000097,aop,FBtr0330659
FBgn0000097,aop,FBtr0330660
FBgn0000100,RpLP0,FBtr0078481
FBgn0000100,RpLP0,FBtr0334113
FBgn0000108,Appl,FBtr0070109
FBgn0000108,Appl,FBtr0307291
FBgn0000108,Appl,FBtr0307292
FBgn0000108,Appl,FBtr0307293
FBgn0000108,Appl,FBtr0307294
FBgn0000108,Appl,FBtr0307295
FBgn0000109,Aprt,FBtr0089420
