"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"ABCB7","FBgn0035244","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Amt","FBgn0038309","Ion Channels","The Ammonia Transporter Channel (Amt) Family","",""
"Ant2","FBgn0025111","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"AnxB10","FBgn0000084","Ion Channels","The Annexin (Annexin) Family","",""
"AnxB11","FBgn0030749","Ion Channels","The Annexin (Annexin) Family","",""
"AnxB9","FBgn0000083","Ion Channels","The Annexin (Annexin) Family","",""
"aralar1","FBgn0028646","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"Atet","FBgn0020762","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"ATP7","FBgn0030343","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"ATP8B","FBgn0037989","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"Atpalpha","FBgn0002921","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"ATPsynB","FBgn0019644","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsynbeta","FBgn0010217","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsynbetaL","FBgn0036568","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsynC","FBgn0039830","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsynD","FBgn0016120","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsyndelta","FBgn0028342","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsynepsilonL","FBgn0051477","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsyngamma","FBgn0020235","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"ATPsynO","FBgn0016691","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"att-ORFA","FBgn0067783","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"bdg","FBgn0034049","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"Best1","FBgn0040238","Ion Channels","The Anion Channel-forming Bestrophin (Bestrophin) Family","",""
"Best2","FBgn0035696","Ion Channels","The Anion Channel-forming Bestrophin (Bestrophin) Family","",""
"Best3","FBgn0036492","Ion Channels","The Anion Channel-forming Bestrophin (Bestrophin) Family","",""
"Best4","FBgn0036491","Ion Channels","The Anion Channel-forming Bestrophin (Bestrophin) Family","",""
"bib","FBgn0000180","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"blot","FBgn0027660","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"blw","FBgn0011211","ATP-Dependent","The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily","",""
"Bmcp","FBgn0036199","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"brv1","FBgn0036874","Ion Channels","The Polycystin Cation Channel (PCC) Family","",""
"brv2","FBgn0036712","Ion Channels","The Polycystin Cation Channel (PCC) Family","",""
"brv3","FBgn0040333","Ion Channels","The Polycystin Cation Channel (PCC) Family","",""
"bw","FBgn0000241","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"Ca-alpha1D","FBgn0001991","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Ca-alpha1T","FBgn0264386","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Ca-P60A","FBgn0263006","ATP-Dependent","The P-type ATPase (P-ATPase) Superfamily","",""
"cac","FBgn0263111","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"Calx","FBgn0013995","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG10019","FBgn0031568","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG10226","FBgn0035695","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG10413","FBgn0032689","Secondary Transporter","The Cation-Chloride Cotransporter (CCC) Family","",""
"CG10444","FBgn0034494","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG10486","FBgn0035647","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG10505","FBgn0034612","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG10804","FBgn0029663","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG10864","FBgn0038621","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG1090","FBgn0037238","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG10960","FBgn0036316","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG11069","FBgn0039244","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG11147","FBgn0031734","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG11151","FBgn0030519","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG11155","FBgn0039927","Ion Channels","The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors","",""
"CG11262","FBgn0036329","Secondary Transporter","The Arsenite-Antimonite (ArsB) Efflux Family","",""
"CG11340","FBgn0039840","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"CG1139","FBgn0035300","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG11537","FBgn0035400","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG11566","FBgn0031159","Ion Channels","The Voltage-gated Ion Channel (VIC) Superfamily","",""
"CG11581","FBgn0030540","Ion Channels","The Annexin (Annexin) Family","",""
"CG11655","FBgn0030638","Secondary Transporter","The Bile Acid:Na+ Symporter (BASS) Family","",""
"CG11665","FBgn0033028","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG11739","FBgn0037239","Secondary Transporter","The Mitochondrial Tricarboxylate Carrier (MTC) Family","",""
"CG11779","FBgn0038683","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"CG11897","FBgn0039644","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG11898","FBgn0039645","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG12061","FBgn0040031","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG1208","FBgn0037386","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG1213","FBgn0037387","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG12344","FBgn0033558","Ion Channels","The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family","",""
"CG12376","FBgn0033323","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG12490","FBgn0034782","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG12531","FBgn0031064","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"CG12773","FBgn0024365","Secondary Transporter","The Cation-Chloride Cotransporter (CCC) Family","",""
"CG12783","FBgn0038448","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG12858","FBgn0033958","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG12866","FBgn0033955","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG13223","FBgn0033599","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG13248","FBgn0036984","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"CG13384","FBgn0032036","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG1358","FBgn0033196","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG13641","FBgn0039239","Ion Channels","The Annexin (Annexin) Family","",""
"CG13646","FBgn0039255","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG13743","FBgn0033368","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG13793","FBgn0031935","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG13794","FBgn0031936","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG13795","FBgn0031937","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG13796","FBgn0031939","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG13801","FBgn0035332","Secondary Transporter","The Arsenite-Antimonite (ArsB) Efflux Family","",""
"CG13907","FBgn0035173","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14040","FBgn0031676","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"CG14196","FBgn0031002","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14439","FBgn0029898","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14511","FBgn0039641","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"CG14605","FBgn0037486","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14606","FBgn0037485","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14621","FBgn0031183","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"CG14691","FBgn0037829","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14694","FBgn0037845","Secondary Transporter","The Reduced Folate Carrier (RFC) Family","",""
"CG14743","FBgn0033326","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG14744","FBgn0033324","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG14855","FBgn0038260","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14856","FBgn0038261","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG14857","FBgn0038262","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG1494","FBgn0031169","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG14971","FBgn0035449","Secondary Transporter","The Drug/Metabolite Transporter (DMT) Superfamily","",""
"CG15096","FBgn0034394","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG15221","FBgn0030331","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG15279","FBgn0028886","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG15406","FBgn0031517","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG15408","FBgn0031523","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG15553","FBgn0039817","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG15890","FBgn0030576","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG1598","FBgn0033191","ATP-Dependent","The Arsenite-Antimonite (ArsAB) Efflux Family","",""
"CG1607","FBgn0039844","Secondary Transporter","The Amino Acid-Polyamine-Organocation (APC) Family","",""
"CG1628","FBgn0030218","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG16700","FBgn0030816","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG16727","FBgn0038719","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG16736","FBgn0037668","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG16743","FBgn0032322","Ion Channels","The Annexin (Annexin) Family","",""
"CG1698","FBgn0033443","Secondary Transporter","The Neurotransmitter:Sodium Symporter (NSS) Family","",""
"CG17036","FBgn0032449","Secondary Transporter","The Reduced Folate Carrier (RFC) Family","",""
"CG17119","FBgn0039045","Secondary Transporter","The Lysosomal Cystine Transporter (LCT) Family","",""
"CG17167","FBgn0039941","Secondary Transporter","The Ca2+:Cation Antiporter (CaCA) Family","",""
"CG1718","FBgn0031170","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG1724","FBgn0031164","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"CG17637","FBgn0037004","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG17646","FBgn0264494","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG17662","FBgn0034884","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"CG17664","FBgn0034883","Ion Channels","The Major Intrinsic Protein (MIP) Family","",""
"CG17751","FBgn0038717","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG17752","FBgn0038718","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG17930","FBgn0038416","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG1801","FBgn0031171","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG1824","FBgn0030403","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG18281","FBgn0037003","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG18324","FBgn0033905","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG18327","FBgn0033904","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG18418","FBgn0035568","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG18788","FBgn0042126","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG1907","FBgn0039674","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG2003","FBgn0039886","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG2187","FBgn0017448","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG2316","FBgn0039890","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG2616","FBgn0037512","Secondary Transporter","The Mitochondrial Carrier (MC) Family","",""
"CG2930","FBgn0028491","Secondary Transporter","The Proton-dependent Oligopeptide Transporter (POT) Family","",""
"CG30048","FBgn0050048","Ion Channels","The Polycystin Cation Channel (PCC) Family","",""
"CG30265","FBgn0050265","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG30344","FBgn0050344","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG30345","FBgn0050345","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG3036","FBgn0031645","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG30394","FBgn0050394","Secondary Transporter","The Amino Acid/Auxin Permease (AAAP) Family","",""
"CG31100","FBgn0051100","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG31103","FBgn0051103","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG31106","FBgn0051106","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG31121","FBgn0051121","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG31213","FBgn0051213","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG31229","FBgn0051229","ATP-Dependent","The Mitochondrial Protein Translocase (MPT) Family","",""
"CG31262","FBgn0051262","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
"CG31272","FBgn0051272","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG31547","FBgn0051547","Secondary Transporter","The Cation-Chloride Cotransporter (CCC) Family","",""
"CG3156","FBgn0023536","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG3164","FBgn0025683","ATP-Dependent","The ATP-binding Cassette (ABC) Superfamily","",""
"CG31663","FBgn0051663","Secondary Transporter","The Major Facilitator Superfamily (MFS)","",""
"CG31668","FBgn0051668","Secondary Transporter","The Solute:Sodium Symporter (SSS) Family","",""
